parameter,value
Cl_pop,13.4941713455832
V1_pop,23.6978479982159
beta_V1_logtCLCRMLMIN,-1.44749033025118
Q_pop,23.4
beta_Q_LMP_1,0.775442252612602
beta_Q_logtAGEA,1.29084511155372
beta_Q_logtALBGDL,17.9714429060637
beta_Q_logtPROGDL,-17.5060663058114
beta_Q_logtSCM2,-1.57643079562708
V2_pop,2.96124756391392
beta_V2_SEXF_1,4.38218596156911
beta_V2_logtHCM,34.6729102243659
omega_Cl,0.257155724805692
omega_V1,0.153912165564119
omega_Q,4.25816079362546e-8
omega_V2,1.1326294912977e-7
a,1.45095574945431
b,0.0392956527370082
