popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
5.03871,2.71648,5.03871,0.469091,9.60832,0.962719,2.07711,0.962719,-2.19897,4.12441,All
5.34049,3.09356,5.34049,0.666636,10.0144,1.05305,2.1539,1.05305,-2.13984,4.24594,All
5.66036,3.44919,5.66036,0.876012,10.4447,1.15186,2.2382,1.15186,-2.07516,4.37888,All
5.99938,3.82051,5.99938,1.09793,10.9008,1.25994,2.33042,1.25994,-2.00442,4.52429,All
6.3587,4.21067,6.3587,1.33314,11.3843,1.37816,2.43128,1.37816,-1.92703,4.68335,All
6.73955,4.56054,6.73955,1.58243,11.8967,1.50747,2.54162,1.50747,-1.84239,4.85733,All
6.78494,4.60024,6.78494,1.61214,11.9577,1.64891,2.66275,1.64891,-1.7498,5.04763,All
7.14321,4.91355,7.14321,1.84666,12.4398,1.80363,2.79559,1.80363,-1.64853,5.25579,All
7.57104,5.24523,7.57104,2.12671,13.0154,1.97287,2.94111,1.97287,-1.53775,5.48348,All
8.0245,5.55988,8.0245,2.42354,13.6255,2.15798,3.10028,2.15798,-1.41658,5.73254,All
8.50512,5.89338,8.50512,2.73814,14.2721,2.36046,3.27443,2.36046,-1.28403,6.00496,All
8.53118,5.91146,8.53118,2.7552,14.3072,2.58195,3.46537,2.58195,-1.13906,6.30295,All
9.01453,6.1987,9.01453,3.07159,14.9575,2.64962,3.52373,2.64962,-1.09476,6.394,All
9.55444,6.4705,9.55444,3.42501,15.6839,2.82421,3.67426,2.82421,-0.980475,6.62889,All
10.1267,6.75857,10.1267,3.79959,16.4538,3.08921,3.90272,3.08921,-0.807014,6.98542,All
10.2774,6.83445,10.2774,3.89825,16.6566,3.37906,4.15263,3.37906,-0.617277,7.37541,All
10.7332,7.0639,10.7332,4.19661,17.2698,3.69612,4.42578,3.69612,-0.409738,7.80198,All
11.3761,7.3393,11.3761,4.61741,18.1347,4.04293,4.7236,4.04293,-0.182725,8.26858,All
12.0236,7.61,12.0236,5.0413,19.006,4.33652,4.97493,4.33652,0.00945703,8.66359,All
12.0574,7.62412,12.0574,5.06342,19.0515,4.42228,5.04813,4.42228,0.0655889,8.77896,All
12.7796,7.92601,12.7796,5.53614,20.0231,4.83722,5.40089,4.83722,0.337202,9.33724,All
13.545,8.25932,13.545,6.03717,21.0529,5.29109,5.78471,5.29109,0.6343,9.94789,All
13.7699,8.39237,13.7699,6.18435,21.3554,5.78756,6.19639,5.78756,0.959275,10.6158,All
14.3563,8.75054,14.3563,6.5682,22.1444,6.02343,6.39089,6.02343,1.11367,10.9332,All
15.2161,9.27573,15.2161,7.13105,23.3012,6.3306,6.64418,6.3306,1.31474,11.3465,All
15.5161,9.45895,15.5161,7.32741,23.7048,6.9246,7.134,6.9246,1.70356,12.1456,All
