trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_logtCLCRMLMIN_abscissa,trans_Cl_vs_logtCLCRMLMIN_spline,trans_Cl_vs_logtCLCRMLMIN_regression,trans_Q_vs_CLCRMLMIN_abscissa,trans_Q_vs_CLCRMLMIN_spline,trans_Q_vs_CLCRMLMIN_regression,trans_Q_vs_logtCLCRMLMIN_abscissa,trans_Q_vs_logtCLCRMLMIN_spline,trans_Q_vs_logtCLCRMLMIN_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_logtCLCRMLMIN_abscissa,trans_V1_vs_logtCLCRMLMIN_spline,trans_V1_vs_logtCLCRMLMIN_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_logtCLCRMLMIN_abscissa,trans_V2_vs_logtCLCRMLMIN_spline,trans_V2_vs_logtCLCRMLMIN_regression,split
92.2,2.2624,2.41007,-0.321486,2.25256,2.38547,92.2,4.27984,3.85145,-0.321486,4.31067,3.92854,92.2,3.44449,3.32963,-0.321486,3.4545,3.35467,92.2,3.09339,2.87943,-0.321486,3.11062,2.92252,All
92.8333,2.2757,2.4136,-0.316245,2.26367,2.38914,92.8333,4.23817,3.84195,-0.316245,4.27594,3.91847,92.8333,3.4293,3.32702,-0.316245,3.44191,3.35184,92.8333,3.05437,2.87259,-0.316245,3.0784,2.91547,All
93.4667,2.289,2.41714,-0.311005,2.27479,2.39282,93.4667,4.1965,3.83244,-0.311005,4.2412,3.90839,93.4667,3.41412,3.32442,-0.311005,3.42932,3.34902,93.4667,3.01535,2.86575,-0.311005,3.04618,2.90843,All
94.1,2.30231,2.42067,-0.305764,2.2859,2.3965,94.1,4.15483,3.82294,-0.305764,4.20647,3.89832,94.1,3.39894,3.32181,-0.305764,3.41673,3.34619,94.1,2.97633,2.85891,-0.305764,3.01395,2.90139,All
94.7333,2.31561,2.4242,-0.300524,2.29702,2.40017,94.7333,4.11317,3.81343,-0.300524,4.17173,3.88825,94.7333,3.38376,3.3192,-0.300524,3.40413,3.34336,94.7333,2.9373,2.85207,-0.300524,2.98173,2.89435,All
95.3667,2.32892,2.42773,-0.295283,2.30813,2.40385,95.3667,4.0715,3.80393,-0.295283,4.137,3.87817,95.3667,3.36858,3.3166,-0.295283,3.39154,3.34053,95.3667,2.89828,2.84522,-0.295283,2.94951,2.8873,All
96,2.34222,2.43127,-0.290042,2.31925,2.40752,96,4.02983,3.79442,-0.290042,4.10226,3.8681,96,3.3534,3.31399,-0.290042,3.37895,3.33771,96,2.85926,2.83838,-0.290042,2.91728,2.88026,All
96.6333,2.35552,2.4348,-0.284802,2.33036,2.4112,96.6333,3.98816,3.78492,-0.284802,4.06753,3.85803,96.6333,3.33822,3.31138,-0.284802,3.36636,3.33488,96.6333,2.82024,2.83154,-0.284802,2.88506,2.87322,All
97.2667,2.36883,2.43833,-0.279561,2.34148,2.41488,97.2667,3.9465,3.77541,-0.279561,4.03279,3.84796,97.2667,3.32304,3.30878,-0.279561,3.35376,3.33205,97.2667,2.78122,2.8247,-0.279561,2.85284,2.86618,All
97.9,2.38213,2.44187,-0.274321,2.35259,2.41855,97.9,3.90483,3.76591,-0.274321,3.99806,3.83788,97.9,3.30786,3.30617,-0.274321,3.34117,3.32923,97.9,2.7422,2.81786,-0.274321,2.82061,2.85913,All
98.5333,2.39543,2.4454,-0.26908,2.36371,2.42223,98.5333,3.86316,3.7564,-0.26908,3.96332,3.82781,98.5333,3.29268,3.30357,-0.26908,3.32858,3.3264,98.5333,2.70318,2.81102,-0.26908,2.78839,2.85209,All
99.1667,2.40874,2.44893,-0.263839,2.37482,2.4259,99.1667,3.82149,3.7469,-0.263839,3.92859,3.81774,99.1667,3.2775,3.30096,-0.263839,3.31599,3.32357,99.1667,2.66415,2.80418,-0.263839,2.75617,2.84505,All
99.8,2.42204,2.45246,-0.258599,2.38594,2.42958,99.8,3.77983,3.73739,-0.258599,3.89385,3.80767,99.8,3.26232,3.29835,-0.258599,3.3034,3.32074,99.8,2.62513,2.79733,-0.258599,2.72394,2.83801,All
100.433,2.43535,2.456,-0.253358,2.39705,2.43326,100.433,3.73816,3.72789,-0.253358,3.85912,3.79759,100.433,3.24714,3.29575,-0.253358,3.2908,3.31792,100.433,2.58611,2.79049,-0.253358,2.69172,2.83096,All
101.067,2.44865,2.45953,-0.248118,2.40817,2.43693,101.067,3.69649,3.71838,-0.248118,3.82438,3.78752,101.067,3.23196,3.29314,-0.248118,3.27821,3.31509,101.067,2.54709,2.78365,-0.248118,2.6595,2.82392,All
101.7,2.46195,2.46306,-0.242877,2.41928,2.44061,101.7,3.65482,3.70888,-0.242877,3.78965,3.77745,101.7,3.21678,3.29054,-0.242877,3.26562,3.31226,101.7,2.50807,2.77681,-0.242877,2.62727,2.81688,All
102.333,2.47526,2.46659,-0.237636,2.4304,2.44428,102.333,3.61316,3.69937,-0.237636,3.75491,3.76738,102.333,3.2016,3.28793,-0.237636,3.25303,3.30943,102.333,2.46905,2.76997,-0.237636,2.59505,2.80984,All
102.967,2.48856,2.47013,-0.232396,2.44151,2.44796,102.967,3.57149,3.68987,-0.232396,3.72018,3.7573,102.967,3.18642,3.28532,-0.232396,3.24043,3.30661,102.967,2.43002,2.76313,-0.232396,2.56282,2.80279,All
103.6,2.50186,2.47366,-0.227155,2.45263,2.45164,103.6,3.52982,3.68036,-0.227155,3.68544,3.74723,103.6,3.17124,3.28272,-0.227155,3.22784,3.30378,103.6,2.391,2.75629,-0.227155,2.5306,2.79575,All
104.233,2.51455,2.47719,-0.221915,2.46374,2.45531,104.233,3.49289,3.67086,-0.221915,3.65071,3.73716,104.233,3.16623,3.28011,-0.221915,3.21525,3.30095,104.233,2.39395,2.74944,-0.221915,2.49838,2.78871,All
104.867,2.52616,2.48073,-0.216674,2.47486,2.45899,104.867,3.4641,3.66135,-0.216674,3.61597,3.72708,104.867,3.17865,3.2775,-0.216674,3.20266,3.29813,104.867,2.46884,2.7426,-0.216674,2.46615,2.78167,All
105.5,2.53778,2.48426,-0.211433,2.48597,2.46266,105.5,3.4353,3.65185,-0.211433,3.58124,3.71701,105.5,3.19107,3.2749,-0.211433,3.19006,3.2953,105.5,2.54373,2.73576,-0.211433,2.43393,2.77462,All
106.133,2.54939,2.48779,-0.206193,2.49709,2.46634,106.133,3.4065,3.64234,-0.206193,3.5465,3.70694,106.133,3.20349,3.27229,-0.206193,3.17747,3.29247,106.133,2.61862,2.72892,-0.206193,2.40171,2.76758,All
106.767,2.56101,2.49132,-0.200952,2.50819,2.47002,106.767,3.3777,3.63284,-0.200952,3.51193,3.69687,106.767,3.21592,3.26969,-0.200952,3.16534,3.28964,106.767,2.69351,2.72208,-0.200952,2.37142,2.76054,All
107.4,2.57262,2.49486,-0.195712,2.51873,2.47369,107.4,3.3489,3.62333,-0.195712,3.48565,3.68679,107.4,3.22834,3.26708,-0.195712,3.17623,3.28682,107.4,2.7684,2.71524,-0.195712,2.43782,2.7535,All
108.033,2.58424,2.49839,-0.190471,2.52927,2.47737,108.033,3.3201,3.61383,-0.190471,3.45936,3.67672,108.033,3.24076,3.26447,-0.190471,3.18711,3.28399,108.033,2.84329,2.7084,-0.190471,2.50422,2.74645,All
