standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-1.72899,0.155363,-3.11177,0.015931,-2.58749,0.0586264,-3.23694,0.0159973,All
-1.45172,0.181257,-2.6611,0.015931,-2.09765,0.073283,-2.78815,0,All
-1.17446,0.414301,-2.21044,0,-1.6078,0.0293132,-2.33935,0.0479918,All
-0.897191,0.310726,-1.75978,0.143379,-1.11795,0.234506,-1.89056,0.111981,All
-0.619925,0.414301,-1.30912,0.143379,-0.628106,0.190536,-1.44177,0.127978,All
-0.342658,0.258938,-0.858457,0.270827,-0.13826,0.498325,-0.992972,0.271954,All
-0.0653919,0.155363,-0.407795,0.382344,0.351587,0.454355,-0.544178,0.52791,All
0.211874,0.33662,0.0428666,0.31862,0.841433,0.307789,-0.0953836,0.447924,All
0.489141,0.284832,0.493528,0.446068,1.33128,0.190536,0.353411,0.0959837,All
0.766407,0.310726,0.94419,0.302689,1.82113,0.102596,0.802205,0.255956,All
1.04367,0.466089,1.39485,0.191172,2.31097,0.0439698,1.251,0.35194,All
1.32094,0.362514,1.84551,0.127448,2.80082,0,1.69979,0.127978,All
1.59821,0.233044,2.29618,0.031862,3.29067,0.0146566,2.14859,0.0159973,All
