Cl_pop,14.208,0.33547,-0.56456,0.1632,-0.36459,-0.01376,0.0013987,0.0047519,-0.0063089,-0.011036,0.011158,-0.00064944
beta_Cl_logtWTKG,0.33547,0.19175,-0.013268,0.0098813,-0.0059722,-0.062103,-0.00012725,-1.5779e-5,0.0010695,0.00069768,-0.0029897,0.00016132
beta_Cl_tSCRMGDL,-0.56456,-0.013268,0.02457,-0.004749,0.0072548,0.00017321,-5.0952e-5,-0.00020191,7.7951e-5,0.00041618,-0.00029415,3.3876e-5
V1_pop,0.1632,0.0098813,-0.004749,4.1092,-1.2244,-0.76155,-0.0010315,0.026737,-0.05829,0.059313,-0.05691,0.0034559
V2_pop,-0.36459,-0.0059722,0.0072548,-1.2244,15.426,0.36838,9.8016e-5,-0.027073,0.31912,-0.048735,-0.065459,-0.0028955
beta_V2_logtWTKG,-0.01376,-0.062103,0.00017321,-0.76155,0.36838,6.647,0.0010229,-0.00058056,-0.016393,-0.085371,0.16901,-0.009658
omega_Cl,0.0013987,-0.00012725,-5.0952e-5,-0.0010315,9.8016e-5,0.0010229,0.0012924,-0.00010979,0.00049504,-0.00012467,0.00016444,-2.1455e-5
omega_V1,0.0047519,-1.5779e-5,-0.00020191,0.026737,-0.027073,-0.00058056,-0.00010979,0.0055509,-0.0070344,-0.0028281,0.00049874,-9.8179e-5
omega_Q,-0.0063089,0.0010695,7.7951e-5,-0.05829,0.31912,-0.016393,0.00049504,-0.0070344,0.12107,-0.001882,-0.0029082,-2.5165e-5
omega_V2,-0.011036,0.00069768,0.00041618,0.059313,-0.048735,-0.085371,-0.00012467,-0.0028281,-0.001882,0.065466,-0.0083254,0.00055286
a,0.011158,-0.0029897,-0.00029415,-0.05691,-0.065459,0.16901,0.00016444,0.00049874,-0.0029082,-0.0083254,0.073122,-0.0024779
b,-0.00064944,0.00016132,3.3876e-5,0.0034559,-0.0028955,-0.009658,-2.1455e-5,-9.8179e-5,-2.5165e-5,0.00055286,-0.0024779,0.00025193
