parameter,value
Cl_pop,13.4674885805211
beta_Cl_logtPROGDL,0.0889702877612824
V1_pop,23.0085515734079
beta_V1_logtCLCRMLMIN,-1.5844623575183
Q_pop,23.4
beta_Q_LMP_1,0.856578027498545
beta_Q_logtAGEA,1.24910531745309
beta_Q_logtALBGDL,17.3828143786949
beta_Q_logtPROGDL,-17.6435495441563
V2_pop,3.51825052872791
beta_V2_SEXF_1,4.15437370218444
beta_V2_logtHCM,33.3513672212858
omega_Cl,0.255785772452074
omega_V1,0.157479510841655
omega_Q,3.33891689564224e-8
omega_V2,6.38500813362299e-8
a,1.47840941403471
b,0.0394746527869017
