Cl_pop,1,0.0033622,0.002837,0.033906,-0.015601,0.0064327,nan,nan,0.033929,0.029147,-0.049598,0.048041,-0.047563,0.0054606,-0.022751,-0.035267,nan,0.0039425,0.015834
V1_pop,0.0033622,1,0.18768,0.028757,-0.44841,0.025616,nan,nan,0.10364,0.072973,-0.091066,0.07391,-0.08039,-0.004997,-0.26643,-0.072809,nan,-0.058961,0.16306
beta_V1_logtCLCRMLMIN,0.002837,0.18768,1,0.027394,-0.12648,0.23349,nan,nan,-0.03717,-0.16869,0.039112,-0.10966,0.074125,0.01548,-0.19686,0.056089,nan,-0.010489,0.10085
beta_V1_logtPROGDL,0.033906,0.028757,0.027394,1,-0.2666,-0.092509,nan,nan,0.44812,0.35292,-0.46107,0.37404,-0.50144,0.013966,-0.49511,-0.44044,nan,-0.070848,0.30338
beta_V1_ANTU_1,-0.015601,-0.44841,-0.12648,-0.2666,1,0.050638,nan,nan,-0.39977,-0.32411,0.41085,-0.3295,0.44233,0.0021809,0.40901,0.35167,nan,0.10249,-0.30325
beta_Q_logtAGEA,0.0064327,0.025616,0.23349,-0.092509,0.050638,1,nan,nan,-0.26527,-0.69119,0.1167,-0.45009,0.32399,0.076069,0.063644,0.40927,nan,0.088778,-0.24957
beta_Q_logtALBGDL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
beta_Q_logtPROGDL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
beta_Q_LMP_1,0.033929,0.10364,-0.03717,0.44812,-0.39977,-0.26527,nan,nan,1,0.59886,-0.70655,0.69571,-0.72337,0.0081124,-0.39829,-0.78628,nan,-0.080276,0.37344
V2_pop,0.029147,0.072973,-0.16869,0.35292,-0.32411,-0.69119,nan,nan,0.59886,1,-0.68212,0.78085,-0.84935,-0.044239,-0.27836,-0.62553,nan,-0.13186,0.39987
beta_V2_logtHCM,-0.049598,-0.091066,0.039112,-0.46107,0.41085,0.1167,nan,nan,-0.70655,-0.68212,1,-0.66903,0.92654,-0.024124,0.36147,0.62251,nan,0.063885,-0.33893
beta_V2_logtRAL,0.048041,0.07391,-0.10966,0.37404,-0.3295,-0.45009,nan,nan,0.69571,0.78085,-0.66903,1,-0.76279,0.019085,-0.28881,-0.63421,nan,-0.088638,0.34146
beta_V2_SEXF_1,-0.047563,-0.08039,0.074125,-0.50144,0.44233,0.32399,nan,nan,-0.72337,-0.84935,0.92654,-0.76279,1,-0.0019044,0.37392,0.69068,nan,0.095326,-0.402
omega_Cl,0.0054606,-0.004997,0.01548,0.013966,0.0021809,0.076069,nan,nan,0.0081124,-0.044239,-0.024124,0.019085,-0.0019044,1,-0.0042948,-0.0044324,nan,0.01713,-0.030523
omega_V1,-0.022751,-0.26643,-0.19686,-0.49511,0.40901,0.063644,nan,nan,-0.39829,-0.27836,0.36147,-0.28881,0.37392,-0.0042948,1,0.38669,nan,0.077221,-0.42791
omega_Q,-0.035267,-0.072809,0.056089,-0.44044,0.35167,0.40927,nan,nan,-0.78628,-0.62553,0.62251,-0.63421,0.69068,-0.0044324,0.38669,1,nan,0.035233,-0.37701
omega_V2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
a,0.0039425,-0.058961,-0.010489,-0.070848,0.10249,0.088778,nan,nan,-0.080276,-0.13186,0.063885,-0.088638,0.095326,0.01713,0.077221,0.035233,nan,1,-0.40604
b,0.015834,0.16306,0.10085,0.30338,-0.30325,-0.24957,nan,nan,0.37344,0.39987,-0.33893,0.34146,-0.402,-0.030523,-0.42791,-0.37701,nan,-0.40604,1
