time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
0.3333,-0.198641,0.3333,-0.0102491,0.3333,0.29154,6.68078,-0.295724,1.14393,-0.0102518,6.68078,0.0308283,All
0.355099,-0.196289,0.355099,-0.00133732,0.355099,0.294525,7.09403,-0.292421,1.24891,-0.0170765,7.09403,0.0438032,All
0.378324,-0.193782,0.378324,0.00815737,0.378324,0.297704,7.53284,-0.288915,1.36353,-0.0239606,7.53284,0.0575806,All
0.403068,-0.191111,0.403068,0.0182731,0.403068,0.301092,7.99879,-0.285351,1.48867,-0.0314526,7.99879,0.0715601,All
0.42943,-0.188619,0.42943,0.0245643,0.42943,0.304234,8.49357,-0.282108,1.6253,-0.0388845,8.49357,0.0841954,All
0.457516,-0.186365,0.457516,0.0261487,0.457516,0.30705,9.01895,-0.279271,1.77446,-0.0459776,9.01895,0.0951026,All
0.484968,-0.184163,0.484968,0.0276973,0.484968,0.309801,9.23341,-0.278113,1.93732,-0.0537218,9.23341,0.099555,All
0.487439,-0.183964,0.487439,0.0278367,0.487439,0.310049,9.57683,-0.276259,2.11512,-0.0621766,9.57683,0.106684,All
0.519319,-0.181406,0.519319,0.0296351,0.519319,0.313245,10.1692,-0.273367,2.30924,-0.0714075,10.1692,0.117696,All
0.553285,-0.178681,0.553285,0.0315512,0.553285,0.316649,10.7982,-0.270953,2.52117,-0.0793746,10.7982,0.126599,All
0.589472,-0.175957,0.589472,0.0320487,0.589472,0.320039,11.4662,-0.268694,2.75256,-0.0873459,11.4662,0.134739,All
0.628025,-0.173984,0.628025,0.0245799,0.628025,0.322417,11.7861,-0.267618,2.96657,-0.0932413,11.7861,0.138613,All
0.636636,-0.173543,0.636636,0.0229118,0.636636,0.322948,12.1754,-0.266568,3.00518,-0.0942011,12.1754,0.142176,All
0.6691,-0.171881,0.6691,0.0166226,0.6691,0.324951,12.9286,-0.264814,3.28098,-0.101058,12.9286,0.147751,All
0.712862,-0.169641,0.712862,0.00814481,0.712862,0.32765,13.7283,-0.263394,3.5821,-0.107473,13.7283,0.151453,All
0.759486,-0.167405,0.759486,-0.00110443,0.759486,0.330325,14.3387,-0.262311,3.91085,-0.1122,14.3387,0.154278,All
0.788304,-0.166388,0.788304,-0.00734656,0.788304,0.331493,14.5775,-0.261887,4.26978,-0.116444,14.5775,0.155384,All
0.809159,-0.165651,0.809159,-0.0118638,0.809159,0.332339,15.4792,-0.26037,4.66164,-0.118828,15.4792,0.159025,All
0.862081,-0.164106,0.862081,-0.0206461,0.862081,0.334051,16.4367,-0.258939,4.78921,-0.119447,16.4367,0.161311,All
0.918464,-0.162748,0.918464,-0.0276071,0.918464,0.335489,16.8913,-0.258245,5.08947,-0.119844,16.8913,0.16238,All
0.939972,-0.16223,0.939972,-0.0302624,0.939972,0.336037,17.4534,-0.257285,5.55657,-0.119058,17.4534,0.16378,All
0.978535,-0.161301,0.978535,-0.0350234,0.978535,0.33702,18.533,-0.255124,6.06653,-0.116962,18.533,0.167133,All
1.04253,-0.160749,1.04253,-0.034657,1.04253,0.337332,19.444,-0.253089,6.61185,-0.113251,19.444,0.17043,All
1.09164,-0.160708,1.09164,-0.0311745,1.09164,0.337059,19.6794,-0.252504,6.6233,-0.113165,19.6794,0.171415,All
1.11072,-0.160692,1.11072,-0.0298214,1.11072,0.336953,20.8967,-0.249088,7.23116,-0.108623,20.8967,0.177398,All
1.18337,-0.160632,1.18337,-0.0246696,1.18337,0.33655,21.9966,-0.2459,7.89481,-0.103877,21.9966,0.183036,All
1.24331,-0.160582,1.24331,-0.0204186,1.24331,0.336217,22.1893,-0.245295,8.43449,-0.100352,22.1893,0.18413,All
1.26076,-0.160568,1.26076,-0.0191808,1.26076,0.33612,23.5618,-0.240809,8.61937,-0.0992312,23.5618,0.192339,All
1.34322,-0.160499,1.34322,-0.0133331,1.34322,0.335662,24.5492,-0.237475,9.41043,-0.0947435,24.5492,0.198503,All
1.39498,-0.160456,1.39498,-0.00966268,1.39498,0.335375,25.0193,-0.235862,10.2571,-0.0904162,25.0193,0.201504,All
1.43107,-0.160426,1.43107,-0.00710286,1.43107,0.335174,26.5669,-0.230531,10.2741,-0.0903343,26.5669,0.211453,All
1.52467,-0.160796,1.52467,0.00199527,1.52467,0.334062,27.1019,-0.228706,11.217,-0.0859695,27.1019,0.214871,All
1.54664,-0.161175,1.54664,0.00574543,1.54664,0.333412,28.2102,-0.224983,12.0798,-0.0821848,28.2102,0.221838,All
1.62439,-0.162519,1.62439,0.0190129,1.62439,0.331114,29.6545,-0.220411,12.2465,-0.0814638,29.6545,0.230353,All
1.69831,-0.163797,1.69831,0.0316284,1.69831,0.328928,29.9552,-0.219508,13.3704,-0.0764386,29.9552,0.232027,All
1.73063,-0.164356,1.73063,0.0371435,1.73063,0.327972,31.8081,-0.214331,13.9024,-0.074024,31.8081,0.241523,All
1.84382,-0.166786,1.84382,0.0558542,1.84382,0.32401,32.2071,-0.213325,14.5975,-0.0705131,32.2071,0.243338,All
1.84998,-0.166935,1.84998,0.0567325,1.84998,0.323772,33.7756,-0.21006,15.725,-0.0644314,33.7756,0.249041,All
1.96441,-0.169708,1.96441,0.0730418,1.96441,0.319362,34.7598,-0.208323,15.9372,-0.0631203,34.7598,0.251972,All
2.00165,-0.170617,2.00165,0.078067,2.00165,0.317916,35.8649,-0.206372,17.3999,-0.0529203,35.8649,0.255263,All
2.09289,-0.173239,2.09289,0.0754537,2.09289,0.313775,37.3124,-0.204092,17.5477,-0.0518682,37.3124,0.259007,All
2.15332,-0.174975,2.15332,0.073723,2.15332,0.311033,38.0833,-0.203153,18.9968,-0.0404093,38.0833,0.260438,All
2.22977,-0.177172,2.22977,0.0715332,2.22977,0.307564,39.8651,-0.201378,19.3703,-0.0373128,39.8651,0.262953,All
2.30498,-0.179334,2.30498,0.069379,2.30498,0.304151,40.439,-0.200982,20.7402,-0.0253691,40.439,0.263417,All
2.37561,-0.181363,2.37561,0.0673562,2.37561,0.300946,42.4177,-0.199615,21.193,-0.0213576,42.4177,0.265019,All
2.45665,-0.183692,2.45665,0.065035,2.45665,0.297268,42.9405,-0.199254,22.6437,-0.00839988,42.9405,0.265442,All
2.53098,-0.185828,2.53098,0.062906,2.53098,0.293895,44.9703,-0.198289,23.0156,-0.00509896,44.9703,0.26627,All
2.60832,-0.18805,2.60832,0.0606909,2.60832,0.290386,45.5966,-0.198073,24.7219,0.00949577,45.5966,0.266382,All
2.69652,-0.190584,2.69652,0.0581648,2.69652,0.286384,47.523,-0.197497,24.8382,0.0104103,47.523,0.26661,All
2.75999,-0.192408,2.75999,0.0563469,2.75999,0.283503,48.417,-0.197262,26.6609,0.0242801,48.417,0.26669,All
2.87288,-0.195652,2.87288,0.0531135,2.87288,0.27838,50.0756,-0.196826,26.9908,0.0266037,50.0756,0.266911,All
2.91166,-0.196766,2.91166,0.0520029,2.91166,0.276621,51.412,-0.196372,28.4835,0.0355429,51.412,0.267507,All
3.06078,-0.201051,3.06078,0.0477318,3.06078,0.269854,52.6282,-0.195949,29.4679,0.0401716,52.6282,0.268088,All
3.06332,-0.201124,3.06332,0.0476588,3.06332,0.269738,54.5921,-0.195266,30.3062,0.0430094,54.5921,0.269026,All
3.21499,-0.205482,3.21499,0.0433148,3.21499,0.262856,55.1809,-0.195061,32.1288,0.0467601,55.1809,0.269307,All
3.26096,-0.206832,3.26096,0.0410755,3.26096,0.260698,57.7335,-0.194136,32.1724,0.0468076,57.7335,0.270695,All
3.36666,-0.210153,3.36666,0.0291408,3.36666,0.255166,57.969,-0.194038,33.9515,0.0468855,57.969,0.270875,All
3.47424,-0.21355,3.47424,0.0169708,3.47424,0.249437,60.2862,-0.193044,35.125,0.0456332,60.2862,0.272927,All
3.51833,-0.214897,3.51833,0.0124032,3.51833,0.247042,61.5547,-0.192483,35.7741,0.0444602,61.5547,0.274187,All
3.67,-0.21931,3.67,-0.00128071,3.67,0.238574,62.8388,-0.191915,37.5967,0.0397051,62.8388,0.275463,All
3.70147,-0.220226,3.70147,-0.00412024,3.70147,0.236817,65.3623,-0.1908,38.3487,0.0368064,65.3623,0.277969,All
3.82166,-0.223724,3.82166,-0.0149646,3.82166,0.230106,65.3914,-0.190787,39.4194,0.0326761,65.3914,0.277998,All
3.94356,-0.227271,3.94356,-0.0259622,3.94356,0.2233,67.9441,-0.189661,41.242,0.0248024,67.9441,0.280583,All
3.97333,-0.228137,3.97333,-0.0286484,3.97333,0.221637,69.4054,-0.189052,41.8682,0.0218739,69.4054,0.282221,All
4.125,-0.23255,4.125,-0.0423323,4.125,0.213169,70.4967,-0.1886,43.0647,0.015956,70.4967,0.283446,All
4.20148,-0.234776,4.20148,-0.0492326,4.20148,0.208898,73.0493,-0.187583,44.8873,0.00685509,73.0493,0.286293,All
4.27667,-0.236964,4.27667,-0.0560162,4.27667,0.2047,73.6985,-0.187357,45.7107,0.00279853,73.6985,0.286999,All
4.42834,-0.241377,4.42834,-0.0697,4.42834,0.196232,75.602,-0.186694,46.7099,-0.001826,75.602,0.28907,All
4.47627,-0.242772,4.47627,-0.0740251,4.47627,0.193555,78.1546,-0.185883,48.5326,-0.00907158,78.1546,0.291758,All
4.58,-0.24579,4.58,-0.0833839,4.58,0.187763,78.2573,-0.185855,49.9059,-0.014531,78.2573,0.291861,All
4.73167,-0.250204,4.73167,-0.0970678,4.73167,0.179295,80.7073,-0.185247,50.3552,-0.0163172,80.7073,0.294228,All
4.76904,-0.251291,4.76904,-0.100439,4.76904,0.177209,83.098,-0.184829,52.1779,-0.0220597,83.098,0.296276,All
4.88334,-0.254617,4.88334,-0.110752,4.88334,0.170827,83.2599,-0.184807,54.0005,-0.0252031,83.2599,0.296404,All
5.03501,-0.25903,5.03501,-0.124436,5.03501,0.162358,85.8125,-0.184834,54.4861,-0.0253535,85.8125,0.297778,All
5.08095,-0.260367,5.08095,-0.128581,5.08095,0.159793,88.2381,-0.184934,55.8231,-0.0257676,88.2381,0.298953,All
5.18668,-0.263444,5.18668,-0.138119,5.18668,0.15389,88.3652,-0.18494,57.6458,-0.0261607,88.3652,0.299014,All
5.33834,-0.267241,5.33834,-0.150452,5.33834,0.14603,90.9178,-0.185045,59.4684,-0.0242401,90.9178,0.300251,All
5.41326,-0.268788,5.41326,-0.155994,5.41326,0.142517,93.4704,-0.185598,59.4866,-0.0242181,93.4704,0.300641,All
5.49001,-0.270373,5.49001,-0.161671,5.49001,0.138919,93.6962,-0.185694,61.2911,-0.020147,93.6962,0.300583,All
5.64168,-0.273095,5.64168,-0.172383,5.64168,0.132396,96.0231,-0.186684,63.1137,-0.0157174,96.0231,0.299983,All
5.76731,-0.275326,5.76731,-0.181226,5.76731,0.127027,98.5757,-0.18777,64.9363,-0.0110878,98.5757,0.299325,All
5.79335,-0.275789,5.79335,-0.183059,5.79335,0.125914,99.4919,-0.18816,64.9461,-0.0110556,99.4919,0.299088,All
5.94502,-0.278322,5.94502,-0.190781,5.94502,0.119598,101.128,-0.189034,66.759,-0.00461846,101.128,0.298265,All
6.09668,-0.280799,6.09668,-0.197447,6.09668,0.11334,103.681,-0.190553,68.5816,0.00262626,103.681,0.296622,All
6.14451,-0.28158,6.14451,-0.199549,6.14451,0.111367,105.646,-0.191819,70.4043,0.0105737,105.646,0.29506,All
6.24835,-0.283275,6.24835,-0.204112,6.24835,0.107083,106.234,-0.192202,70.9067,0.0129648,106.234,0.294573,All
6.40002,-0.285751,6.40002,-0.210778,6.40002,0.100825,108.786,-0.193892,72.2269,0.019248,108.786,0.292317,All
6.54639,-0.288321,6.54639,-0.214904,6.54639,0.0944683,111.339,-0.195583,74.0495,0.0279222,111.339,0.289871,All
6.55169,-0.288428,6.55169,-0.214873,6.55169,0.0942132,112.181,-0.196131,75.8722,0.0365965,112.181,0.289038,All
6.70336,-0.291493,6.70336,-0.213996,6.70336,0.0869146,113.892,-0.197211,77.4142,0.0439354,113.892,0.28732,All
6.85502,-0.294691,6.85502,-0.212062,6.85502,0.0793957,116.444,-0.198668,77.6948,0.0452707,116.444,0.28477,All
6.97454,-0.297838,6.97454,-0.205553,6.97454,0.072432,118.997,-0.200095,79.5175,0.0539449,118.997,0.282223,All
7.00669,-0.298685,7.00669,-0.203802,7.00669,0.070559,119.12,-0.200156,81.3401,0.0617667,119.12,0.282104,All
7.15836,-0.302679,7.15836,-0.195542,7.15836,0.0617223,121.549,-0.201166,83.1627,0.0681458,121.549,0.27987,All
7.31003,-0.30757,7.31003,-0.181006,7.31003,0.0514217,124.102,-0.202049,84.5191,0.0728928,124.102,0.277662,All
7.4307,-0.312421,7.4307,-0.163265,7.4307,0.0416717,126.489,-0.202537,84.9854,0.0745249,126.489,0.275882,All
7.4617,-0.313723,7.4617,-0.158348,7.4617,0.0390765,126.655,-0.202521,86.808,0.080904,126.655,0.275805,All
7.61336,-0.320095,7.61336,-0.134284,7.61336,0.0263762,129.207,-0.202277,88.6307,0.0872831,129.207,0.274621,All
7.76503,-0.326609,7.76503,-0.109354,7.76503,0.0134478,131.76,-0.202034,90.4533,0.0936622,131.76,0.273438,All
7.9167,-0.334703,7.9167,-0.0748084,7.9167,-0.0020256,134.313,-0.201791,92.2759,0.100041,134.313,0.272255,All
