iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_tSCRMGDL,beta_Q_logtWTKG,omega_Cl,omega_Q,omega_V1,omega_V2
1,463.655,1,13.5088,24.1422,13.1053,1.54993,0.0415847,0,0,0.259513,1.01171,0.263295,0.888378
2,458.28,1,20.4068,24.3443,13.1438,1.57483,0.0416799,-0.403837,0.822662,0.252942,0.986093,0.256628,0.939151
3,454.78,1,20.5999,24.1681,13.4251,1.57478,0.0397537,-0.407205,0.931534,0.246537,0.973707,0.25013,0.915371
4,457.313,1,20.201,24.4109,14.8162,1.50225,0.0417819,-0.394302,1.42132,0.240295,0.958306,0.281173,0.927607
5,454.533,1,20.4845,24.782,13.4326,1.46863,0.0436452,-0.417023,1.41811,0.23421,0.934041,0.274053,0.919825
6,446.28,1,20.7,24.8076,11.8256,1.50708,0.0391984,-0.420008,1.56234,0.22828,0.910391,0.267114,0.921725
7,447.546,1,20.9455,24.9846,11.276,1.54329,0.0363696,-0.42796,2.02873,0.225344,0.940698,0.26035,0.906493
8,450.561,1,20.9763,24.8287,11.5228,1.4885,0.0406334,-0.420023,2.01024,0.23091,0.916879,0.258353,0.947494
9,462.105,1,20.589,24.8413,11.868,1.48866,0.0477407,-0.412506,1.32181,0.226031,0.893663,0.284969,0.923503
10,467.854,1,20.4481,24.9695,10.6981,1.44201,0.0536115,-0.403658,2.14677,0.225965,0.89414,0.277754,0.964857
11,471.411,1,20.8248,25.022,11.3836,1.47753,0.0524851,-0.427572,0.953732,0.227984,1.01713,0.270721,0.959971
12,476.016,1,20.2616,24.7062,12.4912,1.39301,0.0587724,-0.402538,1.4695,0.224725,1.0151,0.283832,0.95001
13,480.396,1,20.3444,25.0234,11.4955,1.36943,0.0611427,-0.400988,1.00435,0.23297,1.04515,0.301285,0.927939
14,462.945,1,20.969,24.5014,13.7196,1.30096,0.0580856,-0.413424,-2.93641e-05,0.227072,1.01869,0.293656,0.904443
15,466.361,1,20.832,24.8496,13.5934,1.27703,0.0585876,-0.41792,0.839028,0.222185,1.05434,0.286221,0.952488
16,467.316,1,21.0459,25.0408,12.7736,1.277,0.0575671,-0.429257,2.08481,0.220971,1.02765,0.29994,0.981134
17,468.94,1,20.4494,25.2611,12.297,1.42175,0.0521679,-0.406308,2.50232,0.220877,1.05744,0.308384,0.956291
18,469.895,1,20.8355,25.8839,11.677,1.50819,0.047617,-0.420837,2.73605,0.217255,1.03421,0.300575,0.968323
19,468.294,1,20.8247,25.6389,11.4995,1.43987,0.0501842,-0.415559,2.84341,0.21273,1.04442,0.292964,1.01336
20,472.409,1,21.1379,25.1538,11.186,1.50308,0.0496999,-0.425923,2.95632,0.229055,1.01797,0.285546,1.03261
21,466.102,1,21.2247,25.6823,11.5416,1.50302,0.0472676,-0.4295,1.60903,0.238658,0.992195,0.278316,1.00646
22,463.713,1,20.4456,25.4088,12.9554,1.39682,0.0489478,-0.399591,1.60636,0.232615,0.967072,0.271269,1.10366
23,467.901,1,20.7698,26.0708,13.7735,1.49729,0.0464507,-0.42155,1.52045,0.226725,0.942585,0.272512,1.15054
24,466.466,1,20.8186,25.6373,13.6683,1.42171,0.0500461,-0.41969,1.74317,0.220984,0.956449,0.297832,1.1214
25,472.427,1,20.7703,26.1727,14.1356,1.40742,0.0547262,-0.420344,1.7656,0.216338,0.932231,0.29029,1.12591
26,476.2,1,20.7848,25.5784,13.7603,1.48826,0.0545812,-0.410858,2.2335,0.218614,0.947485,0.28294,1.0974
27,467.861,1,21.3623,25.5566,15.0487,1.41385,0.0518521,-0.447365,2.72874,0.230489,0.969349,0.278829,1.11396
28,469.498,1,20.8326,25.5529,14.091,1.4138,0.0512248,-0.434079,3.13217,0.224653,0.982425,0.271769,1.20327
29,487.082,1,21.4703,25.9522,13.2597,1.57031,0.0526902,-0.445435,2.38506,0.224816,1.11805,0.276976,1.17281
30,482.771,1,19.9668,26.024,13.0232,1.4657,0.0548141,-0.384646,1.97145,0.22511,1.11482,0.269963,1.17134
31,473.743,1,20.3299,25.7313,11.92,1.4508,0.0520065,-0.397647,2.22097,0.234063,1.08659,0.276316,1.14168
32,468.975,1,20.1201,24.7217,11.0251,1.43759,0.0495219,-0.399956,2.00206,0.228137,1.05908,0.270732,1.12903
