iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
1,645.82,1,20.56,24.431,12.7157,1,0.3,-0.410671,1,1,1,1
2,638.268,1,9.17907,21.8963,13.1185,0.95,0.285,0.518833,0.974679,0.974679,0.974679,0.974679
3,630.055,1,9.22028,21.9468,13.2289,0.9025,0.27075,0.520716,0.95,0.972102,0.95,0.95
4,620.525,1,8.54509,22.2713,11.6369,0.857375,0.257212,0.582349,0.925945,0.947488,0.925945,0.925945
5,611.405,1,7.61823,21.2285,10.9875,0.814506,0.244352,0.657815,0.9025,0.923497,0.9025,0.9025
6,603.352,1,8.13991,21.7323,10.3618,0.773781,0.232134,0.587238,0.879648,0.900114,0.879648,0.879648
7,601.577,1,8.75603,21.9366,10.102,0.735092,0.220528,0.502576,0.857375,0.877322,0.857375,0.894458
8,579.649,1,7.84281,21.2981,11.2971,0.698337,0.209501,0.641058,0.835666,0.855108,0.835666,0.87181
9,577.183,1,7.66345,21.9027,10.8008,0.66342,0.199026,0.663259,0.814506,0.848333,0.814506,0.849735
10,567.151,1,9.09794,20.151,9.63895,0.630249,0.189075,0.452729,0.793882,0.826853,0.793882,0.828219
11,564.76,1,9.72712,20.4599,9.74903,0.598737,0.179621,0.382853,0.773781,0.805916,0.773781,0.807248
12,546.581,1,9.49184,21.0044,10.6417,0.5688,0.17064,0.414249,0.754188,0.78551,0.754188,0.786809
13,537.857,1,9.29295,21.7322,10.7025,0.54036,0.162108,0.444438,0.735092,0.76562,0.735092,0.766886
14,530.551,1,9.04435,21.793,10.9649,0.513342,0.154003,0.484932,0.716479,0.777647,0.716479,0.747468
15,522.92,1,9.70179,22.1629,10.693,0.487675,0.146302,0.412832,0.698337,0.757957,0.698337,0.779564
16,515.041,1,9.84135,22.0742,10.6915,0.463291,0.138987,0.384166,0.680655,0.738765,0.680655,0.759825
17,508.377,1,9.39022,21.915,10.8231,0.440127,0.132038,0.432215,0.66342,0.747814,0.66342,0.740586
18,495.052,1,9.32823,22.2798,10.1484,0.41812,0.125436,0.444711,0.646622,0.728879,0.646622,0.745513
19,494.367,1,9.16037,22.0855,10.6568,0.397214,0.119164,0.465425,0.630249,0.710424,0.630249,0.726636
20,489.99,1,9.14601,22.3106,11.5969,0.377354,0.113206,0.465337,0.614291,0.692435,0.614291,0.765802
21,486.913,1,9.30363,22.9039,11.3449,0.358486,0.107546,0.455673,0.598737,0.674902,0.598737,0.746412
22,476.766,1,9.88975,22.1807,11.5647,0.340562,0.102168,0.37856,0.583577,0.657813,0.583577,0.7871
23,469.737,1,9.16441,22.6699,12.3411,0.605542,0.0963433,0.46331,0.5688,0.641157,0.5688,0.800146
24,456.242,1,8.99103,22.8669,10.8573,0.575265,0.0915261,0.490786,0.554398,0.624923,0.554398,0.779886
25,454.408,1,9.53428,23.3137,11.5114,0.546502,0.0869498,0.433182,0.54036,0.609099,0.54036,0.781281
26,447.636,1,8.76512,23.1319,11.0818,0.764683,0.0806001,0.520381,0.526678,0.593677,0.526678,0.762367
27,442.016,1,9.02612,22.7159,11.162,0.726449,0.0765701,0.483862,0.513342,0.578644,0.513342,0.779862
28,431.363,1,8.71171,22.732,10.6331,0.747252,0.0719174,0.515933,0.500344,0.563993,0.500344,0.760116
29,428.425,1,9.14754,22.942,10.8379,0.764991,0.0714386,0.463661,0.487675,0.549712,0.487675,0.740869
30,412.406,1,9.26104,22.9507,10.9213,0.726741,0.0678666,0.452722,0.475327,0.535793,0.475327,0.774596
31,417.431,1,8.93883,22.5547,11.9935,0.799814,0.0659489,0.491536,0.463291,0.522227,0.463291,0.754983
32,428.891,1,9.2795,22.7901,11.3957,0.834921,0.0701642,0.451399,0.45156,0.509004,0.45156,0.735866
33,426.295,1,9.43001,22.4462,11.5423,0.861332,0.0697921,0.443393,0.440127,0.496115,0.440127,0.725474
34,418.611,1,8.67351,22.8684,10.696,0.841862,0.0665051,0.519932,0.428982,0.483553,0.428982,0.717451
35,428.643,1,9.00832,22.4829,10.5467,0.920543,0.067587,0.490212,0.41812,0.478538,0.41812,0.739379
36,423.292,1,9.18285,22.3779,10.0207,0.852311,0.0731823,0.469343,0.407533,0.466422,0.407533,0.720657
37,425.284,1,8.92884,22.9163,10.187,0.852308,0.0716769,0.499904,0.397214,0.460352,0.397214,0.70241
38,416.934,1,8.83243,22.531,11.1214,0.814047,0.0693363,0.505947,0.387157,0.462129,0.387157,0.684624
39,414.719,1,8.89311,22.4479,10.772,0.814031,0.0698136,0.498886,0.377354,0.45883,0.377354,0.667289
40,414.885,1,8.97395,22.1441,10.9063,0.7815,0.0724526,0.488948,0.367799,0.447212,0.367799,0.68627
41,419.083,1,8.58024,21.7798,11.2194,0.81687,0.0749308,0.526438,0.358486,0.435888,0.358486,0.676778
42,411.811,1,8.79618,22.2114,11.6215,0.859975,0.0716451,0.513602,0.349409,0.424851,0.349409,0.666363
43,415.596,1,9.89897,22.4772,10.9337,0.860024,0.0745665,0.389342,0.340562,0.414094,0.340562,0.683655
44,402.579,1,9.02315,22.834,10.2992,0.817022,0.0708382,0.485362,0.331938,0.403609,0.331938,0.702246
45,407.319,1,8.967,22.6699,10.5267,0.847238,0.0731537,0.489871,0.323534,0.393389,0.323534,0.685367
46,403.781,1,9.61851,22.6924,10.8901,0.813569,0.072837,0.412589,0.315341,0.383428,0.315341,0.72365
47,395.399,1,9.13097,22.8634,10.5837,0.772891,0.0691951,0.469417,0.307357,0.398094,0.307357,0.765131
48,394.385,1,9.08859,23.2015,10.7016,0.796646,0.0669703,0.480507,0.299574,0.388014,0.299574,0.814841
49,398.004,1,8.97163,23.3487,10.4058,0.854812,0.064787,0.490377,0.291989,0.398736,0.291989,0.794208
50,402.75,1,9.40814,22.8699,10.0543,0.844709,0.0664199,0.440561,0.284596,0.447627,0.284596,0.77682
51,401.485,1,9.42586,22.8615,10.2784,0.771995,0.0689631,0.445263,0.27739,0.467749,0.27739,0.818687
52,412.346,1,9.33272,22.9819,9.83327,0.794028,0.0690308,0.453,0.270366,0.560312,0.270366,0.876899
53,413.176,1,9.03587,23.5987,9.83605,0.815753,0.0671053,0.4823,0.26352,0.589148,0.26352,0.902028
54,401.321,1,9.51087,22.8128,10.6872,0.85359,0.0640066,0.438861,0.256848,0.583372,0.256848,0.879189
55,401.562,1,9.39308,22.9698,10.1252,0.817807,0.0638358,0.444095,0.250344,0.639786,0.250344,0.856927
56,409.62,1,9.11694,23.4327,10.4936,0.817788,0.0645307,0.477719,0.244005,0.666598,0.245106,0.954644
57,414.399,1,9.40824,23.3771,10.2126,0.832465,0.0670778,0.441521,0.237827,0.748335,0.2389,0.930472
58,413.502,1,9.20113,22.9884,11.0516,0.810323,0.0681882,0.461578,0.231805,0.729387,0.239382,0.928389
59,409.417,1,8.4099,23.3079,9.84158,0.769807,0.0647788,0.550434,0.225936,0.836919,0.233321,0.904881
60,408.893,1,8.9029,23.0283,10.1659,0.830773,0.0659534,0.497751,0.220215,0.815728,0.227413,0.92749
61,410.168,1,9.01599,22.5677,10.5625,0.761812,0.0670982,0.482774,0.214639,0.827575,0.221655,0.931274
62,405.173,1,9.07899,22.0823,10.4687,0.821652,0.0662129,0.475087,0.209204,0.815723,0.216042,0.907694
63,409.168,1,9.01863,22.1532,10.102,0.89682,0.0629416,0.492532,0.203907,0.81207,0.210572,0.884711
