Created by:,MLEM,
Model Description:, 1COMPCL.FOR - 1 compart., CL param. - linear variance,
Num of Diff. Eqs., Num of System Params  , Num of Variance Params  , Num of Covariate Params,
         2,                     3,                     2,                     0,
Number, IndividID,                'CL                   ', 'V                    ', 'Ka                   ', 'IC(   1)             ', 'IC(   2)             ', 'SDinter              ', 'SDslope              ', 'Kel                  ', 'LAM1                 ', 't1/2-LAM1            ', 'NegLogLikelihood     ', 'CL/CL                ', 'V/CL                 ', 'V/V                  ', 'R(   1)              ', 'CL-mean              ', 'V-mean               ', 'modeCL               ', 'modeV                ',
       ,ParameterEstimated?   ,    Y,                       Y,                       N,                       N,                       N,                       Y,                       Y,
1,      'Sujeto_1            ',     15.4279    ,             33.2443    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.645845    ,            0.215698    ,            0.464151    ,            0.464151    ,             1.50160    ,             20.1826    ,            0.549389E-02,            0.156745E-03,            0.318933E-03,             6000.00    ,             2.31451    ,            0.691295E-01,             15.4781    ,             33.2173    ,
2,      'Sujeto_2            ',     17.3452    ,             33.0969    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.645845    ,            0.215698    ,            0.524183    ,            0.524183    ,             1.33168    ,             16.3706    ,            0.693581E-02,            0.109307E-03,            0.317126E-03,             6000.00    ,             4.23186    ,           -0.783274E-01,             17.3855    ,             33.0589    ,
3,      'Sujeto_3            ',     16.6326    ,             33.2053    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.645845    ,            0.215698    ,            0.500992    ,            0.500992    ,             1.39233    ,             16.3117    ,            0.627995E-02,            0.136553E-03,            0.318961E-03,             6000.00    ,             3.51923    ,            0.301553E-01,             16.7182    ,             33.2259    ,
4,      'Sujeto_4            ',     13.3115    ,             33.1477    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.645845    ,            0.215698    ,            0.401661    ,            0.401661    ,             1.73530    ,             16.5473    ,            0.546193E-02,            0.117640E-03,            0.317915E-03,             4000.00    ,            0.198106    ,           -0.274860E-01,             13.3366    ,             33.1366    ,
5,      'Sujeto_5            ',     10.7673    ,             33.1582    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.645845    ,            0.215698    ,            0.324786    ,            0.324786    ,             2.14571    ,             23.0786    ,            0.532294E-02,            0.121233E-03,            0.316182E-03,             4000.00    ,            -2.34612    ,           -0.169567E-01,             10.8502    ,             33.1321    ,
6,      'Sujeto_6            ',     13.0437    ,             33.2462    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.645845    ,            0.215698    ,            0.392401    ,            0.392401    ,             1.77634    ,             17.9598    ,            0.558597E-02,            0.155225E-03,            0.319642E-03,             4000.00    ,           -0.697080E-01,            0.709864E-01,             13.1035    ,             33.2823    ,
7,      'Sujeto_7            ',     8.35127    ,             33.3053    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.645845    ,            0.215698    ,            0.250803    ,            0.250803    ,             2.77716    ,             24.0546    ,            0.474185E-02,            0.103409E-03,            0.319392E-03,             8000.00    ,            -4.76211    ,            0.130126    ,             8.44092    ,             33.2726    ,
8,      'Sujeto_8            ',     11.1017    ,             33.0909    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.645845    ,            0.215698    ,            0.335570    ,            0.335570    ,             2.07720    ,             18.9308    ,            0.545161E-02,            0.793272E-04,            0.316959E-03,             4000.00    ,            -2.01168    ,           -0.842735E-01,             11.1753    ,             33.0798    ,
9,      'Sujeto_9            ',     18.3152    ,             33.1679    ,             0.00000    ,             0.00000    ,             0.00000    ,            0.645845    ,            0.215698    ,            0.552301    ,            0.552301    ,             1.26318    ,             15.7443    ,            0.642335E-02,            0.129360E-03,            0.319372E-03,             4000.00    ,             5.20181    ,           -0.729773E-02,             18.5154    ,             33.1599    ,
