parameter,value,se_sa,rse_sa
Cl_pop,13.5033831685322,0.92792338998281,6.87178448838813
V1_pop,23.5558760212281,9.1623383345096,38.8961901745988
Q2_pop,27.5001743813502,29.8534820625115,108.5574282131
V2_pop,12.845361797082,8.9839496814653,69.9392498505268
Q3_pop,4.44049342964249e-5,1.75517732092368e-11,3.95266280365827e-5
V3_pop,8.37265169169941,nan,nan
omega_Cl,0.261022284992889,0.0511358562585567,19.5906093841566
omega_V1,0.284528903213829,0.242448418047504,85.2104708200063
omega_Q2,0.916374840242069,1.22816533665482,134.024340555922
omega_V2,0.80749487391977,0.263296515531227,32.6065866217979
omega_Q3,5.35430314965825e-8,7.95527226176934e-8,148.577173152348
omega_V3,5.39724214850873e-8,3.93995731774517e-8,72.999454338616
a,1.89890306831469,0.21596157630749,11.3729647348013
