trans_Cl_vs_SCRMGDL_abscissa,trans_Cl_vs_SCRMGDL_spline,trans_Cl_vs_SCRMGDL_regression,trans_Cl_vs_tSCRMGDL_abscissa,trans_Cl_vs_tSCRMGDL_spline,trans_Cl_vs_tSCRMGDL_regression,trans_Q_vs_SCRMGDL_abscissa,trans_Q_vs_SCRMGDL_spline,trans_Q_vs_SCRMGDL_regression,trans_Q_vs_tSCRMGDL_abscissa,trans_Q_vs_tSCRMGDL_spline,trans_Q_vs_tSCRMGDL_regression,trans_V1_vs_SCRMGDL_abscissa,trans_V1_vs_SCRMGDL_spline,trans_V1_vs_SCRMGDL_regression,trans_V1_vs_tSCRMGDL_abscissa,trans_V1_vs_tSCRMGDL_spline,trans_V1_vs_tSCRMGDL_regression,trans_V2_vs_SCRMGDL_abscissa,trans_V2_vs_SCRMGDL_spline,trans_V2_vs_SCRMGDL_regression,trans_V2_vs_tSCRMGDL_abscissa,trans_V2_vs_tSCRMGDL_spline,trans_V2_vs_tSCRMGDL_regression,split
0.26,2.60651,2.82016,0.481481,2.60651,2.82016,0.26,3.65045,2.9187,0.481481,3.65045,2.9187,0.26,3.36564,3.16922,0.481481,3.36564,3.16922,0.26,3.41723,2.85618,0.481481,3.41723,2.85618,All
0.267677,2.61464,2.8145,0.495698,2.61464,2.8145,0.267677,3.55165,2.92575,0.495698,3.55165,2.92575,0.267677,3.36189,3.16999,0.495698,3.36189,3.16999,0.267677,3.35472,2.84833,0.495698,3.35472,2.84833,All
0.275354,2.62276,2.80884,0.509914,2.62276,2.80884,0.275354,3.45284,2.9328,0.509914,3.45284,2.9328,0.275354,3.35814,3.17076,0.509914,3.35814,3.17076,0.275354,3.2922,2.84048,0.509914,3.2922,2.84048,All
0.28303,2.63089,2.80318,0.52413,2.63089,2.80318,0.28303,3.35403,2.93986,0.52413,3.35403,2.93986,0.28303,3.35439,3.17153,0.52413,3.35439,3.17153,0.28303,3.22969,2.83264,0.52413,3.22969,2.83264,All
0.290707,2.63901,2.79752,0.538346,2.63901,2.79752,0.290707,3.25523,2.94691,0.538346,3.25523,2.94691,0.290707,3.35064,3.1723,0.538346,3.35064,3.1723,0.290707,3.16717,2.82479,0.538346,3.16717,2.82479,All
0.298384,2.64713,2.79187,0.552563,2.64713,2.79187,0.298384,3.15642,2.95396,0.552563,3.15642,2.95396,0.298384,3.34689,3.17308,0.552563,3.34689,3.17308,0.298384,3.10466,2.81694,0.552563,3.10466,2.81694,All
0.306061,2.65526,2.78621,0.566779,2.65526,2.78621,0.306061,3.05762,2.96101,0.566779,3.05762,2.96101,0.306061,3.34314,3.17385,0.566779,3.34314,3.17385,0.306061,3.04215,2.8091,0.566779,3.04215,2.8091,All
0.313737,2.66338,2.78055,0.580995,2.66338,2.78055,0.313737,2.95881,2.96806,0.580995,2.95881,2.96806,0.313737,3.33939,3.17462,0.580995,3.33939,3.17462,0.313737,2.97963,2.80125,0.580995,2.97963,2.80125,All
0.321414,2.67151,2.77489,0.595211,2.67151,2.77489,0.321414,2.86,2.97511,0.595211,2.86,2.97511,0.321414,3.33564,3.17539,0.595211,3.33564,3.17539,0.321414,2.91712,2.79341,0.595211,2.91712,2.79341,All
0.329091,2.67963,2.76923,0.609428,2.67963,2.76923,0.329091,2.7612,2.98216,0.609428,2.7612,2.98216,0.329091,3.33189,3.17616,0.609428,3.33189,3.17616,0.329091,2.8546,2.78556,0.609428,2.8546,2.78556,All
0.336768,2.68776,2.76358,0.623644,2.68776,2.76358,0.336768,2.66239,2.98921,0.623644,2.66239,2.98921,0.336768,3.32814,3.17693,0.623644,3.32814,3.17693,0.336768,2.79209,2.77771,0.623644,2.79209,2.77771,All
0.344444,2.69588,2.75792,0.63786,2.69588,2.75792,0.344444,2.56358,2.99627,0.63786,2.56358,2.99627,0.344444,3.32439,3.1777,0.63786,3.32439,3.1777,0.344444,2.72957,2.76987,0.63786,2.72957,2.76987,All
0.352121,2.70424,2.75226,0.652076,2.70424,2.75226,0.352121,2.50914,3.00332,0.652076,2.50914,3.00332,0.352121,3.31597,3.17847,0.652076,3.31597,3.17847,0.352121,2.69362,2.76202,0.652076,2.69362,2.76202,All
0.359798,2.71323,2.7466,0.666293,2.71323,2.7466,0.359798,2.57087,3.01037,0.666293,2.57087,3.01037,0.359798,3.29532,3.17924,0.666293,3.29532,3.17924,0.359798,2.72724,2.75417,0.666293,2.72724,2.75417,All
0.367475,2.72221,2.74094,0.680509,2.72221,2.74094,0.367475,2.63261,3.01742,0.680509,2.63261,3.01742,0.367475,3.27468,3.18001,0.680509,3.27468,3.18001,0.367475,2.76085,2.74633,0.680509,2.76085,2.74633,All
0.375152,2.7312,2.73529,0.694725,2.7312,2.73529,0.375152,2.69434,3.02447,0.694725,2.69434,3.02447,0.375152,3.25404,3.18078,0.694725,3.25404,3.18078,0.375152,2.79447,2.73848,0.694725,2.79447,2.73848,All
0.382828,2.74018,2.72963,0.708941,2.74018,2.72963,0.382828,2.75608,3.03152,0.708941,2.75608,3.03152,0.382828,3.23339,3.18155,0.708941,3.23339,3.18155,0.382828,2.82808,2.73064,0.708941,2.82808,2.73064,All
0.390505,2.74917,2.72397,0.723158,2.74917,2.72397,0.390505,2.81782,3.03857,0.723158,2.81782,3.03857,0.390505,3.21275,3.18232,0.723158,3.21275,3.18232,0.390505,2.8617,2.72279,0.723158,2.8617,2.72279,All
0.398182,2.75815,2.71831,0.737374,2.75815,2.71831,0.398182,2.87955,3.04563,0.737374,2.87955,3.04563,0.398182,3.19211,3.18309,0.737374,3.19211,3.18309,0.398182,2.89532,2.71494,0.737374,2.89532,2.71494,All
0.405859,2.76714,2.71265,0.75159,2.76714,2.71265,0.405859,2.94129,3.05268,0.75159,2.94129,3.05268,0.405859,3.17146,3.18386,0.75159,3.17146,3.18386,0.405859,2.92893,2.7071,0.75159,2.92893,2.7071,All
0.413535,2.77612,2.707,0.765806,2.77612,2.707,0.413535,3.00302,3.05973,0.765806,3.00302,3.05973,0.413535,3.15082,3.18463,0.765806,3.15082,3.18463,0.413535,2.96255,2.69925,0.765806,2.96255,2.69925,All
0.421212,2.7851,2.70134,0.780022,2.7851,2.70134,0.421212,3.06476,3.06678,0.780022,3.06476,3.06678,0.421212,3.13018,3.18541,0.780022,3.13018,3.18541,0.421212,2.99616,2.6914,0.780022,2.99616,2.6914,All
0.428889,2.79409,2.69568,0.794239,2.79409,2.69568,0.428889,3.1265,3.07383,0.794239,3.1265,3.07383,0.428889,3.10953,3.18618,0.794239,3.10953,3.18618,0.428889,3.02978,2.68356,0.794239,3.02978,2.68356,All
0.436566,2.80307,2.69002,0.808455,2.80307,2.69002,0.436566,3.18823,3.08088,0.808455,3.18823,3.08088,0.436566,3.08889,3.18695,0.808455,3.08889,3.18695,0.436566,3.06339,2.67571,0.808455,3.06339,2.67571,All
