rep,ID,eta_Cl_simulated,eta_V1_simulated,eta_Q_simulated,eta_V2_simulated,split,color,filter
0,1,0.309761,-0.319056,0.569753,1.07238,All,#4682B4,0
1,1,0.349243,-0.149398,0.337951,1.08201,All,#4682B4,0
2,1,0.29733,-0.106821,0.472896,1.32,All,#4682B4,0
3,1,0.28132,-0.151163,0.354916,1.46546,All,#4682B4,0
4,1,0.279368,-0.219664,0.462855,0.727773,All,#4682B4,0
5,1,0.206014,-0.191636,0.724471,1.25406,All,#4682B4,0
6,1,0.167801,-0.459331,0.736613,1.18233,All,#4682B4,0
7,1,0.368297,-0.00468092,0.309619,1.21177,All,#4682B4,0
8,1,0.321653,-0.186722,0.516645,1.46212,All,#4682B4,0
9,1,0.314993,0.0880732,0.184685,1.38797,All,#4682B4,0
0,2,0.192509,-0.177656,0.0783308,-0.371809,All,#4682B4,0
1,2,0.185193,-0.127587,-0.499385,-0.207892,All,#4682B4,0
2,2,0.15821,-0.0972405,-0.854192,0.00320496,All,#4682B4,0
3,2,0.242219,-0.0750425,-0.421746,-0.654825,All,#4682B4,0
4,2,0.270656,-0.204389,-0.444404,-0.159953,All,#4682B4,0
5,2,0.184667,-0.268859,-0.522313,0.0671105,All,#4682B4,0
6,2,0.233782,0.0420179,-1.5958,-0.334293,All,#4682B4,0
7,2,0.243088,-0.169718,-0.595555,-0.44488,All,#4682B4,0
8,2,0.240526,0.0466102,-1.02452,-0.681967,All,#4682B4,0
9,2,0.169409,-0.0576298,-1.18411,-0.641557,All,#4682B4,0
0,3,0.339213,0.0836099,0.289472,-0.378638,All,#4682B4,0
1,3,0.303927,0.182367,-0.105687,-0.293241,All,#4682B4,0
2,3,0.306041,0.0846062,-0.126669,-0.611615,All,#4682B4,0
3,3,0.231799,-0.337604,0.865862,0.371775,All,#4682B4,0
4,3,0.264879,0.171685,0.0959741,-0.237017,All,#4682B4,0
5,3,0.206846,0.222431,-0.489751,-0.262825,All,#4682B4,0
6,3,0.169676,0.2315,0.963587,-1.1046,All,#4682B4,0
7,3,0.18774,-0.0368634,0.663045,0.120525,All,#4682B4,0
8,3,0.241987,-0.00423206,0.351989,-0.127241,All,#4682B4,0
9,3,0.310699,0.316049,-2.38293,-2.32104,All,#4682B4,0
0,4,-0.10156,-0.274036,0.578878,-0.272536,All,#4682B4,0
1,4,-0.0527308,-0.359018,0.587903,-0.110355,All,#4682B4,0
2,4,-0.0325028,0.0361061,-0.499449,-0.539197,All,#4682B4,0
3,4,-0.0763309,0.0167444,-0.477974,-0.718782,All,#4682B4,0
4,4,-0.135296,-0.0917377,0.132681,-0.00420033,All,#4682B4,0
5,4,-0.07356,0.0298026,0.0696147,-0.856236,All,#4682B4,0
6,4,-0.121232,0.0017199,-1.05068,-0.613274,All,#4682B4,0
7,4,-0.14423,-0.275919,0.281465,-0.0910111,All,#4682B4,0
8,4,-0.0612289,-0.0306234,-0.309954,-0.741866,All,#4682B4,0
9,4,-0.0855404,0.0830406,0.0890106,-1.19798,All,#4682B4,0
0,5,-0.144402,-0.136363,-1.75466,0.456233,All,#4682B4,0
1,5,-0.161808,-0.229255,-1.15044,1.13849,All,#4682B4,0
2,5,-0.16458,-0.087653,-1.68754,0.219235,All,#4682B4,0
3,5,-0.229993,-0.142989,-1.44591,0.482292,All,#4682B4,0
4,5,-0.179752,-0.183165,-1.49682,1.06424,All,#4682B4,0
5,5,-0.0880079,-0.126828,-1.41154,-0.341382,All,#4682B4,0
6,5,-0.177249,-0.164463,-1.30941,1.45599,All,#4682B4,0
7,5,-0.168517,-0.124671,-1.54711,0.400786,All,#4682B4,0
8,5,-0.137062,-0.0773729,-1.99401,1.00237,All,#4682B4,0
9,5,-0.181018,-0.340028,-0.805698,0.287315,All,#4682B4,0
0,6,0.120551,0.0812628,-0.318965,-0.445038,All,#4682B4,0
1,6,0.154326,0.145271,-0.55503,-0.786456,All,#4682B4,0
2,6,0.0664985,0.333068,-1.86453,0.133599,All,#4682B4,0
3,6,0.086953,0.177983,0.72368,-1.75684,All,#4682B4,0
4,6,0.128058,0.280561,-0.383135,-1.28738,All,#4682B4,0
5,6,0.117009,0.218294,-1.07115,0.426294,All,#4682B4,0
6,6,0.0464134,0.191962,-0.910784,-0.16418,All,#4682B4,0
7,6,0.0798628,0.158381,-1.76577,-0.701141,All,#4682B4,0
8,6,0.102778,0.206156,0.355299,-1.20609,All,#4682B4,0
9,6,0.0490266,0.278553,-1.19809,0.449752,All,#4682B4,0
0,7,-0.497428,0.612751,1.24054,0.0993288,All,#4682B4,0
1,7,-0.437119,0.694587,0.798459,1.68197,All,#4682B4,0
2,7,-0.416958,0.61392,0.630933,-0.0854871,All,#4682B4,0
3,7,-0.462912,0.690463,0.610288,0.588147,All,#4682B4,0
4,7,-0.437374,0.700372,0.225771,-0.366672,All,#4682B4,0
5,7,-0.423613,0.641944,-0.435379,0.440293,All,#4682B4,0
6,7,-0.465332,0.0563495,2.27111,1.00166,All,#4682B4,0
7,7,-0.500357,0.738957,-0.378429,0.0775782,All,#4682B4,0
8,7,-0.462318,0.679352,0.498108,0.172087,All,#4682B4,0
9,7,-0.383222,0.196934,2.15613,1.02511,All,#4682B4,0
0,8,-0.326046,-0.0793459,2.80201,-1.13871,All,#4682B4,0
1,8,-0.351321,-0.0449197,0.17263,-1.5119,All,#4682B4,0
2,8,-0.322228,-0.0959089,0.828604,-0.940107,All,#4682B4,0
3,8,-0.292584,-0.291533,0.0534205,-0.203031,All,#4682B4,0
4,8,-0.332756,-0.011867,0.923106,-2.07914,All,#4682B4,0
5,8,-0.354002,-0.0656184,-0.1845,-0.988889,All,#4682B4,0
6,8,-0.371752,-0.115354,1.46971,-1.21122,All,#4682B4,0
7,8,-0.34425,-0.21826,0.457622,-0.617213,All,#4682B4,0
8,8,-0.295973,-0.208467,1.44423,-0.71695,All,#4682B4,0
9,8,-0.399329,0.0179798,-0.14733,-1.58286,All,#4682B4,0
0,9,0.366205,0.201779,0.239278,0.0750992,All,#4682B4,0
1,9,0.25649,-0.203094,0.328502,0.649365,All,#4682B4,0
2,9,0.274498,-0.266951,0.819536,0.43038,All,#4682B4,0
3,9,0.263736,-0.137992,0.264098,0.0944945,All,#4682B4,0
4,9,0.260421,-0.204157,0.80201,0.595238,All,#4682B4,0
5,9,0.357198,-0.255026,0.961151,0.30032,All,#4682B4,0
6,9,0.192338,-0.488835,0.9206,0.763155,All,#4682B4,0
7,9,0.30155,0.141677,-0.285431,-0.867791,All,#4682B4,0
8,9,0.412299,-0.116061,0.556456,-0.225535,All,#4682B4,0
9,9,0.322719,-0.10312,0.268931,0.151772,All,#4682B4,0
0,10,0.276164,-0.260592,1.27172,0.39745,All,#4682B4,0
1,10,0.46613,0.259401,0.107499,-0.827826,All,#4682B4,0
2,10,0.411965,0.295949,-0.534301,0.327492,All,#4682B4,0
3,10,0.399729,0.246771,0.597701,-0.221527,All,#4682B4,0
4,10,0.398564,0.319502,0.798217,-0.411195,All,#4682B4,0
5,10,0.360901,0.155034,1.01356,-0.149425,All,#4682B4,0
6,10,0.420095,-0.0264997,0.376153,0.083016,All,#4682B4,0
7,10,0.378832,0.18565,-0.220606,-0.816832,All,#4682B4,0
8,10,0.406156,0.309686,0.545696,-1.61198,All,#4682B4,0
9,10,0.377009,0.418055,-1.62469,0.112231,All,#4682B4,0
0,11,0.0843179,-0.179367,0.139805,1.26985,All,#4682B4,0
1,11,0.110087,-0.0246566,0.00471827,1.24289,All,#4682B4,0
2,11,0.204442,0.0361343,-0.0086202,0.722185,All,#4682B4,0
3,11,0.234898,0.464976,-0.742491,1.14103,All,#4682B4,0
4,11,0.140858,0.0414483,0.167361,1.28908,All,#4682B4,0
5,11,0.178909,0.133059,-0.00388791,0.980945,All,#4682B4,0
6,11,0.19946,0.0980585,-0.187697,1.321,All,#4682B4,0
7,11,0.119864,0.119278,-0.23971,1.1701,All,#4682B4,0
8,11,0.103696,0.256478,-0.437706,0.998184,All,#4682B4,0
9,11,0.182454,-0.0100963,0.162273,0.963174,All,#4682B4,0
0,12,0.0394968,-0.0672924,-0.767421,-1.33075,All,#4682B4,0
1,12,0.0854503,0.00921596,-2.14126,-0.808286,All,#4682B4,0
2,12,0.122126,-0.0763728,-0.0229818,-1.07336,All,#4682B4,0
3,12,0.0245251,-0.0695569,-1.12024,-0.121238,All,#4682B4,0
4,12,0.0204754,-0.124136,-1.92828,-1.4359,All,#4682B4,0
5,12,0.10632,-0.133747,-0.388146,-0.936861,All,#4682B4,0
6,12,0.0606238,0.0694131,-1.78092,-0.067736,All,#4682B4,0
7,12,0.0959959,0.0247598,-2.0153,-0.38397,All,#4682B4,0
8,12,0.00708408,-0.159247,-0.707971,-0.497128,All,#4682B4,0
9,12,0.0609913,-0.0987399,-0.366139,-1.68769,All,#4682B4,0
0,13,-0.216641,0.178904,1.03412,1.34883,All,#4682B4,0
1,13,-0.153393,-0.128981,1.26062,1.26872,All,#4682B4,0
2,13,-0.173584,0.49431,1.11313,1.59809,All,#4682B4,0
3,13,-0.0772597,0.252964,1.03263,1.55338,All,#4682B4,0
4,13,-0.16943,0.52454,0.424816,1.63407,All,#4682B4,0
5,13,-0.215084,-0.434802,1.38376,1.21878,All,#4682B4,0
6,13,-0.112729,-0.530693,1.7512,1.48441,All,#4682B4,0
7,13,-0.184638,0.373464,1.35821,1.09293,All,#4682B4,0
8,13,-0.181492,0.145213,1.19385,1.12568,All,#4682B4,0
9,13,-0.144845,-0.148981,1.22508,1.3853,All,#4682B4,0
0,14,-0.231659,0.0636023,-0.390745,-0.952795,All,#4682B4,0
1,14,-0.253461,0.166895,-0.265291,-1.58865,All,#4682B4,0
2,14,-0.278069,-0.0782409,-0.0384517,-0.120939,All,#4682B4,0
3,14,-0.282546,-0.125249,-0.0175294,-0.2502,All,#4682B4,0
4,14,-0.243379,0.0607041,0.50945,-0.779593,All,#4682B4,0
5,14,-0.274379,-0.0118278,0.0722693,-0.917032,All,#4682B4,0
6,14,-0.319909,-0.046529,0.627766,-0.26995,All,#4682B4,0
7,14,-0.239419,-0.0814855,1.46668,-0.101862,All,#4682B4,0
8,14,-0.262585,0.164591,-0.795066,-1.81852,All,#4682B4,0
9,14,-0.279377,0.0286833,1.26477,-0.784845,All,#4682B4,0
0,15,-0.295392,-0.358856,0.93956,-1.64706,All,#4682B4,0
1,15,-0.316623,-0.261886,0.867805,-2.63793,All,#4682B4,0
2,15,-0.291431,-0.347258,1.49556,-1.39027,All,#4682B4,0
3,15,-0.242721,-0.508744,1.22844,-0.871773,All,#4682B4,0
4,15,-0.309847,-0.395829,0.371655,-1.38446,All,#4682B4,0
5,15,-0.297656,-0.29518,-0.0257152,-1.59601,All,#4682B4,0
6,15,-0.280105,-0.267273,-1.45139,-1.54715,All,#4682B4,0
7,15,-0.249166,-0.419665,-0.245649,-1.26665,All,#4682B4,0
8,15,-0.274989,-0.445387,-0.585394,-1.10773,All,#4682B4,0
9,15,-0.316058,-0.38926,-0.892856,-1.21655,All,#4682B4,0
