Parameters,Run_1,Run_2,Run_3
Cl_pop,13.5126,13.5085,13.5026
Q_pop,25.3138,23.5505,27.2538
V1_pop,24.1338,24.4412,23.6275
V2_pop,12.9647,12.6918,13.251
a,1.56237,1.53323,1.54043
b,0.0418888,0.0425184,0.0420635
omega_Cl,0.25958,0.25916,0.259215
omega_Q,0.961019,0.949157,1.00688
omega_V1,0.282161,0.269431,0.24961
omega_V2,0.873088,0.910976,0.883428
-2LL,512.264,512.311,512.428
