iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,omega_Cl,omega_Q,omega_V1,omega_V2
1,439.744,1,13.4866,26.1033,23.7033,13.0319,1.91682,0.259858,0.933309,0.288715,0.82113
2,446.636,1,13.5099,25.3929,23.7334,12.9549,1.91091,0.25509,1.02707,0.260363,0.79744
3,443.783,1,13.3152,26.459,23.1983,14.4914,1.91618,0.257246,0.961179,0.263186,0.747896
4,436.893,1,13.3045,28.0357,22.6666,14.7095,1.87183,0.248158,0.932063,0.279772,0.685795
5,444.741,1,13.4827,29.8671,22.1623,15.7322,1.93802,0.265379,0.892579,0.27998,0.70891
6,449.443,1,13.4959,29.1477,22.1524,15.4947,1.93856,0.262239,1.03713,0.271155,0.744486
7,445.858,1,13.4946,29.1756,22.6055,15.2499,1.88827,0.264229,1.04296,0.273787,0.753369
8,443.13,1,13.4887,31.2417,22.0307,15.4461,1.891,0.261191,1.0672,0.265778,0.694673
9,438.523,1,13.4813,34.0395,21.6733,15.194,1.85328,0.257486,1.04103,0.268263,0.690835
10,439.423,1,13.447,30.5719,22.4906,13.9262,1.85198,0.264529,0.992866,0.264643,0.739502
11,449.026,1,13.3987,29.8601,22.2317,13.0044,1.9603,0.255006,0.918967,0.283693,0.762888
12,444.702,1,13.522,32.2707,22.3196,13.7161,1.87704,0.26065,0.94594,0.294593,0.779808
13,441.341,1,13.5232,28.6121,22.2902,13.8713,1.87009,0.263983,0.954531,0.292554,0.702033
14,446.999,1,13.4537,26.4374,23.0748,13.9687,1.98218,0.252722,0.99478,0.262657,0.672628
15,450.855,1,13.4861,27.1765,22.6449,13.9755,1.98189,0.267778,1.0297,0.281506,0.651234
16,450.722,1,13.5102,26.3594,22.7044,13.6953,1.97505,0.259907,1.02819,0.284519,0.675471
17,447.575,1,13.6057,28.4056,22.6738,13.5943,1.93742,0.256584,1.12254,0.263648,0.681715
18,440.658,1,13.5014,29.5171,22.531,13.9975,1.85537,0.257834,1.1541,0.269039,0.661881
19,445.588,1,13.5177,30.3025,22.7378,13.7089,1.92219,0.249889,1.0634,0.26735,0.714299
20,439.889,1,13.6259,31.0925,22.8351,13.4774,1.82458,0.254111,1.0233,0.278405,0.787001
21,446.968,1,13.48,29.5877,22.5744,13.7452,1.91157,0.25036,1.04215,0.276322,0.761353
22,440.9,1,13.5315,32.1573,22.2804,13.9314,1.84686,0.255268,1.11879,0.255802,0.751195
23,442.593,1,13.3702,33.5584,22.2833,14.5165,1.84406,0.263106,1.13399,0.26405,0.74361
24,448.241,1,13.3002,30.3133,22.7373,15.2912,1.93397,0.254331,1.09981,0.263568,0.725482
25,457.673,1,13.5787,31.1522,22.6938,13.2513,2.01788,0.266713,1.07713,0.274959,0.722764
26,453.114,1,13.5715,31.3483,22.9181,12.4361,1.9867,0.263579,1.01847,0.275427,0.726745
27,448.884,1,13.4108,30.6462,23.1005,13.2957,1.9489,0.25484,0.988994,0.27389,0.756691
28,453.591,1,13.4848,30.6131,22.897,13.6232,1.96794,0.267239,1.03375,0.266164,0.784986
29,447.136,1,13.6399,27.6831,22.9413,13.803,1.93726,0.264996,1.10256,0.248555,0.702833
30,448.331,1,13.568,26.6804,23.4195,13.6792,1.96232,0.262961,1.08779,0.240892,0.714842
31,436.825,1,13.4618,27.259,23.4073,13.6272,1.8731,0.260264,1.01939,0.232797,0.714044
32,440.444,1,13.5773,27.831,23.8621,14.4142,1.84707,0.261464,1.08111,0.267174,0.715208
33,453.736,1,13.571,27.859,23.9202,14.9382,1.93612,0.27483,1.1287,0.257154,0.800068
34,447.225,1,13.5908,26.446,24.1305,13.3923,1.91084,0.255643,1.01174,0.294261,0.729057
35,449.351,1,13.5402,23.0206,23.7377,13.8509,1.96996,0.258751,0.990787,0.271887,0.714621
36,457.842,1,13.5433,26.5901,23.8468,12.8119,2.07992,0.261,0.97868,0.268367,0.701211
37,456.413,1,13.5591,25.1232,24.3749,13.2485,2.02849,0.257315,1.01324,0.27479,0.740952
38,463.085,1,13.5306,25.2799,24.0051,13.6665,2.15193,0.258972,0.91702,0.277506,0.711431
39,460.706,1,13.416,25.7227,24.4425,12.2054,2.06667,0.256133,0.929927,0.307786,0.74892
40,450.574,1,13.4733,24.7078,23.7702,13.2138,1.91595,0.270154,0.934202,0.320429,0.755244
41,459.823,1,13.5938,24.6387,23.6167,13.9158,2.02727,0.267678,0.877747,0.31876,0.796945
42,455.451,1,13.549,24.1089,23.4573,13.8771,1.98545,0.264739,0.930009,0.309249,0.765721
43,447.299,1,13.3391,24.1266,23.6074,14.8206,1.91841,0.259486,0.816698,0.324305,0.79078
44,451.034,1,13.452,23.9644,23.844,13.3821,1.9321,0.256518,0.866829,0.333879,0.795244
45,447.474,1,13.3256,23.8626,23.9785,14.3109,1.94079,0.250161,0.834016,0.317238,0.771583
46,448.394,1,13.5746,23.0779,24.044,14.5328,1.9425,0.260143,0.808344,0.319423,0.779946
47,452.518,1,13.5751,22.1022,23.7311,13.8087,1.94207,0.275993,0.821958,0.325131,0.816026
48,452.328,1,13.5426,23.0195,23.8785,12.345,2.00136,0.270036,0.789338,0.34233,0.687087
49,447.858,1,13.5733,20.8586,23.9895,12.0852,1.97254,0.261291,0.7348,0.345295,0.709403
50,450.18,1,13.5864,19.8231,24.4818,12.2649,1.96211,0.267111,0.765062,0.345709,0.741993
51,436.081,1,13.3182,20.3357,24.5741,13.6876,1.82335,0.254706,0.744705,0.345715,0.768307
52,441.922,1,13.4258,21.9562,24.6042,13.1873,1.85723,0.255681,0.776009,0.338079,0.819119
53,438.768,1,13.363,20.3325,24.814,14.2822,1.8533,0.255729,0.713975,0.341467,0.803232
54,435.429,1,13.3055,20.2066,24.7152,14.0536,1.77909,0.256013,0.765497,0.344293,0.843951
55,442.869,1,13.2894,21.7604,24.4532,14.8473,1.84119,0.264878,0.781312,0.335256,0.85999
56,444.996,1,13.4002,20.4756,24.2625,13.792,1.88567,0.255002,0.817244,0.330773,0.807763
57,445.824,1,13.3942,21.4239,24.0342,14.5671,1.89814,0.259099,0.840507,0.33171,0.76231
58,436.71,1,13.4046,21.6451,24.375,13.417,1.83985,0.257164,0.79392,0.331402,0.721245
59,442.205,1,13.381,21.538,24.1648,12.1826,1.88538,0.259389,0.814219,0.322724,0.745012
60,447.339,1,13.6163,22.0813,23.8189,12.2494,1.91513,0.260616,0.839545,0.330996,0.759032
61,444.211,1,13.4825,24.3021,23.8829,12.3338,1.87392,0.25838,0.816017,0.335167,0.796244
62,448.148,1,13.6014,26.8914,23.9175,12.1656,1.95241,0.26257,0.750358,0.326227,0.784652
63,445.746,1,13.4821,24.8745,24.08,12.1178,1.94569,0.25535,0.752783,0.305879,0.807939
64,441.841,1,13.3535,26.9809,23.943,11.9875,1.92917,0.249028,0.726582,0.302777,0.800319
65,444.25,1,13.5305,25.8288,24,12.0149,1.96557,0.258014,0.703818,0.291262,0.804979
66,436.259,1,13.4449,25.1114,24.0989,12.5409,1.901,0.262684,0.639797,0.299035,0.789583
67,442.016,1,13.6118,27.2633,24.3535,11.7073,1.90726,0.273512,0.709576,0.286052,0.849438
68,444.857,1,13.4818,26.7409,24.0846,12.0188,1.9188,0.265978,0.800836,0.294711,0.797135
69,444.336,1,13.5791,27.4803,24.0979,11.5658,1.89686,0.263887,0.785015,0.300412,0.84539
70,443.536,1,13.4862,27.5008,23.8301,11.9987,1.85457,0.263258,0.870548,0.30156,0.846048
71,440.879,1,13.5288,23.4995,23.9458,11.7759,1.84287,0.268878,0.808908,0.307913,0.829295
72,439.407,1,13.4969,22.0467,24.2753,12.8064,1.85669,0.276507,0.796669,0.309719,0.741836
73,440.173,1,13.6117,21.9913,24.4983,13.4829,1.8673,0.266171,0.791921,0.301714,0.789554
74,442.221,1,13.5927,22.061,24.3338,12.4778,1.88611,0.272056,0.792324,0.305909,0.768732
75,440.714,1,13.444,22.0032,24.2302,13.3079,1.85905,0.269437,0.769693,0.305049,0.829455
76,445.531,1,13.4529,21.9123,24.6005,12.7917,1.99177,0.259188,0.76467,0.294406,0.704583
77,446.119,1,13.3091,21.6482,24.5639,11.7772,1.96419,0.260465,0.790053,0.283625,0.779612
78,446.07,1,13.4437,24.4965,24.4807,11.6858,1.95301,0.258492,0.786157,0.277687,0.832437
79,437.01,1,13.3706,23.4408,24.3649,12.6514,1.85018,0.254841,0.826116,0.27336,0.828826
80,440.615,1,13.4154,24.3316,24.1487,13.224,1.84085,0.250677,0.952066,0.273238,0.849677
81,445.452,1,13.5705,23.8107,24.2904,13.7529,1.90561,0.261644,0.895417,0.266344,0.851771
82,447.65,1,13.6009,24.4561,24.0756,13.8344,1.95308,0.258292,0.882184,0.267111,0.81333
83,439.764,1,13.5389,24.9575,23.6899,13.1101,1.86396,0.2599,0.873739,0.260989,0.844604
84,445.819,1,13.4992,24.7064,23.6794,13.4606,1.95203,0.254498,0.875594,0.270974,0.773735
85,437.601,1,13.5532,24.6743,23.6068,12.7951,1.83236,0.259895,0.88723,0.286567,0.77921
86,433.652,1,13.4653,22.7053,24.1801,12.6109,1.76966,0.260124,0.857524,0.293227,0.846505
87,439.797,1,13.5642,24.5415,24.1981,12.5611,1.82018,0.263212,0.810236,0.308676,0.875154
88,439.04,1,13.5997,23.2913,24.4072,12.1683,1.83542,0.260796,0.839423,0.298544,0.818474
89,440.062,1,13.4567,23.0819,24.3074,12.9531,1.8776,0.261815,0.836801,0.286304,0.772269
90,433.501,1,13.5087,24.7524,24.2115,12.4118,1.81511,0.263377,0.816341,0.279896,0.788903
91,431.584,1,13.5136,24.9376,24.5423,12.8746,1.7967,0.265772,0.869766,0.259557,0.788027
92,437.588,1,13.5364,24.9134,24.1661,13.8904,1.79617,0.27023,0.943055,0.265702,0.854445
93,437.721,1,13.4419,26.1886,24.2933,14.2354,1.8173,0.262829,0.954425,0.255904,0.845266
94,433.9,1,13.4629,25.3749,24.1263,14.0639,1.84781,0.255569,0.870822,0.243181,0.800534
95,437.283,1,13.5601,24.5319,23.8345,14.0763,1.86428,0.258286,0.913638,0.234568,0.83171
96,440.825,1,13.4574,26.5605,24.1049,13.93,1.90107,0.261351,0.823345,0.233067,0.921121
97,442.45,1,13.4654,24.9585,23.8915,13.1349,1.91706,0.260276,0.886067,0.229272,0.878076
98,438.472,1,13.5359,23.6896,24.6522,12.1916,1.88124,0.261396,0.901382,0.220655,0.873649
99,430.974,1,13.6212,23.6973,24.4414,12.4759,1.83131,0.259917,0.894533,0.22276,0.7998
100,442.017,1,13.5268,22.8771,24.6226,11.9109,1.90994,0.257676,0.864565,0.244113,0.860064
101,445.913,1,13.3648,21.7557,24.7204,12.4722,1.95126,0.256161,0.736839,0.27505,0.904829
102,444.029,1,13.4509,22.8955,24.8012,12.1213,1.94075,0.264036,0.77061,0.25423,0.880285
103,448.628,1,13.5854,23.8274,24.531,11.8396,1.97014,0.263442,0.806675,0.260137,0.879114
104,453.038,1,13.5482,24.7273,24.2149,11.7401,2.01291,0.256327,0.784647,0.292844,0.842657
105,457.559,1,13.5086,25.9613,23.923,12.5925,2.01823,0.270932,0.777093,0.29829,0.904693
106,446.358,1,13.6195,27.8274,24.1849,12.2242,1.91527,0.258297,0.792442,0.288428,0.900776
107,438.365,1,13.4179,26.6645,24.3056,12.4856,1.88663,0.252212,0.759827,0.294488,0.788596
108,441.089,1,13.418,27.9537,24.0896,12.3237,1.88963,0.25581,0.786065,0.294287,0.815904
109,444.839,1,13.5177,28.6795,23.8405,12.6368,1.91923,0.263737,0.767599,0.307286,0.802851
110,445.711,1,13.4189,29.3058,23.8808,12.405,1.88454,0.254843,0.798702,0.331182,0.848906
111,447.297,1,13.3777,28.6508,23.7642,12.6076,1.92207,0.256037,0.749063,0.315392,0.888434
112,454.553,1,13.4365,27.9644,23.7116,13.3883,2.01141,0.258775,0.7702,0.312815,0.840941
113,448.053,1,13.5094,27.5125,23.6385,12.4452,1.96389,0.2528,0.82201,0.300529,0.777792
114,441.922,1,13.4558,28.771,23.5996,12.0348,1.88472,0.255031,0.813786,0.301662,0.80513
115,436.317,1,13.4348,29.7302,23.4581,12.3601,1.8812,0.266017,0.757434,0.283534,0.740025
116,432.491,1,13.5343,28.5858,23.2132,12.455,1.84889,0.259322,0.673638,0.294454,0.8009
117,432.121,1,13.4898,29.1841,23.6344,12.5556,1.87563,0.265733,0.625591,0.297197,0.757086
118,428.658,1,13.5853,28.9335,23.3547,11.9007,1.86664,0.272896,0.596282,0.276155,0.762846
119,431.732,1,13.5494,30.9662,23.1076,12.3934,1.89413,0.259978,0.669586,0.27575,0.726155
120,430.961,1,13.5214,30.1744,22.9883,12.5229,1.88461,0.262958,0.639102,0.279405,0.745211
121,433.135,1,13.4682,28.2363,22.8321,12.6054,1.89824,0.265064,0.613691,0.28661,0.773542
122,439.142,1,13.404,27.0919,22.9101,12.6344,1.97865,0.25846,0.661285,0.294648,0.685861
123,446.569,1,13.615,26.0941,22.9267,12.3441,2.02622,0.26762,0.665937,0.295994,0.729592
124,449.386,1,13.5904,27.6054,23.496,12.2103,2.05349,0.26931,0.693871,0.295098,0.708833
125,446.816,1,13.3427,27.417,23.5689,13.0346,1.94814,0.261979,0.793517,0.294649,0.797796
126,445.891,1,13.3846,28.9476,23.3443,12.8897,1.96336,0.260944,0.772565,0.286143,0.784755
127,441.244,1,13.2229,26.9747,23.281,13.5768,1.92121,0.251615,0.791766,0.270361,0.817602
128,442.29,1,13.5384,24.8581,23.0736,13.7852,1.96245,0.262077,0.81978,0.259769,0.72132
129,443.21,1,13.5538,23.2992,23.7258,13.6086,1.9235,0.254217,0.875584,0.254433,0.824442
130,451.563,1,13.5262,25.7908,23.1665,12.5767,1.95722,0.257801,0.911736,0.275,0.861787
131,450.522,1,13.55,24.172,23.3968,12.1529,1.97451,0.269932,0.933293,0.252772,0.80243
132,451.129,1,13.4099,23.6738,23.4843,11.8879,2.02274,0.260022,0.967044,0.230338,0.781427
133,444.883,1,13.5657,22.7392,23.9792,11.8064,1.94337,0.274262,0.952788,0.227048,0.783416
134,450.365,1,13.6023,23.1921,24.2097,11.4908,2.02137,0.274732,0.898088,0.231251,0.776357
135,442.983,1,13.6075,23.9791,24.3217,12.0329,1.98302,0.270111,0.861257,0.219674,0.758317
136,447.253,1,13.5503,26.7059,23.6531,12.1698,1.99425,0.266769,0.924034,0.20484,0.856045
137,452.293,1,13.5919,26.9808,23.3475,12.9589,2.06464,0.255869,0.943451,0.214566,0.805413
