pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-4,0,-4,0,-4,0,All
-1.54567,0.0111111,-2.64879,0.00111111,-1.84186,0.0111111,All
-1.47044,0.0222222,-2.53975,0.00222222,-1.7224,0.0222222,All
-1.38812,0.0333333,-2.51571,0.00333333,-1.6716,0.0333333,All
-1.19346,0.0444444,-2.44932,0.00444444,-1.33474,0.0444444,All
-1.16329,0.0555556,-2.39392,0.00555556,-1.2982,0.0555556,All
-1.14884,0.0666667,-2.34893,0.00666667,-1.24283,0.0666667,All
-1.04855,0.0777778,-2.26225,0.00777778,-1.21116,0.0777778,All
-1.04186,0.0888889,-2.20436,0.00888889,-1.14063,0.0888889,All
-1.04058,0.1,-2.13491,0.01,-1.12465,0.1,All
-1.01681,0.111111,-2.12421,0.0111111,-1.10106,0.111111,All
-1.0114,0.122222,-2.10483,0.0122222,-1.05972,0.122222,All
-0.978332,0.133333,-2.10071,0.0133333,-1.05595,0.133333,All
-0.968918,0.144444,-2.04696,0.0144444,-1.05551,0.144444,All
-0.947656,0.155556,-2.03393,0.0155556,-0.993125,0.155556,All
-0.94341,0.166667,-2.01255,0.0166667,-0.979915,0.166667,All
-0.922125,0.177778,-1.98894,0.0177778,-0.948655,0.177778,All
-0.893739,0.188889,-1.98623,0.0188889,-0.891287,0.188889,All
-0.872842,0.2,-1.983,0.02,-0.866255,0.2,All
-0.863844,0.211111,-1.98261,0.0211111,-0.863865,0.211111,All
-0.815018,0.222222,-1.94861,0.0222222,-0.840573,0.222222,All
-0.806915,0.233333,-1.946,0.0233333,-0.838075,0.233333,All
-0.80675,0.244444,-1.9151,0.0244444,-0.797459,0.244444,All
-0.766304,0.255556,-1.89022,0.0255556,-0.796835,0.255556,All
-0.760585,0.266667,-1.84126,0.0266667,-0.723859,0.266667,All
-0.748554,0.277778,-1.83462,0.0277778,-0.720129,0.277778,All
-0.728541,0.288889,-1.82766,0.0288889,-0.700787,0.288889,All
-0.728013,0.3,-1.82616,0.03,-0.70062,0.3,All
-0.712893,0.311111,-1.82434,0.0311111,-0.695121,0.311111,All
-0.703784,0.322222,-1.79879,0.0322222,-0.670598,0.322222,All
-0.691572,0.333333,-1.79327,0.0333333,-0.665418,0.333333,All
-0.691025,0.344444,-1.78524,0.0344444,-0.645468,0.344444,All
-0.681324,0.355556,-1.78405,0.0355556,-0.611467,0.355556,All
-0.652956,0.366667,-1.78174,0.0366667,-0.57813,0.366667,All
-0.610078,0.377778,-1.7806,0.0377778,-0.563354,0.377778,All
-0.603936,0.388889,-1.75639,0.0388889,-0.559953,0.388889,All
-0.59161,0.4,-1.74562,0.04,-0.551943,0.4,All
-0.580805,0.411111,-1.69535,0.0411111,-0.537993,0.411111,All
-0.53963,0.422222,-1.66977,0.0422222,-0.467215,0.422222,All
-0.500634,0.433333,-1.65598,0.0433333,-0.454951,0.433333,All
-0.478111,0.444444,-1.65488,0.0444444,-0.365409,0.444444,All
-0.47148,0.455556,-1.65327,0.0455556,-0.354775,0.455556,All
-0.468593,0.466667,-1.64815,0.0466667,-0.348935,0.466667,All
-0.449905,0.477778,-1.63826,0.0477778,-0.346019,0.477778,All
-0.430929,0.488889,-1.62623,0.0488889,-0.342045,0.488889,All
-0.396136,0.5,-1.6232,0.05,-0.269076,0.5,All
-0.366178,0.511111,-1.61789,0.0511111,-0.268086,0.511111,All
-0.303517,0.522222,-1.59157,0.0522222,-0.215836,0.522222,All
-0.24896,0.533333,-1.58078,0.0533333,-0.131832,0.533333,All
-0.226845,0.544444,-1.56805,0.0544444,-0.130886,0.544444,All
-0.181711,0.555556,-1.56287,0.0555556,-0.0887091,0.555556,All
-0.140733,0.566667,-1.55966,0.0566667,0.0296505,0.566667,All
-0.0228224,0.577778,-1.55188,0.0577778,0.1284,0.577778,All
0.134691,0.588889,-1.54816,0.0588889,0.206876,0.588889,All
0.188808,0.6,-1.54605,0.06,0.268876,0.6,All
0.199054,0.611111,-1.53987,0.0611111,0.340436,0.611111,All
0.228332,0.622222,-1.53846,0.0622222,0.375713,0.622222,All
0.244332,0.633333,-1.53182,0.0633333,0.377468,0.633333,All
0.287566,0.644444,-1.53129,0.0644444,0.416947,0.644444,All
0.29875,0.655556,-1.52462,0.0655556,0.437977,0.655556,All
0.324028,0.666667,-1.50638,0.0666667,0.447029,0.666667,All
