parameter,value,se_sa,rse_sa
Cl_pop,20.4280653394979,3.95353458945392,19.3534459761577
beta_Cl_tSCRMGDL,-0.402187434201593,0.180437033538362,44.8639162226834
V1_pop,24.6489618601496,2.2670031079735,9.1971545123716
Q_pop,23.4,,
V2_pop,13.490835161644,4.12942156303526,30.6090876773566
omega_Cl,0.219389292723141,0.0422152014089671,19.2421429892847
omega_V1,0.235369778688815,0.101941085127858,43.3110341080091
omega_Q,1.1512123676107,0.427621798232199,37.145344357246
omega_V2,0.956848027894832,0.308867162018791,32.2796466120469
a,0.507734953398177,0.0592032315126532,11.6602631188609
b,2.35850927049293e-5,0.0180108073960367,76365.217730403
