parameter,value
Cl_pop,13.238076502289
beta_Cl_logtRAL,-0.0499104765398315
V1_pop,24.993055947701
beta_V1_ANTU_1,-0.259148343338334
beta_V1_logtCLCRMLMIN,-1.39267257308996
beta_V1_logtPROGDL,-0.5360218690967
Q_pop,23.4
beta_Q_LMP_1,0.931418995090738
beta_Q_logtAGEA,1.34011193420624
beta_Q_logtALBGDL,17.5044454006107
beta_Q_logtPROGDL,-17.3862130594349
V2_pop,3.15479408262458
beta_V2_SEXF_1,4.42024414531328
beta_V2_logtHCM,35.2037840063064
beta_V2_logtRAL,0.172175736914309
omega_Cl,0.253971434060241
omega_V1,0.099432684833733
omega_Q,6.33073100588065e-8
omega_V2,8.63431302021482e-8
a,1.37536135248384
b,0.0413582326674367
