iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,b,c,omega_Cl,omega_Q,omega_V1,omega_V2
1,-29.8364,1,13.5035,2.75081,28.2911,40.1961,0.590655,0.461758,0.261548,2.20761,0.198019,1.85769e-08
2,-26.8262,1,13.6155,2.14801,28.3631,40.1961,0.589144,0.461758,0.264067,2.3447,0.203656,1.95763e-08
3,-24.3832,1,13.513,2.12682,28.0953,40.1961,0.584692,0.461758,0.263034,2.44297,0.212347,1.9791e-08
4,-26.1495,1,13.4232,2.20382,28.3089,40.1961,0.607247,0.461758,0.254433,2.42401,0.192388,1.71809e-08
5,-29.1819,1,13.3274,2.22634,28.2182,40.1961,0.604735,0.461758,0.266129,2.25949,0.187259,1.64605e-08
6,-31.2977,1,13.4498,2.3523,28.7263,40.1961,0.612548,0.461758,0.252529,2.23503,0.175877,1.61807e-08
7,-36.451,1,13.6442,2.38911,29.1452,40.1961,0.587385,0.461758,0.265455,2.27433,0.195937,1.53149e-08
8,-38.5008,1,13.6348,2.61595,28.3334,40.1961,0.598567,0.461758,0.264343,2.33916,0.180051,1.49012e-08
9,18.2189,1,13.5272,3.19404,28.1997,40.1961,0.629462,0.461758,0.251288,1.97492,0.189307,7.48042e-08
10,11.4762,1,13.4686,3.58889,28.6351,40.1961,0.602609,0.461758,0.264276,1.9262,0.198895,7.03121e-08
11,17.2859,1,13.4795,3.31226,28.6565,40.1961,0.619686,0.461758,0.261051,1.96976,0.208943,7.01688e-08
12,7.48236,1,13.5753,3.59369,28.534,40.1961,0.603505,0.461758,0.256208,1.85716,0.200076,6.57232e-08
13,13.2258,1,13.5897,3.34358,28.2491,40.1961,0.607515,0.461758,0.262251,2.01643,0.186863,7.49432e-08
14,17.6981,1,13.4087,3.61085,28.1807,40.1961,0.628498,0.461758,0.251835,1.94124,0.183102,7.48129e-08
15,15.4857,1,13.4524,3.1789,28.0826,40.1961,0.621984,0.461758,0.257556,2.00374,0.186365,7.0975e-08
16,10.8089,1,13.4949,2.96993,28.5289,40.1961,0.599329,0.461758,0.263396,1.96735,0.218024,6.50567e-08
17,9.22291,1,13.5298,3.16853,28.46,40.1961,0.5878,0.461758,0.263849,2.12834,0.209204,6.65983e-08
18,11.0442,1,13.3714,3.44853,28.0317,40.1961,0.589831,0.461758,0.256633,2.14136,0.197052,7.21394e-08
19,7.76425,1,13.4439,3.17983,28.3026,40.1961,0.592269,0.461758,0.261808,2.00874,0.19775,6.63505e-08
20,0.699499,1,13.584,3.28382,28.1136,40.1961,0.562405,0.461758,0.259256,2.0783,0.209186,6.92474e-08
21,10.8829,1,13.652,3.17513,27.9352,40.1961,0.596519,0.463976,0.258966,2.05876,0.183333,7.79378e-08
22,6.34033,1,13.4022,3.4642,28.3591,40.1961,0.584507,0.463976,0.255824,1.95256,0.16994,8.20156e-08
23,4.77179,1,13.493,3.23201,28.2335,40.1961,0.581195,0.463976,0.262805,2.04873,0.18177,7.13628e-08
24,6.59208,1,13.3632,3.09455,28.0612,40.1961,0.576,0.463976,0.263344,2.12205,0.180966,7.29497e-08
25,2.15447,1,13.507,2.76489,27.9951,40.1961,0.565803,0.463976,0.266916,2.02379,0.192275,7.44199e-08
26,2.54481,1,13.4717,3.0868,28.3147,40.1961,0.573013,0.463976,0.253681,1.88035,0.195009,7.59278e-08
27,6.00524,1,13.5155,2.97507,28.9021,40.1961,0.582726,0.463976,0.254584,2.01126,0.198462,6.94155e-08
28,10.1673,1,13.5279,3.05263,28.3572,40.1961,0.57628,0.463976,0.269431,2.19338,0.218999,6.88649e-08
29,2.45813,1,13.4374,2.44521,28.522,40.1961,0.574672,0.463976,0.252925,2.20019,0.210579,5.91466e-08
30,-0.656154,1,13.413,2.83655,28.7086,40.1961,0.567219,0.463976,0.252272,1.97554,0.214033,6.21384e-08
31,-4.93026,1,13.5788,2.79181,28.5943,40.1961,0.567033,0.463976,0.265927,2.06224,0.21792,5.08269e-08
32,3.76715,1,13.6749,2.51931,28.9429,40.1961,0.579571,0.463976,0.261063,2.12108,0.240203,5.42983e-08
33,8.45561,1,13.658,2.78118,29.1052,40.1961,0.588744,0.463976,0.27542,2.04098,0.242122,5.63071e-08
34,7.0364,1,13.6479,2.73356,29.0945,40.1961,0.596025,0.463976,0.271378,2.03175,0.226243,5.43102e-08
35,-1.46502,1,13.4159,2.53043,28.652,40.1961,0.602143,0.463976,0.26632,1.95712,0.190668,4.73836e-08
36,-3.19146,1,13.5023,3.01492,28.8509,40.1961,0.594878,0.463976,0.274496,1.83699,0.196382,4.75898e-08
37,-1.69157,1,13.3596,2.9191,28.9083,40.1961,0.588258,0.463976,0.257853,1.97631,0.201665,4.95899e-08
38,2.6124,1,13.4326,2.41648,29.5674,40.1961,0.592841,0.463976,0.25578,2.01286,0.218201,5.06885e-08
39,13.6106,1,13.3261,2.8266,29.5357,40.1961,0.618072,0.463976,0.260671,2.01021,0.230679,5.03246e-08
40,7.59359,1,13.4168,2.48613,29.0822,40.1961,0.598995,0.463976,0.261924,2.15377,0.226473,4.98172e-08
41,10.3905,1,13.4904,2.44412,28.4229,40.1961,0.604387,0.454585,0.260839,2.21603,0.252414,5.45704e-08
42,10.3723,1,13.5948,3.40539,28.2691,40.1961,0.623587,0.454585,0.265983,1.87628,0.236342,5.64002e-08
43,6.37713,1,13.479,3.00175,28.0819,40.1961,0.612301,0.454585,0.263395,1.93363,0.229032,5.5719e-08
44,6.16275,1,13.5391,2.99777,28.685,40.1961,0.601727,0.454585,0.261518,1.81481,0.235371,6.4301e-08
45,2.08163,1,13.4501,2.95678,28.6574,40.1961,0.5881,0.454585,0.25124,1.87804,0.230393,6.29088e-08
46,-2.29945,1,13.7033,2.91784,29.1991,40.1961,0.578623,0.454585,0.263891,1.77177,0.214751,7.07087e-08
47,-2.19862,1,13.5995,2.70247,28.7437,40.1961,0.576856,0.454585,0.262062,1.9473,0.235768,5.78271e-08
48,-1.85761,1,13.5515,2.81045,29.2095,40.1961,0.590835,0.454585,0.262004,1.74749,0.22447,5.93551e-08
49,3.74356,1,13.6089,2.54751,29.8745,40.1961,0.593266,0.454585,0.26396,1.78761,0.248069,6.21516e-08
50,1.11242,1,13.5028,2.54744,29.8046,40.1961,0.589182,0.454585,0.267449,1.70004,0.254399,5.93547e-08
51,-8.77237,1,13.4026,2.75094,29.3297,40.1961,0.571593,0.454585,0.256519,1.7383,0.255106,5.0448e-08
52,-2.12278,1,13.4877,2.89103,29.5358,40.1961,0.58324,0.454585,0.257098,1.8295,0.25718,5.18133e-08
53,-0.323657,1,13.3938,2.58295,29.8007,40.1961,0.578936,0.454585,0.249724,1.89442,0.253446,5.50835e-08
54,-7.99422,1,13.3859,2.91466,29.268,40.1961,0.559831,0.454585,0.257359,1.80795,0.236145,5.85299e-08
55,-4.08217,1,13.4521,3.36269,28.3061,40.1961,0.597092,0.454585,0.25955,1.73267,0.229618,4.98693e-08
56,-2.13174,1,13.4265,3.54735,28.3982,40.1961,0.604814,0.454585,0.256355,1.65017,0.227894,5.22427e-08
57,-11.1484,1,13.4512,3.29699,28.7,40.1961,0.578582,0.454585,0.259153,1.75241,0.210478,5.05549e-08
58,-6.34507,1,13.4798,3.68387,28.9656,40.1961,0.596534,0.454585,0.272317,1.72931,0.215493,4.62038e-08
59,-13.7887,1,13.686,3.45261,29.0272,40.1961,0.602335,0.454585,0.264695,1.65115,0.214343,3.9688e-08
60,-15.6742,1,13.6779,3.29444,28.9965,40.1961,0.60079,0.454585,0.272506,1.73078,0.225872,3.34857e-08
61,-20.1561,1,13.5541,3.16207,28.7359,40.1961,0.537084,0.483481,0.261648,1.78952,0.22588,3.29891e-08
62,-7.13015,1,13.4441,3.47946,28.8576,40.1961,0.556288,0.483481,0.25455,1.91352,0.211988,4.04387e-08
63,-6.8126,1,13.3943,2.84793,28.7401,40.1961,0.56246,0.483481,0.267729,2.0048,0.203051,3.65745e-08
64,-12.9347,1,13.5943,3.11744,28.5973,40.1961,0.545659,0.483481,0.266275,1.92734,0.206423,3.8818e-08
65,-3.86691,1,13.5929,2.71774,28.7595,40.1961,0.554137,0.483481,0.270773,1.94337,0.218308,4.46788e-08
66,-11.1546,1,13.4776,2.88555,29.7066,40.1961,0.52066,0.483481,0.265116,1.87406,0.234363,4.71363e-08
67,-11.7036,1,13.463,3.6837,29.1676,40.1961,0.539277,0.483481,0.271612,1.72255,0.214,4.32861e-08
68,-10.4805,1,13.4137,4.11721,28.9606,40.1961,0.554554,0.483481,0.262849,1.68841,0.194851,4.19941e-08
69,-6.39042,1,13.4141,3.46547,28.7386,40.1961,0.544316,0.483481,0.269837,1.84033,0.201758,4.91598e-08
70,-5.24388,1,13.4284,3.6198,28.4265,40.1961,0.55721,0.483481,0.261582,1.87982,0.193257,4.60608e-08
71,-11.5022,1,13.534,3.16932,27.9336,40.1961,0.551714,0.483481,0.266277,1.83575,0.200147,4.19267e-08
72,-2.2059,1,13.3365,2.73784,28.5376,40.1961,0.568905,0.483481,0.268401,2.00139,0.194187,4.12516e-08
