standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-1.78328,0.17558,-1.78158,0.119295,-2.22751,0.0705811,-2.67773,0.0398873,All
-1.49704,0.150497,-1.42048,0.15906,-1.82063,0.141162,-2.31774,0.0199437,All
-1.21081,0.451491,-1.05938,0.218707,-1.41375,0.123517,-1.95776,0.0797747,All
-0.924582,0.300994,-0.698285,0.377766,-1.00687,0.194098,-1.59777,0.199437,All
-0.638351,0.401325,-0.337188,0.596473,-0.599995,0.29997,-1.23778,0.21938,All
-0.352119,0.225745,0.0239088,0.417531,-0.193116,0.405841,-0.877792,0.37893,All
-0.0658882,0.0752485,0.385006,0.298237,0.213763,0.476422,-0.517804,0.299155,All
0.220343,0.300994,0.746102,0.338002,0.620641,0.405841,-0.157816,0.458705,All
0.506574,0.351159,1.1072,0.198824,1.02752,0.247034,0.202172,0.299155,All
0.792806,0.501656,1.4683,0.0397649,1.4344,0.211743,0.562161,0.239324,All
1.07904,0.401325,1.82939,0.0596473,1.84128,0.0176453,0.922149,0.159549,All
1.36527,0.250828,2.19049,0.0397649,2.24816,0.0352906,1.28214,0.398873,All
1.6515,0.17558,2.55159,0.119295,2.65503,0.0176453,1.64213,0.199437,All
