pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-2.2167,0.0322008,-3.67869,0.00908998,-1.79638,0.0620813,All
-1.83713,0.0322008,-3.42607,0,-1.40263,0.155203,All
-1.45757,0.0966023,-3.17346,0.013635,-1.00888,0.186244,All
-1.07801,0.0966023,-2.92084,0.013635,-0.615131,0.403528,All
-0.698444,0.41861,-2.66822,0.0409049,-0.221381,0.434569,All
-0.318881,0.386409,-2.4156,0.0409049,0.172368,0.403528,All
0.0606824,0.450811,-2.16298,0.02727,0.566117,0.682894,All
0.440245,0.644015,-1.91036,0.0636299,0.959866,0.155203,All
0.819808,0.41861,-1.65775,0.0363599,1.35362,0.186244,All
1.19937,0.322008,-1.40513,0.0772649,1.74736,0.124163,All
,,-1.15251,0.0954448,,,All
,,-0.899891,0.122715,,,All
,,-0.647273,0.240885,,,All
,,-0.394655,0.372689,,,All
,,-0.142036,0.495404,,,All
,,0.110582,0.531764,,,All
,,0.3632,0.581759,,,All
,,0.615818,0.499949,,,All
,,0.868437,0.26361,,,All
,,1.12105,0.213615,,,All
,,1.37367,0.140895,,,All
,,1.62629,0.0636299,,,All
,,1.87891,0.02727,,,All
,,2.13153,0.022725,,,All
,,2.38415,0.022725,,,All
,,2.63676,0.02727,,,All
,,2.88938,0.013635,,,All
,,3.142,0.013635,,,All
,,3.39462,0.00908998,,,All
,,3.64724,0.00908998,,,All
