iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
1,689.28,1,20.56,24.431,12.7157,1,0.3,-0.410671,1,1,1,1
2,670.317,1,19.2399,28.5867,16.8678,0.95,0.285,-0.365086,0.974679,0.974679,0.974679,0.974679
3,660.814,1,17.7052,26.8597,18.3919,0.9025,0.27075,-0.245446,0.95,1.01881,0.95,0.95
4,641.246,1,17.6607,28.0612,18.0645,0.857375,0.257212,-0.254557,0.925945,0.993016,0.925945,0.925945
5,634.756,1,16.6963,30.7495,18.2094,0.814506,0.244352,-0.176205,0.9025,0.967872,0.9025,0.9025
6,613.484,1,16.7864,29.475,15.7449,0.773781,0.232134,-0.190449,0.879648,0.943365,0.879648,0.879648
7,615.949,1,17.1884,28.3727,14.8616,0.735092,0.220528,-0.246972,0.857375,0.919478,0.857375,0.857375
8,625.735,1,15.7246,29.918,16.2967,0.698337,0.209501,-0.168875,0.835666,0.910355,0.835666,0.835666
9,610.789,1,15.9555,32.7401,15.4155,0.66342,0.199026,-0.157595,0.814506,0.887304,0.814506,0.81758
10,604.619,1,16.0187,29.9511,13.4409,0.630249,0.189075,-0.18995,0.793882,0.905119,0.793882,0.858253
11,613.69,1,16.3357,31.031,14.8934,0.598737,0.179621,-0.21827,0.773781,1.02727,0.773781,0.888899
12,603.931,1,16.4325,29.8164,15.795,0.5688,0.17064,-0.222984,0.754188,1.05768,0.754188,0.91696
13,591.939,1,16.5373,30.0717,14.0613,0.54036,0.162108,-0.218931,0.735092,1.0309,0.735092,0.893742
14,588.114,1,16.2269,31.9254,13.9171,0.513342,0.154003,-0.181457,0.716479,1.10536,0.716479,0.931526
15,577.102,1,17.2307,32.5277,15.6229,0.487675,0.146302,-0.246856,0.698337,1.10862,0.698337,0.914814
16,555.66,1,17.1591,32.3933,15.9536,0.463291,0.138987,-0.237683,0.680655,1.08208,0.680655,0.89165
17,553.985,1,17.026,30.9374,16.8264,0.805743,0.128331,-0.236043,0.66342,1.05468,0.66342,0.869073
18,542.369,1,17.0325,30.9205,17.122,0.765456,0.121914,-0.218255,0.646622,1.06535,0.646622,0.855708
19,543.658,1,17.3069,30.595,19.2629,0.727183,0.115818,-0.236962,0.630249,1.15244,0.630249,0.834041
20,537.947,1,16.6923,31.6666,19.7802,0.690824,0.110027,-0.202041,0.614291,1.12326,0.614291,0.812923
21,530.44,1,17.4068,30.7767,21.3896,1.0819,0.100455,-0.250772,0.598737,1.09482,0.598737,0.792339
22,527.728,1,16.7313,31.0628,21.074,1.02781,0.0954326,-0.217983,0.583577,1.09214,0.583577,0.781729
23,525.324,1,17.0888,30.8013,22.0995,1.2331,0.088361,-0.239273,0.5688,1.18457,0.5688,0.784041
24,517.199,1,17.2431,30.0449,20.4572,1.17145,0.083943,-0.24101,0.554398,1.18402,0.554398,0.78129
25,512.937,1,17.0618,30.4376,20.9828,1.28429,0.0779351,-0.238345,0.54036,1.24697,0.54036,0.761507
26,518.418,1,17.056,29.2803,19.9623,1.44533,0.0723959,-0.256693,0.526678,1.2154,0.526678,0.784425
27,518.248,1,16.5019,28.9786,22.4675,1.54647,0.0658532,-0.216487,0.513342,1.25744,0.513342,0.827682
28,522.107,1,16.8205,30.268,21.3362,1.58985,0.0672912,-0.230285,0.500344,1.46075,0.500344,0.806724
29,510.875,1,16.9982,29.69,23.8038,1.6012,0.0623589,-0.234393,0.487675,1.42377,0.487675,0.786298
30,491.845,1,17.1159,30.0285,25.3136,1.52114,0.059241,-0.238068,0.475327,1.38772,0.475327,0.766388
31,495.053,1,17.0703,30.1557,25.2482,1.52104,0.054466,-0.240038,0.463291,1.36725,0.463291,0.756486
32,491.582,1,16.8792,29.1141,22.1738,1.56082,0.0516919,-0.233481,0.45156,1.33263,0.45156,0.737332
33,488.896,1,17.182,29.0446,22.6451,1.64699,0.0437043,-0.238982,0.440127,1.3286,0.440127,0.740773
34,495.921,1,17.2983,29.5111,19.7106,1.74911,0.0429173,-0.244768,0.428982,1.38342,0.428982,0.735474
35,495.949,1,17.2836,29.341,19.5779,1.74911,0.0441036,-0.243173,0.41812,1.35918,0.41812,0.78893
36,492.668,1,17.1313,29.0971,17.8246,1.89393,0.0357677,-0.242444,0.407533,1.32476,0.407533,0.768954
37,488.445,1,16.8934,29.5775,18.162,1.89394,0.0371876,-0.228471,0.397214,1.29122,0.397214,0.779098
38,479.901,1,16.8193,29.757,20.6878,1.74795,0.0386917,-0.223405,0.387157,1.25853,0.387157,0.783543
39,470.914,1,16.6761,29.5246,18.7576,1.62279,0.0405211,-0.207573,0.377354,1.22666,0.377354,0.763703
40,469.527,1,17.453,29.7911,17.1399,1.74469,0.0338134,-0.258439,0.367799,1.2183,0.367799,0.744366
41,467.245,1,17.0994,29.6203,15.6266,1.85426,0.0244634,-0.237419,0.358486,1.18745,0.358486,0.779569
42,471.264,1,16.8542,29.8361,16.3125,1.83736,0.0250921,-0.22441,0.349409,1.22714,0.349409,0.793321
43,474.811,1,17.029,29.4524,15.543,1.89216,0.0255801,-0.235738,0.340562,1.19607,0.340562,0.805485
44,478.968,1,16.8666,28.2832,15.5778,1.9378,0.0230028,-0.224358,0.331938,1.21801,0.331938,0.811278
45,477.091,1,17.1697,28.6723,17.5462,1.93788,0.0260924,-0.24738,0.323534,1.18717,0.323534,0.809399
46,471.613,1,16.8859,28.9203,17.2439,1.88565,0.0236588,-0.222222,0.315341,1.15711,0.315341,0.870558
47,467.782,1,16.4617,28.8689,18.7794,1.85255,0.0293327,-0.210392,0.307357,1.12781,0.307357,0.848515
48,466.642,1,16.6736,28.8107,18.6952,1.78149,0.028719,-0.216224,0.299574,1.14165,0.299914,0.82703
49,472.885,1,16.83,28.943,18.08,1.83984,0.0300655,-0.22391,0.291989,1.15409,0.294983,0.827047
50,471.64,1,17.1091,29.4699,16.9054,1.75045,0.03734,-0.238048,0.284596,1.12487,0.289542,0.84641
51,472.015,1,16.8759,29.6719,18.6758,1.70268,0.0385365,-0.21573,0.27739,1.24909,0.282972,0.844355
52,469.192,1,17.0981,29.1221,17.8675,1.75022,0.0345882,-0.233315,0.270366,1.22048,0.275807,0.900722
53,468.183,1,17.0676,29.434,18.0431,1.66352,0.0397503,-0.240878,0.26352,1.18957,0.268824,0.928794
