standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-2.58154,0.040563,-2.40782,0.0351423,-2.60242,0.0382087,-2.6235,0.0173119,All
-2.22755,0.040563,-1.99922,0.0351423,-2.22662,0.057313,-2.20879,0.0346238,All
-1.87356,0.0608445,-1.59063,0.193282,-1.85081,0.057313,-1.79408,0.103872,All
-1.51957,0.101408,-1.18203,0.175711,-1.47501,0.362982,-1.37936,0.0346238,All
-1.16558,0.223097,-0.773434,0.175711,-1.09921,0.286565,-0.964649,0.328927,All
-0.811585,0.223097,-0.364839,0.439278,-0.723401,0.534921,-0.549936,0.45011,All
-0.457593,0.567882,0.0437566,0.509563,-0.347597,0.362982,-0.135222,0.346238,All
-0.103601,0.486756,0.452352,0.439278,0.028207,0.420295,0.279491,0.45011,All
0.25039,0.223097,0.860948,0.281138,0.404011,0.420295,0.694205,0.346238,All
0.604382,0.283941,1.26954,0.140569,0.779815,0.248356,1.10892,0.225055,All
0.958374,0.344786,1.67814,0.105427,1.15562,0.0382087,1.52363,0.173119,All
1.31237,0.324504,2.08673,0.0175711,1.53142,0.0191043,1.93834,0.0346238,All
1.66636,0.121689,2.49533,0.0878557,1.90723,0.0191043,2.35306,0.0519358,All
