pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-0.945522,0.446506,-2.99677,0.0230279,-1.38426,0.182554,All
-0.452807,0.8434,-2.79733,0.0518128,-0.982552,0.456384,All
0.0399075,0.297671,-2.5979,0.0230279,-0.580843,0.547661,All
0.532622,0.297671,-2.39846,0.0230279,-0.179135,0.334682,All
1.02534,0.124029,-2.19903,0.0402989,0.222573,0.182554,All
1.51805,0.0496118,-1.99959,0.0633268,0.624282,0.547661,All
2.01077,0.0744176,-1.80016,0.0575698,1.02599,0.182554,All
2.50348,0.0248059,-1.60072,0.0863547,1.4277,0.0912768,All
2.9962,0.0496118,-1.40128,0.0518128,1.82941,0.152128,All
3.48891,0.0248059,-1.20185,0.149682,2.23112,0.0608512,All
,,-1.00241,0.195737,,,All
,,-0.802977,0.264821,,,All
,,-0.603541,0.328148,,,All
,,-0.404106,0.270578,,,All
,,-0.20467,0.42026,,,All
,,-0.00523413,0.449045,,,All
,,0.194202,0.460559,,,All
,,0.393637,0.449045,,,All
,,0.593073,0.460559,,,All
,,0.792509,0.30512,,,All
,,0.991945,0.276335,,,All
,,1.19138,0.218765,,,All
,,1.39082,0.224522,,,All
,,1.59025,0.0633268,,,All
,,1.78969,0.0921117,,,All
,,1.98912,0.0575698,,,All
,,2.18856,0.0287849,,,All
,,2.388,0.0345419,,,All
,,2.58743,0,,,All
,,2.78687,0.011514,,,All
