parameter,value
Cl_pop,13.5525625769324
beta_Cl_logtIMCKGM2,1.12102339924169
V1_pop,21.5634883993244
beta_V1_logtPROGDL,-1.93136330693173
beta_V1_logtSCRMGDL,0.665479062547003
Q_pop,23.4
V2_pop,9.03004253225731
beta_V2_SEXF_1,1.22988457777574
omega_Cl,0.235548256547088
omega_V1,0.223288181452579
omega_Q,0.907485910332113
omega_V2,0.517836226300535
a,1.53056788931871
b,0.0365175565824791
