iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
60,380.423,1,19.2712,28.7536,28.9184,1.15793,0.0128329,0.512283,1.07822,0.687844,0.803293
61,375.68,1,19.2756,28.7839,28.8174,1.15787,0.0110154,0.512122,1.00944,0.694025,0.771495
62,379.37,1,19.4528,28.6948,30.2108,1.19063,0.00911966,0.505615,1.05514,0.691507,0.824307
63,375.866,1,19.4006,28.6022,29.5855,1.17029,0.00781147,0.506118,1.09402,0.693812,0.821943
64,373.95,1,19.5599,28.2807,26.2968,1.16195,0.00836108,0.509978,1.12772,0.704769,0.731495
65,375.733,1,19.5439,28.8226,25.9538,1.20897,1.96938e-06,0.508095,1.07072,0.703937,0.755155
66,375.408,1,19.4765,28.6182,25.3309,1.21297,4.74572e-05,0.501866,1.06093,0.711374,0.728281
67,372.755,1,19.5871,28.7033,23.959,1.21656,2.22045e-16,0.508275,1.00359,0.685396,0.675216
68,365.856,1,19.4499,28.731,24.6811,1.17479,2.22045e-16,0.506991,1.01058,0.670537,0.664468
69,372.09,1,19.4448,28.9368,24.7071,1.17802,0.00923006,0.505665,0.975192,0.674203,0.688107
70,381.831,1,19.4543,28.5929,24.8377,1.25167,0.00605417,0.503287,0.999169,0.694986,0.733836
71,381.77,1,19.4297,28.6645,25.3356,1.26776,2.22045e-16,0.504284,1.02089,0.689264,0.719649
72,371.057,1,19.4481,28.596,25.5115,1.18234,2.22045e-16,0.514471,1.06238,0.683522,0.746905
73,373.802,1,19.4121,28.6557,24.9805,1.20408,2.22045e-16,0.510166,1.00485,0.693501,0.767662
74,370.135,1,19.3476,28.4488,26.1307,1.17044,2.22045e-16,0.506774,0.995316,0.695891,0.830384
75,377.227,1,19.3802,28.8732,24.9136,1.21521,1.05521e-06,0.50452,1.0167,0.69223,0.840922
76,375.327,1,19.4078,28.7864,26.6523,1.21838,2.22045e-16,0.508599,0.936532,0.694423,0.801644
77,378.681,1,19.4978,28.7577,25.8632,1.23212,4.81064e-07,0.506335,0.970482,0.705633,0.819335
78,376.928,1,19.4584,29.0542,23.5504,1.22813,5.20417e-06,0.506347,0.960418,0.69459,0.789
79,378.131,1,19.4507,28.9481,24.2983,1.23059,2.22045e-16,0.504813,1.03034,0.692766,0.77006
80,377.05,1,19.4091,28.6701,25.5334,1.20268,2.22045e-16,0.503488,1.13198,0.695447,0.81385
81,378.864,1,19.5231,28.632,25.1186,1.21853,2.22045e-16,0.506997,1.12819,0.686806,0.806126
82,381.81,1,19.6506,28.1451,23.7196,1.23588,2.22045e-16,0.511528,1.17254,0.687418,0.784592
83,382.94,1,19.4054,27.9878,23.8603,1.25537,2.22045e-16,0.503967,1.19066,0.683882,0.720915
84,380.889,1,19.4154,28.0063,24.6651,1.24971,1.70549e-06,0.508977,1.12564,0.686488,0.705259
85,379.555,1,19.6104,27.9342,21.8445,1.24549,2.22045e-16,0.50803,1.0705,0.679899,0.724972
86,374.628,1,19.4916,27.5614,22.5689,1.21026,2.22045e-16,0.509203,1.02368,0.690938,0.747583
87,378.726,1,19.4672,27.6593,24.047,1.2466,1.06191e-05,0.510623,1.00614,0.684744,0.723371
88,374.116,1,19.4879,27.3918,23.2898,1.21761,2.22045e-16,0.508913,1.01555,0.683508,0.706184
89,370.138,1,19.3314,27.1955,24.4569,1.18896,2.22045e-16,0.509407,0.98597,0.690035,0.730533
90,367.51,1,19.2964,27.2487,25.508,1.16201,2.22045e-16,0.507289,1.00543,0.691752,0.77267
91,371.668,1,19.4659,27.6727,24.7687,1.17334,0.00593332,0.510697,0.984791,0.686029,0.792426
92,371.862,1,19.4115,27.5965,26.322,1.1583,0.00750158,0.505489,0.981089,0.677989,0.855033
93,372.91,1,19.3774,27.5166,25.9771,1.17688,0.00471841,0.506169,1.03587,0.679093,0.830838
94,371.862,1,19.4214,27.436,25.3329,1.18282,2.22045e-16,0.50893,1.02187,0.680938,0.820354
95,365.736,1,19.3831,27.5019,25.3918,1.13982,2.22045e-16,0.505133,1.03414,0.680766,0.838361
96,368.088,1,19.3547,27.3718,27.6422,1.14276,2.22045e-16,0.508003,1.06839,0.687431,0.878771
97,364.361,1,19.4244,27.3252,26.4704,1.13324,2.22045e-16,0.506657,1.05767,0.69217,0.79076
