Km_logit_vs_V_logit_abscissa,Km_logit_vs_V_logit_spline,Km_logit_vs_V_logit_regression,Km_logit_vs_Vm_logit_abscissa,Km_logit_vs_Vm_logit_spline,Km_logit_vs_Vm_logit_regression,V_logit_vs_Km_logit_abscissa,V_logit_vs_Km_logit_spline,V_logit_vs_Km_logit_regression,V_logit_vs_Vm_logit_abscissa,V_logit_vs_Vm_logit_spline,V_logit_vs_Vm_logit_regression,Vm_logit_vs_Km_logit_abscissa,Vm_logit_vs_Km_logit_spline,Vm_logit_vs_Km_logit_regression,Vm_logit_vs_V_logit_abscissa,Vm_logit_vs_V_logit_spline,Vm_logit_vs_V_logit_regression
-0.23335,0.0144013,-0.016198,-0.418725,0.108361,0.113846,-0.0806845,-0.0396212,-0.0329328,-0.418725,0.115323,0.0291013,-0.0806845,0.304442,0.315036,-0.23335,-0.0701231,0.0490251
-0.228502,0.0134243,-0.0158039,-0.411159,0.106601,0.111864,-0.0788014,-0.035997,-0.032168,-0.411159,0.110587,0.0285995,-0.0788014,0.298196,0.308046,-0.228502,-0.065609,0.048113
-0.223655,0.0124472,-0.0154097,-0.403594,0.10484,0.109882,-0.0769184,-0.0323727,-0.0314032,-0.403594,0.105851,0.0280976,-0.0769184,0.29195,0.301056,-0.223655,-0.0610949,0.0472008
-0.218808,0.0114702,-0.0150156,-0.396029,0.10308,0.1079,-0.0750353,-0.0287484,-0.0306384,-0.396029,0.101115,0.0275957,-0.0750353,0.285703,0.294066,-0.218808,-0.0565808,0.0462887
-0.21396,0.0104932,-0.0146215,-0.388464,0.10132,0.105918,-0.0731523,-0.0251241,-0.0298736,-0.388464,0.0963787,0.0270939,-0.0731523,0.279457,0.287076,-0.21396,-0.0520667,0.0453766
-0.209113,0.00951615,-0.0142274,-0.380898,0.0995596,0.103936,-0.0712692,-0.0214998,-0.0291088,-0.380898,0.0916426,0.026592,-0.0712692,0.273211,0.280086,-0.209113,-0.0475527,0.0444645
-0.204265,0.00853912,-0.0138332,-0.373333,0.0977993,0.101954,-0.0693862,-0.0178756,-0.028344,-0.373333,0.0869064,0.0260901,-0.0693862,0.266964,0.273096,-0.204265,-0.0430386,0.0435524
-0.199418,0.00756209,-0.0134391,-0.365768,0.096039,0.0999719,-0.0675031,-0.0147303,-0.0275792,-0.365768,0.0821703,0.0255883,-0.0675031,0.260688,0.266106,-0.199418,-0.0385245,0.0426403
-0.194571,0.00658506,-0.013045,-0.358203,0.0942787,0.0979899,-0.0656201,-0.0120461,-0.0268144,-0.358203,0.0774341,0.0250864,-0.0656201,0.254382,0.259116,-0.194571,-0.0340104,0.0417282
-0.189723,0.00560804,-0.0126509,-0.350637,0.0925184,0.0960079,-0.063737,-0.00973292,-0.0260496,-0.350637,0.0726979,0.0245846,-0.063737,0.248048,0.252126,-0.189723,-0.0294963,0.0408161
-0.184876,0.00463101,-0.0122568,-0.343072,0.0907582,0.094026,-0.061854,-0.00793839,-0.0252848,-0.343072,0.0679618,0.0240827,-0.061854,0.241673,0.245136,-0.184876,-0.0249822,0.0399039
-0.180028,0.00365398,-0.0118626,-0.335507,0.0889979,0.092044,-0.0599709,-0.00614387,-0.02452,-0.335507,0.0632256,0.0235808,-0.0599709,0.235298,0.238146,-0.180028,-0.0204681,0.0389918
-0.175181,0.00267695,-0.0114685,-0.327941,0.0872376,0.090062,-0.0580879,-0.00434934,-0.0237552,-0.327941,0.0584895,0.023079,-0.0580879,0.228923,0.231156,-0.175181,-0.015954,0.0380797
-0.170334,0.00169992,-0.0110744,-0.320376,0.0854773,0.0880801,-0.0562048,-0.00255481,-0.0229904,-0.320376,0.0537533,0.0225771,-0.0562048,0.222548,0.224166,-0.170334,-0.0114399,0.0371676
-0.165486,0.000722895,-0.0106803,-0.312811,0.083717,0.0860981,-0.0543218,-0.000760285,-0.0222256,-0.312811,0.0490172,0.0220752,-0.0543218,0.216174,0.217176,-0.165486,-0.00692585,0.0362555
-0.160639,0.000100526,-0.0102861,-0.305246,0.0819568,0.0841161,-0.0524387,0.00103424,-0.0214608,-0.305246,0.044281,0.0215734,-0.0524387,0.209799,0.210186,-0.160639,-0.00390336,0.0353434
-0.155791,-0.000519936,-0.00989201,-0.29768,0.0801965,0.0821342,-0.0505557,0.00189035,-0.020696,-0.29768,0.0395449,0.0210715,-0.0505557,0.203308,0.203196,-0.155791,-0.000888881,0.0344313
-0.150944,-0.0011404,-0.00949789,-0.290115,0.0784362,0.0801522,-0.0486726,0.001896,-0.0199312,-0.290115,0.0348087,0.0205697,-0.0486726,0.196713,0.196206,-0.150944,0.00212559,0.0335192
-0.146097,-0.00176086,-0.00910376,-0.28255,0.0766759,0.0781702,-0.0467896,0.00190164,-0.0191664,-0.28255,0.0300725,0.0200678,-0.0467896,0.190118,0.189216,-0.146097,0.00514007,0.0326071
-0.141249,-0.00238132,-0.00870964,-0.274984,0.0749156,0.0761883,-0.0449065,0.00190729,-0.0184016,-0.274984,0.0253364,0.0195659,-0.0449065,0.183523,0.182226,-0.141249,0.00815455,0.0316949
-0.136402,-0.00300178,-0.00831552,-0.267419,0.0731553,0.0742063,-0.0430235,0.00191293,-0.0176368,-0.267419,0.0206002,0.0190641,-0.0430235,0.176928,0.175236,-0.136402,0.011169,0.0307828
-0.131554,-0.00362224,-0.00792139,-0.259854,0.0713951,0.0722243,-0.0411404,0.00191858,-0.016872,-0.259854,0.0158641,0.0185622,-0.0411404,0.170332,0.168246,-0.131554,0.0141835,0.0298707
-0.126707,-0.00424271,-0.00752727,-0.252289,0.0696348,0.0702424,-0.0392574,0.00192422,-0.0161072,-0.252289,0.0111279,0.0180603,-0.0392574,0.163737,0.161256,-0.126707,0.017198,0.0289586
-0.121859,-0.00486317,-0.00713315,-0.244723,0.0678745,0.0682604,-0.0373743,0.00192987,-0.0153424,-0.244723,0.00639177,0.0175585,-0.0373743,0.157142,0.154266,-0.121859,0.0202125,0.0280465
-0.117012,-0.00548363,-0.00673902,-0.237158,0.0661142,0.0662784,-0.0354913,0.00193551,-0.0145776,-0.237158,0.00165562,0.0170566,-0.0354913,0.150547,0.147276,-0.117012,0.0232269,0.0271344
-0.112165,-0.00610409,-0.0063449,-0.229593,0.0643539,0.0642964,-0.0336082,0.00194116,-0.0138128,-0.229593,-0.00308054,0.0165548,-0.0336082,0.143952,0.140286,-0.112165,0.0262414,0.0262223
-0.107317,-0.00672455,-0.00595078,-0.222028,0.0625937,0.0623145,-0.0317252,0.0019468,-0.013048,-0.222028,-0.00781669,0.0160529,-0.0317252,0.137356,0.133296,-0.107317,0.0292559,0.0253102
-0.10247,-0.00734501,-0.00555665,-0.214462,0.0608044,0.0603325,-0.0298421,0.00195245,-0.0122832,-0.214462,-0.011558,0.015551,-0.0298421,0.130761,0.126306,-0.10247,0.0322704,0.024398
-0.0976224,-0.00782645,-0.00516253,-0.206897,0.0589452,0.0583505,-0.0279591,0.00195809,-0.0115184,-0.206897,-0.0128893,0.0150492,-0.0279591,0.124166,0.119316,-0.0976224,0.0347193,0.0234859
-0.092775,-0.00820458,-0.00476841,-0.199332,0.0570839,0.0563686,-0.026076,0.00196374,-0.0107536,-0.199332,-0.0141671,0.0145473,-0.026076,0.117571,0.112326,-0.092775,0.036748,0.0225738
-0.0879276,-0.00858272,-0.00437428,-0.191766,0.0552087,0.0543866,-0.0241929,0.00196938,-0.00998875,-0.191766,-0.0150678,0.0140454,-0.0241929,0.110976,0.105336,-0.0879276,0.0387768,0.0216617
-0.0830802,-0.00892524,-0.00398016,-0.184201,0.0533178,0.0524046,-0.0223099,0.00197503,-0.00922395,-0.184201,-0.0155726,0.0135436,-0.0223099,0.104381,0.0983461,-0.0830802,0.0406632,0.0207496
-0.0782328,-0.00920779,-0.00358604,-0.176636,0.051427,0.0504227,-0.0204268,0.00198067,-0.00845914,-0.176636,-0.0160775,0.0130417,-0.0204268,0.0977854,0.091356,-0.0782328,0.0423102,0.0198375
-0.0733854,-0.00949034,-0.00319191,-0.169071,0.0495362,0.0484407,-0.0185438,0.00198632,-0.00769434,-0.169071,-0.0165824,0.0125399,-0.0185438,0.0911902,0.084366,-0.0733854,0.0439571,0.0189254
-0.068538,-0.00974882,-0.00279779,-0.161505,0.0476454,0.0464587,-0.0166607,0.00199196,-0.00692954,-0.161505,-0.0170872,0.012038,-0.0166607,0.0845951,0.077376,-0.068538,0.0455085,0.0180133
-0.0636906,-0.00991776,-0.00240367,-0.15394,0.0457546,0.0444768,-0.0147777,0.00199761,-0.00616474,-0.15394,-0.0175921,0.0115361,-0.0147777,0.0779999,0.070386,-0.0636906,0.0467055,0.0171012
-0.0588432,-0.0100833,-0.00200954,-0.146375,0.0438638,0.0424948,-0.0128946,0.00149959,-0.00539993,-0.146375,-0.018097,0.0110343,-0.0128946,0.071243,0.063396,-0.0588432,0.0478891,0.016189
-0.0539957,-0.0102488,-0.00161542,-0.138809,0.0419457,0.0405128,-0.0110116,0.000621767,-0.00463513,-0.138809,-0.0179937,0.0105324,-0.0110116,0.0643641,0.056406,-0.0539957,0.0490727,0.0152769
-0.0491483,-0.0102739,-0.0012213,-0.131244,0.0400227,0.0385309,-0.00912854,-0.00025606,-0.00387033,-0.131244,-0.0177804,0.0100306,-0.00912854,0.0574851,0.049416,-0.0491483,0.0497076,0.0143648
-0.0443009,-0.0102074,-0.000827173,-0.123679,0.0380996,0.0365489,-0.00724549,-0.00113389,-0.00310552,-0.123679,-0.017567,0.00952869,-0.00724549,0.0506062,0.042426,-0.0443009,0.0499851,0.0134527
-0.0394535,-0.010141,-0.00043305,-0.116114,0.0361765,0.0345669,-0.00536244,-0.00201171,-0.00234072,-0.116114,-0.0173537,0.00902683,-0.00536244,0.0437273,0.035436,-0.0394535,0.0502627,0.0125406
-0.0346061,-0.0100746,-3.89267e-05,-0.108548,0.0342487,0.0325849,-0.00347939,-0.00288954,-0.00157592,-0.108548,-0.0170659,0.00852496,-0.00347939,0.0368484,0.028446,-0.0346061,0.0505403,0.0116285
-0.0297587,-0.0100081,0.000355197,-0.100983,0.0322857,0.030603,-0.00159634,-0.00376737,-0.000811114,-0.100983,-0.016227,0.0080231,-0.00159634,0.0299695,0.0214559,-0.0297587,0.0508179,0.0107164
-0.0249113,-0.00994169,0.00074932,-0.0934178,0.0303227,0.028621,0.000286714,-0.00464519,-4.63111e-05,-0.0934178,-0.0153882,0.00752124,0.000286714,0.0230906,0.0144659,-0.0249113,0.0510954,0.00980426
