parameter,value
Cl_pop,13.4903913670666
V1_pop,25.1430183413707
beta_V1_ANTU_1,-0.207368692699144
beta_V1_logtCLCRMLMIN,-3.10452656738169
beta_V1_logtPROGDL,-2.03992060937493
Q_pop,23.4
beta_Q_LMP_1,0.972187475688291
beta_Q_logtAGEA,1.17608819221214
beta_Q_logtALBGDL,17.9925775831649
beta_Q_logtPROGDL,-18.0071443919536
V2_pop,3.19084355405128
beta_V2_SEXF_1,4.15525736754584
beta_V2_logtHCM,33.124677092253
beta_V2_logtPROGDL,-0.2312123000046
omega_Cl,0.258888005378668
omega_V1,0.329121885970396
omega_Q,5.41779466351413e-8
omega_V2,1.73334537613589e-8
a,1.41909447114992
b,0.0423935456115355
