parameter,value
Cl_pop,13.513049188889
beta_Cl_logtHCM,-1.30254689886589
V1_pop,25.0204349210913
beta_V1_ANTU_1,-0.245547674504384
beta_V1_logtCLCRMLMIN,-1.31568014270043
beta_V1_logtPROGDL,-0.567849714214406
Q_pop,23.4
beta_Q_LMP_1,0.951629488469877
beta_Q_logtAGEA,1.45851364550997
beta_Q_logtALBGDL,18.4994374932052
beta_Q_logtPROGDL,-18.3628562830865
V2_pop,2.92974106172844
beta_V2_SEXF_1,4.35163944640994
beta_V2_logtHCM,34.0333597292791
omega_Cl,0.266781891340137
omega_V1,0.104452211712695
omega_Q,4.76253712963213e-8
omega_V2,1.5562851808941e-7
a,1.43526342896274
b,0.040559319805313
