Parameters,Run_1,Run_2,Run_3,Run_4
Cl_pop,13.5126,13.5085,13.5026,13.5126
Q_pop,25.3138,23.5505,27.2538,25.6266
V1_pop,24.1338,24.4412,23.6275,24.0119
V2_pop,12.9647,12.6918,13.251,13.167
a,1.56237,1.53323,1.54043,1.48466
b,0.0418888,0.0425184,0.0420635,0.0478127
omega_Cl,0.25958,0.25916,0.259215,0.259954
omega_Q,0.961019,0.949157,1.00688,1.15838
omega_V1,0.282161,0.269431,0.24961,0.214466
omega_V2,0.873088,0.910976,0.883428,0.98468
-2LL,512.264,512.311,512.428,512.527
