popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
5.03812,2.73375,5.03812,0.468705,9.60753,0.962535,2.08053,0.962535,-2.19909,4.12416,All
5.33987,3.10517,5.33987,0.666227,10.0135,1.05285,2.15736,1.05285,-2.13997,4.24568,All
5.65969,3.45618,5.65969,0.875578,10.4438,1.15164,2.2417,1.15164,-2.0753,4.37859,All
5.99868,3.82269,5.99868,1.09747,10.8999,1.2597,2.33395,1.2597,-2.00457,4.52398,All
6.35796,4.20786,6.35796,1.33265,11.3833,1.3779,2.43486,1.3779,-1.9272,4.68301,All
6.73876,4.55258,6.73876,1.58192,11.8956,1.5072,2.54524,1.5072,-1.84257,4.85696,All
6.78415,4.59151,6.78415,1.61162,11.9567,1.64862,2.66642,1.64862,-1.74999,5.04723,All
7.14237,4.89879,7.14237,1.84611,12.4386,1.80331,2.79931,1.80331,-1.64873,5.25536,All
7.57016,5.24332,7.57016,2.12613,13.0142,1.97252,2.94488,1.97252,-1.53797,5.48302,All
8.02357,5.55343,8.02357,2.42292,13.6242,2.15761,3.10411,2.15761,-1.41682,5.73204,All
8.50413,5.88211,8.50413,2.73749,14.2708,2.36006,3.27831,2.36006,-1.2843,6.00442,All
8.53018,5.89993,8.53018,2.75454,14.3058,2.58151,3.46931,2.58151,-1.13934,6.30236,All
9.01347,6.18588,9.01347,3.0709,14.956,2.64929,3.52779,2.64929,-1.09497,6.39356,All
9.55333,6.45945,9.55333,3.42428,15.6824,2.82374,3.67825,2.82374,-0.980782,6.62826,All
10.1255,6.74941,10.1255,3.79882,16.4522,3.0887,3.90676,3.0887,-0.807345,6.98474,All
10.2762,6.82577,10.2762,3.89746,16.655,3.37852,4.15671,3.37852,-0.617635,7.37467,All
10.732,7.05673,10.732,4.19579,17.2681,3.69553,4.42991,3.69553,-0.410124,7.80119,All
11.3747,7.33548,11.3747,4.61654,18.133,4.04229,4.72776,4.04229,-0.183141,8.26773,All
12.0222,7.60973,12.0222,5.04038,19.0041,4.33605,4.97928,4.33605,0.00914968,8.66296,All
12.056,7.62404,12.056,5.0625,19.0496,4.42159,5.0523,4.42159,0.0651392,8.77804,All
