iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
1,558.746,1,13.5088,24.1422,13.1053,1.5,0,1.5,1.5,1.5,1.5
2,544.21,1,24.2363,17.5065,18.5185,1.80957,-0.592616,1.46202,1.46202,1.46202,1.46202
3,547.458,1,25.437,17.456,17.3512,1.89672,-0.633973,1.425,1.425,1.425,1.425
4,550.624,1,24.7439,17.5791,19.3122,1.94646,-0.614484,1.38892,1.38892,1.38892,1.38892
5,548.039,1,24.6571,17.4613,17.9183,1.93649,-0.621234,1.35375,1.37557,1.35375,1.35375
6,550.615,1,25.5954,17.0031,17.0809,2.00748,-0.64039,1.31947,1.34074,1.31947,1.31947
7,554.656,1,24.9069,17.0993,16.9244,2.05667,-0.6227,1.28606,1.33798,1.28606,1.28606
8,557.253,1,24.7957,17.2382,17.7323,2.07116,-0.612649,1.2535,1.39675,1.2535,1.2535
9,559.947,1,24.537,17.6359,18.6566,2.14254,-0.596432,1.22176,1.36138,1.22176,1.22176
10,546.305,1,24.3461,16.954,17.2105,2.08829,-0.5963,1.19082,1.32691,1.19082,1.19082
11,542.098,1,22.8531,17.2628,17.5375,2.03541,-0.538065,1.16067,1.29331,1.16067,1.16067
12,542.341,1,24.0246,17.1646,15.5369,2.02872,-0.583366,1.13128,1.28134,1.13128,1.13128
13,540.538,1,24.0276,16.8679,14.2833,2.05511,-0.5797,1.10264,1.2489,1.10264,1.10264
14,536.791,1,24.513,16.8414,14.8278,2.04014,-0.587593,1.07472,1.26059,1.07472,1.07472
15,535.755,1,24.1912,16.7489,14.5946,2.04016,-0.588757,1.04751,1.22867,1.04751,1.04751
16,533.201,1,24.9824,16.4789,14.9985,2.01826,-0.614809,1.02098,1.23525,1.02098,1.02098
17,532.51,1,24.5389,16.793,14.4416,2.04506,-0.590322,0.995131,1.2155,0.995131,0.995131
18,524.975,1,24.217,17.1188,13.251,2.00907,-0.576595,0.969933,1.22041,0.969933,0.969933
19,532.184,1,23.9161,16.9557,13.5315,2.05489,-0.560825,0.945374,1.27119,0.945374,0.945374
20,528.371,1,23.6735,16.6945,14.5151,2.05801,-0.560453,0.921437,1.23901,0.921437,0.921437
21,528.025,1,23.0741,16.8089,13.6995,2.07282,-0.536776,0.898105,1.23572,0.898105,0.898105
22,524.221,1,24.4551,16.9503,13.3757,2.03194,-0.58869,0.875365,1.2675,0.875365,0.875365
23,529.073,1,25.6871,17.38,12.4966,2.11113,-0.634407,0.8532,1.27986,0.8532,0.8532
24,523.751,1,24.7109,17.3016,13.1335,2.10196,-0.592481,0.831597,1.30892,0.831597,0.831597
25,515.694,1,24.6515,17.6592,14.3658,2.04873,-0.592573,0.81054,1.28168,0.81054,0.81054
26,526.496,1,25.0856,17.513,14.4247,2.17641,-0.601355,0.790017,1.41635,0.790017,0.790017
