iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
59,26.8539,1,19.0992,27.4,7.81797,0.225936,-0.293876,0.225936,1.71703,0.30882,0.66876
60,32.0083,1,18.3634,27.2525,8.73078,0.220215,-0.269859,0.220215,1.81457,0.301,0.651826
61,15.4634,1,18.8708,25.8308,8.11462,0.214639,-0.318368,0.214639,1.76862,0.293379,0.635322
62,21.6978,1,20.4709,25.8945,6.9194,0.209204,-0.402706,0.209204,1.7343,0.28595,0.619235
63,17.4307,1,19.5175,26.523,6.03835,0.203907,-0.37241,0.203907,1.81014,0.27871,0.603556
64,14.5523,1,20.8496,26.163,6.39828,0.198744,-0.437966,0.198744,1.90736,0.271653,0.613423
65,6.58245,1,22.3662,26.7064,6.04035,0.193711,-0.499532,0.193711,2.02111,0.264774,0.597891
66,-0.735176,1,21.8488,27.5083,5.88881,0.188807,-0.463313,0.188807,1.96993,0.25807,0.582752
67,4.41275,1,18.3639,25.9013,6.25448,0.184026,-0.311446,0.184026,1.92005,0.253239,0.567996
68,-6.78807,1,17.9164,25.9568,6.22303,0.179366,-0.289732,0.179366,1.87144,0.24727,0.553614
69,-10.3292,1,18.2645,25.346,5.99035,0.174825,-0.322557,0.174825,1.82405,0.241009,0.539596
70,-12.7749,1,19.2073,25.9535,6.1672,0.170398,-0.364103,0.170398,1.77787,0.234906,0.554408
71,-17.8973,1,18.1233,26.1036,5.95808,0.166083,-0.299549,0.166083,1.98763,0.228958,0.570055
72,-13.105,1,20.3752,25.8844,6.00908,0.161878,-0.408794,0.166106,1.93731,0.223161,0.602375
73,-20.9407,1,20.1599,25.9752,6.80502,0.157779,-0.397152,0.174509,1.88825,0.21751,0.627203
74,-22.5779,1,20.1809,26.1242,6.80096,0.153784,-0.390588,0.174975,1.84044,0.212003,0.636267
75,-32.7026,1,18.1133,24.4755,7.84963,0.14989,-0.313262,0.170545,1.79384,0.206635,0.706333
76,-35.8034,1,19.0077,24.1193,7.86181,0.146095,-0.35895,0.169031,1.74842,0.201403,0.688448
77,-32.6604,1,18.742,23.6259,8.77379,0.142396,-0.331136,0.182817,1.70415,0.201595,0.709154
78,-35.2867,1,20.6537,23.7939,9.2147,0.13879,-0.411853,0.178188,1.661,0.199177,0.691197
79,-28.1077,1,21.0882,23.9144,9.96641,0.135276,-0.42811,0.178328,1.78359,0.223144,0.673696
80,-27.8121,1,21.4979,24.415,9.09074,0.131851,-0.444405,0.173812,1.96701,0.217494,0.702079
81,-39.4305,1,20.545,24.2497,10.2107,0.128512,-0.393921,0.172693,1.9172,0.211987,0.684302
82,-42.8822,1,20.8097,23.9725,10.0751,0.125258,-0.401145,0.170335,1.86866,0.206619,0.666975
83,-40.0208,1,21.5542,24.0947,10.2935,0.125272,-0.429227,0.176605,1.95155,0.208711,0.650087
84,-44.0952,1,20.9172,24.3411,9.82259,0.125571,-0.415146,0.174972,1.90213,0.203426,0.644851
85,-49.8949,1,19.6772,24.1097,9.28303,0.12547,-0.364101,0.170542,1.85397,0.198275,0.629005
86,-52.195,1,19.2118,24.4578,8.67317,0.127139,-0.335232,0.166223,1.81103,0.193255,0.613078
87,-55.5274,1,20.3412,25.0819,9.07491,0.12699,-0.379111,0.162015,1.76517,0.188361,0.597555
88,-56.665,1,21.7772,24.9016,8.68741,0.123774,-0.45951,0.157912,1.77758,0.183592,0.603541
89,-55.3091,1,20.8687,25.3051,9.89914,0.12064,-0.406458,0.155098,2.01677,0.18477,0.588259
90,-57.1329,1,20.9323,24.8617,9.40195,0.118497,-0.422944,0.159163,1.96909,0.180091,0.624545
91,-61.5029,1,21.8463,25.3043,10.2129,0.118754,-0.460028,0.155133,1.91923,0.175531,0.608731
92,-68.6517,1,21.7925,24.0697,10.8398,0.115747,-0.451664,0.16564,1.91036,0.171087,0.593318
93,-61.3483,1,22.6134,24.3172,10.4997,0.117061,-0.488655,0.172506,1.86199,0.166755,0.621393
