iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
1,531.283,1,20.6438,23.4,23.7984,13.2449,1.5,-0.415546,1.5,1.5,1.5,1.5
2,527.284,1,19.6485,22.213,17.7277,17.2,1.67244,-0.388342,1.46202,1.46202,1.46202,1.46202
3,529.94,1,19.74,22.6943,18.0237,18.1285,1.70433,-0.390679,1.425,1.425,1.425,1.425
4,539.602,1,19.9909,21.8641,17.9633,18.8697,1.83936,-0.402634,1.38892,1.38892,1.38892,1.38892
5,537.737,1,19.1045,20.191,18.384,18.63,1.82863,-0.365995,1.35375,1.35375,1.35375,1.35375
6,532.564,1,19.4406,22.6283,18.151,20.0613,1.79276,-0.385993,1.31947,1.33121,1.31947,1.31947
7,534.952,1,19.3422,25.6981,18.206,18.4679,1.84634,-0.379215,1.28606,1.2975,1.28606,1.28606
8,532.388,1,19.6066,23.1297,17.3834,20.0021,1.79959,-0.387157,1.2535,1.26465,1.2535,1.2535
9,522.58,1,19.5542,21.1181,17.6136,18.9275,1.80353,-0.387327,1.22176,1.23263,1.22176,1.22176
10,523.368,1,20.3488,21.1313,17.4322,17.536,1.83241,-0.408971,1.19082,1.20142,1.19082,1.19082
11,521.259,1,19.6519,20.6828,17.5494,18.1317,1.84731,-0.387789,1.16067,1.171,1.16067,1.16067
12,513.429,1,20.2173,21.6733,17.6507,19.0606,1.80054,-0.411016,1.13128,1.1587,1.13128,1.13128
13,513.042,1,19.8727,20.9492,17.7608,18.5849,1.7946,-0.391663,1.10264,1.12937,1.10264,1.10264
14,510.263,1,19.4334,20.9427,18.0483,17.7884,1.78739,-0.375433,1.07472,1.10077,1.07472,1.07472
15,513.338,1,19.2643,22.739,18.253,15.9097,1.80729,-0.374037,1.04751,1.15442,1.04751,1.04751
16,511.926,1,19.3916,23.2992,17.9146,17.5693,1.78585,-0.372614,1.02098,1.21277,1.02098,1.02098
17,512.663,1,19.7119,21.7346,17.8381,18.4035,1.82058,-0.389114,0.995131,1.18206,0.995131,0.995131
18,505.221,1,19.9221,21.3211,17.6,16.7789,1.77449,-0.39435,0.969933,1.21679,0.969933,0.969933
19,503.031,1,19.0813,20.0054,17.6389,17.9012,1.72955,-0.359254,0.945374,1.19581,0.945374,0.945374
20,501.821,1,19.3143,20.6438,17.5494,16.2233,1.71847,-0.371692,0.921437,1.17657,0.921437,0.921437
21,498.624,1,19.4882,22.7877,17.3795,17.7588,1.68366,-0.380461,0.898105,1.22907,0.898105,0.898105
22,498.165,1,19.4263,22.715,17.5878,18.5552,1.72964,-0.382126,0.875365,1.26922,0.875365,0.875365
23,499.391,1,19.6741,22.9026,17.8937,17.448,1.7806,-0.391823,0.8532,1.28794,0.8532,0.8532
24,503.726,1,20.0923,23.1896,18.1022,18.7138,1.76286,-0.409496,0.831597,1.25533,0.831597,0.930739
25,504.888,1,19.4082,23.5746,17.7772,18.6335,1.78684,-0.37515,0.81054,1.22354,0.811159,0.918532
26,502.234,1,19.0194,23.9364,17.8546,19.4891,1.79632,-0.358626,0.790017,1.19256,0.79062,0.937919
27,505.839,1,19.3573,24.5453,18.1169,16.8002,1.85337,-0.375717,0.770013,1.16237,0.793813,0.91417
28,505.341,1,19.5531,25.7228,18.5672,15.518,1.89149,-0.380485,0.750516,1.13293,0.773713,0.891023
29,511.031,1,19.8388,25.1857,19.2763,16.0395,1.92868,-0.399223,0.731512,1.12617,0.754122,0.928739
30,496.562,1,20.3932,23.7966,19.5911,16.3868,1.87985,-0.414188,0.71299,1.09766,0.735028,0.905223
31,500.122,1,20.6358,24.5166,19.9456,17.4451,1.85526,-0.427078,0.694937,1.08097,0.744876,0.882302
32,497.215,1,20.3094,22.7438,19.9923,17.525,1.85791,-0.410347,0.677341,1.10121,0.728896,0.859962
33,495.544,1,20.284,22.4311,20.1606,17.7551,1.81087,-0.412412,0.66019,1.08156,0.745571,0.902172
34,501.984,1,19.4722,23.2544,19.8055,17.8728,1.87442,-0.382681,0.643474,1.16642,0.742335,0.879328
35,505.903,1,19.3238,22.9444,19.5021,16.5271,1.90532,-0.370195,0.627181,1.22357,0.759174,0.85724
36,503.09,1,19.802,21.3064,19.4718,15.5504,1.93174,-0.398644,0.6113,1.19258,0.755361,0.835534
37,502.199,1,20.159,20.1032,19.3534,16.3296,1.92081,-0.402408,0.595821,1.21512,0.762004,0.814378
38,487.279,1,20.0636,20.7832,19.5802,16.0223,1.87218,-0.401436,0.580735,1.19499,0.74271,0.793757
39,492.716,1,19.6545,22.1112,19.2702,16.1739,1.86083,-0.381528,0.56603,1.23516,0.727555,0.773659
40,497.525,1,19.4869,23.703,18.6323,16.7493,1.91372,-0.373671,0.551698,1.20388,0.751778,0.75407
41,497.394,1,19.8095,23.8702,18.7847,16.0898,1.94718,-0.393084,0.537729,1.1734,0.748886,0.734976
42,491.441,1,19.5532,25.4214,18.6181,15.5235,1.89788,-0.379394,0.524113,1.14369,0.735769,0.735549
43,493.187,1,19.1773,26.5733,19.0422,15.7638,1.86596,-0.368064,0.510842,1.16662,0.722445,0.836773
44,488.597,1,19.7348,26.216,19.0819,15.1276,1.81871,-0.38921,0.497908,1.21408,0.705262,0.858968
45,482.132,1,19.4864,24.1171,19.172,14.8652,1.81034,-0.372505,0.4853,1.19283,0.697092,0.837218
46,488.717,1,19.0076,23.2258,19.902,15.8353,1.82382,-0.366034,0.473012,1.30309,0.682977,0.819559
47,487.995,1,19.3848,24.6478,19.7656,18.3563,1.89121,-0.381762,0.461035,1.27009,0.671886,0.798807
48,490.347,1,19.4267,26.2681,19.4632,16.2972,1.9176,-0.376618,0.449362,1.23793,0.668034,0.778581
49,479.745,1,19.7969,25.2541,19.2694,16.0053,1.86904,-0.387548,0.437984,1.20659,0.672946,0.758867
50,479.143,1,19.7773,25.7392,19.2684,15.8215,1.85415,-0.385472,0.426894,1.17604,0.6657,0.739652
51,479.328,1,20.3223,24.9859,19.4336,16.1487,1.83663,-0.404168,0.416084,1.26903,0.662343,0.720923
52,480.856,1,20.3642,25.0353,19.7283,16.5029,1.81372,-0.40702,0.405549,1.36057,0.645572,0.741798
53,482.611,1,19.6956,25.4481,20.0437,15.9106,1.84432,-0.378408,0.39528,1.43972,0.629226,0.723016
54,478.075,1,19.6971,24.9167,20.2763,14.4644,1.79762,-0.382768,0.385271,1.44152,0.613293,0.814627
55,475.764,1,20.3554,22.2654,19.7447,14.3871,1.79238,-0.402666,0.375516,1.40502,0.603021,0.794
56,475.673,1,20.5252,23.7006,20.4607,14.4702,1.79835,-0.413903,0.366008,1.36945,0.611855,0.78313
57,472.239,1,20.0577,26.0699,20.4739,13.9841,1.81813,-0.397096,0.35674,1.33477,0.596363,0.763301
58,480.329,1,20.7257,25.2217,20.4542,14.8546,1.91602,-0.419407,0.347707,1.30097,0.581263,0.743974
59,482.987,1,20.6814,23.7837,20.9398,14.5414,1.92895,-0.417858,0.338903,1.26803,0.584732,0.754604
60,473.814,1,20.7229,26.233,20.344,14.2129,1.90493,-0.430552,0.330322,1.23592,0.584136,0.735497
61,477.16,1,20.9676,25.5438,20.5067,15.0034,1.87249,-0.438205,0.321958,1.20463,0.608048,0.810092
62,478.329,1,20.3345,28.1993,20.6312,14.2853,1.8381,-0.408236,0.313806,1.1876,0.607115,0.906137
63,472.786,1,20.521,24.2813,20.5277,14.4799,1.8401,-0.419483,0.30586,1.15753,0.61401,0.883193
64,476.762,1,19.8988,24.4224,20.3334,13.0017,1.85318,-0.386041,0.298116,1.12822,0.625434,0.88245
65,473.152,1,20.1179,23.9098,20.2537,14.1822,1.88462,-0.395818,0.290567,1.09965,0.632315,0.860106
66,472.522,1,20.0903,24.0506,19.8963,15.1396,1.90798,-0.396425,0.28321,1.07181,0.646402,0.838327
67,469.912,1,20.2782,23.7608,20.3834,15.1839,1.85967,-0.410284,0.276039,1.13737,0.630035,0.817101
68,463.747,1,20.0267,27.2476,20.4248,14.6018,1.82487,-0.400065,0.269049,1.10857,0.614082,0.796411
69,468.822,1,19.9595,30.2598,20.1159,13.8107,1.82072,-0.399032,0.262237,1.0805,0.618352,0.825976
70,466.04,1,20.258,30.9881,20.2611,14.4817,1.79491,-0.405036,0.255597,1.09565,0.602694,0.813194
71,464.549,1,20.3676,31.361,20.1988,14.366,1.75796,-0.412942,0.249125,1.14964,0.606774,0.827315
72,466.919,1,19.9512,28.955,20.6371,15.2458,1.81635,-0.393124,0.242817,1.12053,0.59141,0.806367
73,472.582,1,19.8671,25.9781,21.2475,15.5443,1.89259,-0.39959,0.236669,1.14143,0.577777,0.785949
74,474.2,1,20.3941,26.4667,21.0651,14.2711,1.896,-0.413998,0.230676,1.11253,0.592464,0.818214
75,468.447,1,20.5849,27.2188,21.1603,14.3909,1.86502,-0.423186,0.224835,1.08436,0.577463,0.828342
