Cl_abscissa,Cl_pdf,V1_abscissa,V1_pdf,Q_abscissa,Q_pdf,V2_abscissa,V2_pdf,split
8.80671,0.0702868,13.1125,0.0132319,16.7273,0.0176498,3.70994,0.0451021,All
9.82817,0.175717,16.3681,0.0507223,45.6082,0.0136724,8.00789,0.0567952,All
10.8496,0.0773155,19.6236,0.0727755,74.4891,0.00298307,12.3058,0.0451021,All
11.8711,0.112459,22.8792,0.0793914,103.37,0.00248589,16.6038,0.030068,All
12.8925,0.0632582,26.1347,0.0308744,132.251,0,20.9017,0.0183749,All
13.914,0.0421721,29.3902,0.0330798,161.132,0.000248589,25.1997,0.0100227,All
14.9354,0.10543,32.6458,0.0176425,190.013,0,29.4976,0.00334089,All
15.9569,0.0492008,35.9013,0.00882127,218.894,0,33.7955,0.0183749,All
16.9784,0.10543,39.1568,0.00441063,247.775,0,38.0935,0.00501134,All
17.9998,0.126516,42.4124,0.00441063,276.656,0,42.3914,0.00167045,All
19.0213,0.0773155,45.6679,0.00220532,305.536,0,46.6894,0.00501134,All
20.0427,0.0351434,48.9234,0.00661595,334.417,0,50.9873,0.00501134,All
21.0642,0.0140574,52.179,0.00661595,363.298,0.000248589,55.2853,0.00668179,All
