iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
1,529.159,1,20.6281,35.7262,6.65121,1.5,-0.415546,1.5,1.5,1.5,1.5
2,518.104,1,20.2358,20.9608,14.3501,1.61879,-0.402727,1.46202,1.46202,1.46202,1.46202
3,526.212,1,20.6117,21.313,15.1335,1.69522,-0.411743,1.425,1.425,1.425,1.425
4,534.739,1,20.5347,21.2302,14.4765,1.78679,-0.410971,1.38892,1.38892,1.38892,1.38892
5,532.53,1,19.9096,21.0772,14.3706,1.7708,-0.386505,1.35375,1.35375,1.35375,1.35375
6,529.827,1,20.3775,21.1955,16.6181,1.81882,-0.406169,1.31947,1.31947,1.31947,1.31947
7,524.578,1,20.2919,20.7664,14.3784,1.80536,-0.403348,1.28606,1.28606,1.28606,1.28606
8,521.113,1,20.4078,19.9874,14.3177,1.79537,-0.407863,1.2535,1.2535,1.2535,1.2535
9,518.695,1,19.8856,20.5108,14.6037,1.80425,-0.384163,1.22176,1.22176,1.22176,1.22176
10,511.474,1,20.276,20.3557,14.3418,1.76515,-0.398494,1.19082,1.19082,1.19082,1.19082
11,507.479,1,20.212,20.583,14.89,1.73714,-0.40577,1.16067,1.16067,1.16067,1.16067
12,499.805,1,20.3349,20.3905,16.2488,1.69315,-0.406619,1.13128,1.13128,1.13128,1.13128
13,511.041,1,20.0404,21.119,16.8883,1.80053,-0.388655,1.10264,1.12784,1.10264,1.10264
14,510.082,1,20.1735,20.6483,16.7979,1.77533,-0.397308,1.07472,1.19975,1.07472,1.07472
15,504.166,1,20.2093,20.2638,15.201,1.76119,-0.396026,1.04751,1.16938,1.04751,1.04751
16,502.637,1,20.0538,20.7687,17.371,1.78551,-0.393031,1.02098,1.13977,1.02098,1.02098
17,500.655,1,20.4344,21.013,17.7656,1.78814,-0.404539,0.995131,1.11091,0.995131,0.995131
18,496.226,1,20.8312,21.3056,16.4152,1.74456,-0.421797,0.969933,1.13605,0.969933,0.969933
19,493.123,1,19.637,22.0121,16.6236,1.7077,-0.365292,0.945374,1.11561,0.945374,0.945374
20,497.87,1,20.1289,21.7212,15.7121,1.74497,-0.393474,0.921437,1.1398,0.921437,0.951787
21,489.796,1,20.2314,21.4666,17.0595,1.70078,-0.405976,0.898105,1.13125,0.898105,0.935561
22,489.884,1,20.1416,21.5419,18.2771,1.70333,-0.399875,0.875365,1.18765,0.875365,0.911872
23,488.48,1,20.025,21.4735,16.9287,1.70913,-0.392829,0.8532,1.21174,0.8532,0.888783
24,487.047,1,20.4553,20.8584,17.7742,1.70675,-0.418353,0.831597,1.18106,0.831597,0.880525
25,487.027,1,19.6426,20.6083,18.0549,1.70711,-0.379131,0.81054,1.15115,0.81054,0.896901
26,486.385,1,19.8023,20.63,17.0127,1.76352,-0.383065,0.790017,1.122,0.790017,0.874191
27,500.044,1,19.922,20.6739,15.1171,1.86302,-0.390393,0.770013,1.20747,0.770013,0.852056
28,494.998,1,19.9208,20.0547,14.5329,1.82668,-0.385764,0.750516,1.1813,0.750516,0.830481
29,488.926,1,20.0367,20.2216,15.0407,1.79808,-0.403728,0.731512,1.15139,0.731512,0.831202
30,488.296,1,20.9613,20.4888,15.0885,1.81805,-0.429663,0.71299,1.12224,0.71299,0.863108
31,478.09,1,20.67,20.2222,16.3402,1.77202,-0.419117,0.694937,1.09382,0.694937,0.841253
32,484.77,1,20.2932,20.8934,17.2045,1.80661,-0.404917,0.677341,1.08346,0.677341,0.827114
33,480.579,1,20.3757,20.968,16.0944,1.80555,-0.41027,0.66019,1.07049,0.66019,0.806171
34,484.214,1,19.3787,20.8047,16.5594,1.82953,-0.371265,0.643474,1.04929,0.643474,0.806414
35,488.24,1,19.1991,20.5401,16.7629,1.85383,-0.362753,0.627181,1.07211,0.627181,0.844616
36,484.874,1,19.8568,20.8875,15.2171,1.85966,-0.395489,0.6113,1.08877,0.6113,0.82323
37,486.004,1,20.4792,20.5789,15.463,1.85206,-0.419527,0.595821,1.10752,0.595821,0.833072
38,473.818,1,20.2123,20.3061,16.5773,1.80517,-0.403208,0.580735,1.07948,0.580735,0.811978
39,482.398,1,20.4932,20.1903,15.7117,1.82503,-0.405295,0.56603,1.1979,0.56603,0.791418
40,486.762,1,19.5945,20.397,16.2875,1.84278,-0.37669,0.551698,1.20622,0.584227,0.807115
41,484.771,1,19.9721,20.4658,16.5204,1.83763,-0.39356,0.537729,1.17568,0.592568,0.800255
