time,median,p5,p15,p25,p35,p45,p55,p65,p75,p85,p95,split
2.22045e-16,4.29423e-14,1.46817e-14,2.50518e-14,3.18708e-14,3.68196e-14,4.09665e-14,4.49074e-14,4.93949e-14,5.51479e-14,6.40382e-14,8.30702e-14,All
2.41121e-16,4.63914e-14,1.84202e-14,2.95823e-14,3.57986e-14,4.0347e-14,4.43728e-14,4.84697e-14,5.31458e-14,5.92108e-14,6.87648e-14,8.91454e-14,All
2.61835e-16,5.00673e-14,2.28983e-14,3.36969e-14,3.93815e-14,4.38181e-14,4.79421e-14,5.22824e-14,5.72078e-14,6.38205e-14,7.3867e-14,9.55746e-14,All
2.8433e-16,5.39231e-14,2.73862e-14,3.72901e-14,4.2891e-14,4.73693e-14,5.17038e-14,5.62595e-14,6.16615e-14,6.86421e-14,7.94849e-14,1.02665e-13,All
3.08757e-16,5.80998e-14,3.19112e-14,4.10127e-14,4.64846e-14,5.11468e-14,5.5767e-14,6.07448e-14,6.65434e-14,7.38896e-14,8.56696e-14,1.10695e-13,All
3.35282e-16,6.28205e-14,3.57335e-14,4.46675e-14,5.03311e-14,5.52906e-14,6.02141e-14,6.55106e-14,7.17206e-14,7.97723e-14,9.21048e-14,1.19475e-13,All
3.64086e-16,6.78463e-14,3.935e-14,4.84398e-14,5.44209e-14,5.97629e-14,6.50131e-14,7.08567e-14,7.73788e-14,8.61116e-14,9.94405e-14,1.2858e-13,All
3.95365e-16,7.35159e-14,4.30368e-14,5.25759e-14,5.9037e-14,6.47844e-14,7.05162e-14,7.65498e-14,8.35261e-14,9.30084e-14,1.077e-13,1.39188e-13,All
4.29331e-16,7.94543e-14,4.69289e-14,5.71845e-14,6.41858e-14,7.0256e-14,7.63766e-14,8.28638e-14,9.04606e-14,1.00596e-13,1.16388e-13,1.50685e-13,All
4.66215e-16,8.61743e-14,5.11719e-14,6.22374e-14,6.96321e-14,7.62715e-14,8.27577e-14,8.97579e-14,9.81271e-14,1.09027e-13,1.26513e-13,1.63065e-13,All
5.06268e-16,9.34931e-14,5.58658e-14,6.77728e-14,7.57712e-14,8.28667e-14,8.98006e-14,9.74058e-14,1.06478e-13,1.18515e-13,1.37081e-13,1.7621e-13,All
5.49762e-16,1.01491e-13,6.1058e-14,7.38666e-14,8.26208e-14,9.0048e-14,9.75533e-14,1.05745e-13,1.15443e-13,1.28491e-13,1.48678e-13,1.9066e-13,All
5.96992e-16,1.10162e-13,6.70133e-14,8.07115e-14,8.98401e-14,9.7906e-14,1.05897e-13,1.14567e-13,1.25362e-13,1.39474e-13,1.61169e-13,2.07341e-13,All
6.4828e-16,1.19444e-13,7.31944e-14,8.79606e-14,9.76277e-14,1.06228e-13,1.14803e-13,1.24393e-13,1.35999e-13,1.50999e-13,1.74718e-13,2.2441e-13,All
7.03974e-16,1.29556e-13,7.9984e-14,9.56561e-14,1.05999e-13,1.15324e-13,1.24667e-13,1.34937e-13,1.47258e-13,1.64006e-13,1.8928e-13,2.43579e-13,All
7.64453e-16,1.40711e-13,8.76658e-14,1.03987e-13,1.15219e-13,1.25193e-13,1.35367e-13,1.46557e-13,1.60141e-13,1.78093e-13,2.05642e-13,2.6395e-13,All
8.30127e-16,1.52736e-13,9.56459e-14,1.13202e-13,1.25235e-13,1.35901e-13,1.46918e-13,1.59056e-13,1.73569e-13,1.93385e-13,2.22881e-13,2.86139e-13,All
9.01444e-16,1.65664e-13,1.04174e-13,1.23143e-13,1.35982e-13,1.47643e-13,1.59469e-13,1.72415e-13,1.88504e-13,2.09735e-13,2.42e-13,3.11179e-13,All
9.78887e-16,1.80032e-13,1.13139e-13,1.3395e-13,1.4787e-13,1.6036e-13,1.73159e-13,1.87285e-13,2.04742e-13,2.2747e-13,2.62771e-13,3.37621e-13,All
1.06298e-15,1.95367e-13,1.23291e-13,1.45577e-13,1.60519e-13,1.74235e-13,1.87981e-13,2.03498e-13,2.22091e-13,2.4731e-13,2.85089e-13,3.65886e-13,All
1.15431e-15,2.12111e-13,1.34601e-13,1.58018e-13,1.74429e-13,1.89127e-13,2.04013e-13,2.20841e-13,2.41095e-13,2.68251e-13,3.09736e-13,3.97346e-13,All
1.25347e-15,2.3031e-13,1.45961e-13,1.72085e-13,1.8947e-13,2.0529e-13,2.21794e-13,2.39643e-13,2.61382e-13,2.91311e-13,3.36025e-13,4.31989e-13,All
1.36116e-15,2.50049e-13,1.59168e-13,1.8667e-13,2.05869e-13,2.22972e-13,2.40428e-13,2.603e-13,2.83968e-13,3.16134e-13,3.64644e-13,4.68475e-13,All
1.4781e-15,2.7162e-13,1.73058e-13,2.03166e-13,2.23434e-13,2.42346e-13,2.61256e-13,2.8268e-13,3.08708e-13,3.43336e-13,3.95845e-13,5.08113e-13,All
1.60508e-15,2.94797e-13,1.87995e-13,2.20237e-13,2.42832e-13,2.62768e-13,2.83689e-13,3.06788e-13,3.3457e-13,3.72769e-13,4.29828e-13,5.52143e-13,All
1.74297e-15,3.19965e-13,2.04223e-13,2.39279e-13,2.63717e-13,2.85599e-13,3.08021e-13,3.32888e-13,3.63889e-13,4.04772e-13,4.66385e-13,5.99032e-13,All
1.89271e-15,3.4743e-13,2.22093e-13,2.60475e-13,2.86322e-13,3.10159e-13,3.34641e-13,3.61606e-13,3.94649e-13,4.39346e-13,5.07047e-13,6.5117e-13,All
2.05532e-15,3.77305e-13,2.41148e-13,2.82802e-13,3.1102e-13,3.36824e-13,3.6303e-13,3.92751e-13,4.2873e-13,4.77126e-13,5.50018e-13,7.05919e-13,All
2.23189e-15,4.09878e-13,2.62355e-13,3.06936e-13,3.37714e-13,3.65441e-13,3.94459e-13,4.26481e-13,4.65662e-13,5.18483e-13,5.98131e-13,7.66582e-13,All
2.42363e-15,4.44877e-13,2.84095e-13,3.33532e-13,3.66588e-13,3.97249e-13,4.2829e-13,4.62961e-13,5.0561e-13,5.62467e-13,6.48695e-13,8.32012e-13,All
2.63185e-15,4.83402e-13,3.10046e-13,3.6223e-13,3.98684e-13,4.3116e-13,4.64934e-13,5.03119e-13,5.48881e-13,6.11016e-13,7.04679e-13,9.05016e-13,All
2.85795e-15,5.24548e-13,3.36293e-13,3.93302e-13,4.32594e-13,4.68423e-13,5.04839e-13,5.45885e-13,5.96307e-13,6.63674e-13,7.65018e-13,9.82114e-13,All
3.10348e-15,5.69464e-13,3.65027e-13,4.2702e-13,4.6971e-13,5.08436e-13,5.48261e-13,5.9271e-13,6.47518e-13,7.2027e-13,8.31355e-13,1.06574e-12,All
3.3701e-15,6.1841e-13,3.96434e-13,4.63625e-13,5.10003e-13,5.52326e-13,5.95232e-13,6.43432e-13,7.0269e-13,7.81921e-13,9.01976e-13,1.15774e-12,All
3.65963e-15,6.71489e-13,4.31071e-13,5.03938e-13,5.53998e-13,5.99713e-13,6.46652e-13,6.99252e-13,7.62736e-13,8.49907e-13,9.79887e-13,1.25797e-12,All
3.97403e-15,7.29867e-13,4.67761e-13,5.47126e-13,6.01542e-13,6.5102e-13,7.02178e-13,7.58826e-13,8.28798e-13,9.22435e-13,1.06399e-12,1.36698e-12,All
4.31544e-15,7.92135e-13,5.08004e-13,5.93809e-13,6.5356e-13,7.0686e-13,7.62111e-13,8.24363e-13,8.99684e-13,1.00172e-12,1.15524e-12,1.48232e-12,All
4.68618e-15,8.60213e-13,5.51631e-13,6.44883e-13,7.094e-13,7.67806e-13,8.28195e-13,8.94669e-13,9.77085e-13,1.08797e-12,1.25481e-12,1.61158e-12,All
5.08877e-15,9.34211e-13,5.99631e-13,7.00838e-13,7.70342e-13,8.33609e-13,8.98657e-13,9.72209e-13,1.06136e-12,1.18062e-12,1.36264e-12,1.74697e-12,All
5.52595e-15,1.01446e-12,6.50339e-13,7.60862e-13,8.36464e-13,9.05514e-13,9.76079e-13,1.05527e-12,1.15204e-12,1.28246e-12,1.47865e-12,1.89823e-12,All
6.00069e-15,1.10115e-12,7.06948e-13,8.26396e-13,9.08294e-13,9.83051e-13,1.06013e-12,1.14594e-12,1.25104e-12,1.39287e-12,1.60535e-12,2.05983e-12,All
6.51621e-15,1.19575e-12,7.67178e-13,8.97487e-13,9.86873e-13,1.06759e-12,1.15121e-12,1.24439e-12,1.35915e-12,1.51226e-12,1.74423e-12,2.23934e-12,All
7.07602e-15,1.29843e-12,8.33047e-13,9.74459e-13,1.07112e-12,1.15919e-12,1.24945e-12,1.35167e-12,1.47533e-12,1.64236e-12,1.89407e-12,2.42895e-12,All
7.68393e-15,1.41011e-12,9.05259e-13,1.05828e-12,1.1634e-12,1.25904e-12,1.35776e-12,1.46731e-12,1.60198e-12,1.78322e-12,2.05601e-12,2.63858e-12,All
8.34406e-15,1.53134e-12,9.83284e-13,1.14916e-12,1.26328e-12,1.36704e-12,1.47363e-12,1.59362e-12,1.73939e-12,1.93565e-12,2.23323e-12,2.86404e-12,All
9.0609e-15,1.66317e-12,1.06672e-12,1.24776e-12,1.37171e-12,1.48485e-12,1.60006e-12,1.73007e-12,1.889e-12,2.1032e-12,2.42373e-12,3.11106e-12,All
9.83933e-15,1.80605e-12,1.15921e-12,1.3548e-12,1.48936e-12,1.61188e-12,1.73801e-12,1.87848e-12,2.05113e-12,2.28293e-12,2.63236e-12,3.37534e-12,All
1.06846e-14,1.96118e-12,1.25905e-12,1.47135e-12,1.61754e-12,1.75039e-12,1.88707e-12,2.04028e-12,2.22767e-12,2.47889e-12,2.85816e-12,3.6686e-12,All
1.16025e-14,2.12974e-12,1.36743e-12,1.59798e-12,1.75584e-12,1.90054e-12,2.0494e-12,2.21546e-12,2.41827e-12,2.69224e-12,3.10528e-12,3.98264e-12,All
1.25993e-14,2.31298e-12,1.48456e-12,1.73503e-12,1.90713e-12,2.06439e-12,2.22539e-12,2.40578e-12,2.62708e-12,2.92377e-12,3.37036e-12,4.32636e-12,All
1.36817e-14,2.51177e-12,1.61253e-12,1.88423e-12,2.07037e-12,2.24154e-12,2.41607e-12,2.61266e-12,2.85247e-12,3.17496e-12,3.66051e-12,4.69623e-12,All
1.48571e-14,2.72728e-12,1.74989e-12,2.04561e-12,2.24905e-12,2.43383e-12,2.62453e-12,2.83724e-12,3.09692e-12,3.44898e-12,3.97456e-12,5.10236e-12,All
1.61335e-14,2.96148e-12,1.90053e-12,2.22105e-12,2.44214e-12,2.64323e-12,2.84888e-12,3.08044e-12,3.36359e-12,3.74313e-12,4.31595e-12,5.54144e-12,All
1.75196e-14,3.21615e-12,2.06452e-12,2.41224e-12,2.65199e-12,2.87002e-12,3.09453e-12,3.34592e-12,3.65329e-12,4.06582e-12,4.68872e-12,6.01695e-12,All
1.90247e-14,3.4926e-12,2.24145e-12,2.62016e-12,2.87927e-12,3.11663e-12,3.36008e-12,3.63249e-12,3.96753e-12,4.41418e-12,5.09133e-12,6.53472e-12,All
2.06591e-14,3.79183e-12,2.43363e-12,2.84449e-12,3.12735e-12,3.3848e-12,3.64764e-12,3.94422e-12,4.30677e-12,4.79519e-12,5.52817e-12,7.09337e-12,All
2.24339e-14,4.11789e-12,2.644e-12,3.08944e-12,3.39627e-12,3.67553e-12,3.9618e-12,4.28261e-12,4.67743e-12,5.20651e-12,6.00447e-12,7.70406e-12,All
2.43613e-14,4.47076e-12,2.87167e-12,3.35458e-12,3.68847e-12,3.99213e-12,4.3025e-12,4.65184e-12,5.07863e-12,5.65268e-12,6.51948e-12,8.36551e-12,All
2.64541e-14,4.85561e-12,3.11587e-12,3.64197e-12,4.00504e-12,4.33323e-12,4.67263e-12,5.05147e-12,5.51571e-12,6.13985e-12,7.08075e-12,9.08508e-12,All
2.87268e-14,5.27245e-12,3.38531e-12,3.95613e-12,4.34804e-12,4.70682e-12,5.07355e-12,5.48457e-12,5.98836e-12,6.66739e-12,7.68788e-12,9.86391e-12,All
