iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
1,453.584,1,13.5086,26.1537,23.8987,13.1157,1.51613,0.0444431,0.259821,1.08617,0.235695,0.940596
2,466.667,1,13.5543,26.8794,23.7676,13.2789,1.58967,0.0423882,0.253242,1.06237,0.244357,0.917276
3,469.054,1,13.4534,27.2053,22.9534,15.4114,1.56069,0.0449222,0.258276,1.03939,0.270024,0.89405
4,459.69,1,13.4215,29.52,22.7198,13.979,1.5103,0.0434839,0.260937,1.04213,0.263186,0.871412
5,458.761,1,13.4054,27.0656,22.7003,14.5538,1.52686,0.040062,0.257918,1.01575,0.262493,0.947185
6,457.69,1,13.4455,25.104,23.2138,14.6467,1.49859,0.041584,0.254231,1.02311,0.255846,0.923201
7,460.932,1,13.5649,26.3277,23.9537,14.2644,1.49855,0.040535,0.262505,1.10711,0.252535,0.959708
8,461.12,1,13.6389,29.3296,23.6461,13.2685,1.51827,0.039199,0.261773,1.1694,0.24793,0.935407
9,471.174,1,13.5201,34.8348,23.2278,13.8984,1.54945,0.0453051,0.255145,1.18676,0.246199,0.911933
10,470.544,1,13.4891,33.2538,23.6838,12.5467,1.54944,0.0463412,0.262143,1.15671,0.252063,0.888842
11,478.981,1,13.437,32.7213,23.3379,11.7598,1.62063,0.0475993,0.258266,1.12742,0.256947,0.929616
12,476.205,1,13.6324,33.146,23.0115,12.2957,1.67661,0.0435847,0.264961,1.09887,0.261049,0.906077
13,482.776,1,13.7229,30.1784,23.1172,12.0719,1.72265,0.045339,0.258252,1.07105,0.263134,0.932508
14,493.265,1,13.3794,28.4745,23.1674,11.6352,1.79682,0.0494164,0.251713,1.12722,0.257323,0.908896
15,486.881,1,13.5032,28.3273,23.1389,12.063,1.7651,0.0485272,0.260914,1.09868,0.250808,0.885882
16,476.179,1,13.4983,28.7382,22.952,13.0417,1.67684,0.0461009,0.254308,1.07086,0.250457,0.863451
17,483.793,1,13.6653,30.7466,22.7733,14.1211,1.70924,0.0498128,0.263152,1.13698,0.246665,0.841588
18,474.86,1,13.53,30.4118,22.9881,15.4439,1.62378,0.0473221,0.256489,1.24245,0.249182,0.820279
19,473.807,1,13.5092,30.8144,23.1196,14.3144,1.66529,0.0451893,0.261007,1.21099,0.251258,0.799509
20,477.099,1,13.4695,33.631,23.1575,14.2116,1.61133,0.0499595,0.254399,1.18033,0.256494,0.779265
21,482.958,1,13.4756,31.1647,23.435,14.8535,1.48383,0.059941,0.254993,1.15044,0.271459,0.81837
22,479.632,1,13.4093,29.2919,23.4021,13.4828,1.40964,0.056944,0.254116,1.31546,0.268891,0.89937
23,481.876,1,13.4074,30.2981,23.1681,13.1742,1.43982,0.0555133,0.253654,1.28215,0.288167,0.906728
