iteration,E_Cl,sd_Cl,E_V1,sd_V1,E_Q,sd_Q,E_V2,sd_V2
1,13.9435,0.0500128,21.6207,0.187946,62.4633,0.70861,18.2324,0.4276
2,14.0035,0.0468944,21.5271,0.174992,59.4333,0.626605,18.4534,0.397403
3,14.0149,0.0442431,21.4638,0.170966,61.2919,0.645924,18.6356,0.380472
4,13.9927,0.0454024,21.4709,0.170391,62.7688,0.668306,18.8707,0.370788
5,13.9758,0.0448176,21.4327,0.175859,63.4075,0.656096,19.261,0.377344
6,13.9461,0.0454169,21.3324,0.177019,63.3919,0.640379,19.5973,0.373963
7,13.9471,0.0452187,21.3569,0.178755,62.3221,0.629445,19.4613,0.364799
8,13.955,0.0447625,21.4047,0.178539,61.6492,0.620789,19.4264,0.362782
9,13.9513,0.0439546,21.4163,0.177217,61.8881,0.624052,19.4962,0.358956
10,13.9499,0.0438311,21.4589,0.174829,61.1437,0.621512,19.5949,0.361171
11,13.9458,0.0435037,21.5523,0.17366,60.1536,0.621766,19.6126,0.364002
12,13.9365,0.0433869,21.5902,0.171346,60.4542,0.616406,19.6846,0.365592
13,13.9287,0.0435369,21.6156,0.168499,60.0101,0.615353,19.8099,0.369716
14,13.9287,0.0435667,21.6896,0.16716,60.1668,0.617484,19.9564,0.37273
15,13.933,0.043537,21.7029,0.164959,60.514,0.62071,20.0412,0.375002
16,13.9362,0.0434486,21.7258,0.164304,59.8572,0.619056,20.3042,0.38151
17,13.931,0.0430897,21.788,0.165665,60.0999,0.626099,20.3768,0.382191
18,13.9266,0.0428098,21.7992,0.16633,60.3999,0.632438,20.4905,0.382721
19,13.9251,0.0427017,21.7803,0.167271,60.3051,0.632465,20.4545,0.380037
20,13.9226,0.0430549,21.7357,0.167246,60.9773,0.635824,20.438,0.379564
21,13.9232,0.0433298,21.71,0.16715,61.513,0.637098,20.3489,0.381467
22,13.9206,0.043086,21.7182,0.166776,61.0947,0.631126,20.256,0.377991
23,13.9226,0.0431004,21.7262,0.166776,61.0192,0.632324,20.227,0.376519
24,13.9231,0.0433045,21.7357,0.167262,60.8958,0.635499,20.1907,0.375762
25,13.9197,0.0429612,21.758,0.168043,60.9324,0.636406,20.1676,0.377127
26,13.9222,0.0427453,21.7739,0.167882,60.8521,0.63695,20.2054,0.376341
27,13.925,0.0427529,21.7925,0.167807,61.0104,0.635983,20.1905,0.37562
28,13.9225,0.0428569,21.804,0.167862,60.9951,0.636487,20.1906,0.374861
29,13.9208,0.0428814,21.7943,0.167794,61.0161,0.635908,20.1201,0.372967
30,13.9228,0.0430562,21.7786,0.16771,61.0613,0.635346,20.1107,0.372392
31,13.9207,0.0431309,21.7572,0.168086,60.869,0.632682,20.1153,0.371422
32,13.9208,0.0431473,21.7368,0.16843,60.6662,0.633135,20.1115,0.371634
33,13.9233,0.0429924,21.7432,0.168178,60.2632,0.632831,20.1213,0.371753
34,13.923,0.0427883,21.7383,0.168217,60.869,0.637383,20.1142,0.369819
35,13.9219,0.0426567,21.7352,0.168954,61.4316,0.641742,20.1014,0.368844
36,13.9219,0.0426769,21.7373,0.169345,61.452,0.643176,20.0959,0.368558
37,13.9215,0.0426783,21.7308,0.169667,61.5696,0.642992,20.0985,0.368783
38,13.9249,0.0428073,21.73,0.169836,61.6013,0.645801,20.1065,0.369322
39,13.9276,0.0428425,21.7341,0.170298,61.5072,0.647699,20.0946,0.370369
40,13.9308,0.0429405,21.7286,0.170682,61.7624,0.646963,20.0918,0.37099
41,13.9293,0.0428049,21.7081,0.171762,61.8963,0.645563,20.0957,0.371106
42,13.9315,0.0429666,21.6995,0.172029,61.7728,0.645028,20.109,0.371435
43,13.933,0.04292,21.7,0.172701,61.6149,0.644176,20.1074,0.370966
44,13.9337,0.0429586,21.6884,0.173442,61.6863,0.646255,20.1009,0.370719
45,13.9354,0.0429789,21.6769,0.17392,61.6423,0.646482,20.0806,0.37068
46,13.9353,0.0430591,21.6792,0.174254,61.6684,0.646034,20.0467,0.372112
47,13.9352,0.0431385,21.672,0.174747,61.6129,0.645899,20.0263,0.373037
48,13.9346,0.0430586,21.6687,0.175363,61.4518,0.644998,20.0074,0.374915
49,13.9358,0.0430928,21.6695,0.175885,61.4992,0.646147,19.9871,0.37648
