pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
,,-26.2265,0.236667,,,All
,,-25.9143,0.237778,,,All
,,-25.8651,0.238889,,,All
,,-25.8316,0.24,,,All
,,-25.719,0.241111,,,All
,,-25.6835,0.242222,,,All
,,-25.0183,0.243333,,,All
,,-24.3625,0.244444,,,All
,,-23.9455,0.245556,,,All
,,-23.6982,0.246667,,,All
,,-23.4964,0.247778,,,All
,,-23.4046,0.248889,,,All
,,-23.3939,0.25,,,All
,,-23.3752,0.251111,,,All
,,-23.2382,0.252222,,,All
,,-23.2159,0.253333,,,All
,,-23.2155,0.254444,,,All
,,-23.1969,0.255556,,,All
,,-23.0756,0.256667,,,All
,,-22.9558,0.257778,,,All
,,-22.8899,0.258889,,,All
,,-22.7486,0.26,,,All
,,-22.4443,0.261111,,,All
,,-22.4287,0.262222,,,All
,,-22.3552,0.263333,,,All
,,-22.1505,0.264444,,,All
,,-22.053,0.265556,,,All
,,-21.7608,0.266667,,,All
,,-19.8466,0.267778,,,All
,,-19.814,0.268889,,,All
,,-19.7663,0.27,,,All
,,-19.7182,0.271111,,,All
,,-19.7083,0.272222,,,All
,,-19.6962,0.273333,,,All
,,-19.4774,0.274444,,,All
,,-19.4624,0.275556,,,All
,,-19.105,0.276667,,,All
,,-18.7858,0.277778,,,All
,,-17.0629,0.278889,,,All
,,-16.5791,0.28,,,All
,,-16.5466,0.281111,,,All
,,-16.3663,0.282222,,,All
,,-15.995,0.283333,,,All
,,-15.9082,0.284444,,,All
,,-15.7777,0.285556,,,All
,,-15.5287,0.286667,,,All
,,-15.4012,0.287778,,,All
,,-15.1315,0.288889,,,All
,,-12.9182,0.29,,,All
,,-12.822,0.291111,,,All
,,-12.3976,0.292222,,,All
,,-12.2952,0.293333,,,All
,,-12.2176,0.294444,,,All
,,-12.1762,0.295556,,,All
,,-12.1219,0.296667,,,All
,,-11.8816,0.297778,,,All
,,-11.8552,0.298889,,,All
,,-11.6759,0.3,,,All
,,-8.47959,0.301111,,,All
,,-8.15561,0.302222,,,All
,,-8.0401,0.303333,,,All
,,-7.99233,0.304444,,,All
,,-7.86977,0.305556,,,All
,,-7.84452,0.306667,,,All
,,-7.82572,0.307778,,,All
,,-7.77679,0.308889,,,All
,,-7.77261,0.31,,,All
,,-7.72576,0.311111,,,All
,,-7.63481,0.312222,,,All
,,-7.52593,0.313333,,,All
,,-7.45939,0.314444,,,All
,,-7.42026,0.315556,,,All
,,-7.20755,0.316667,,,All
,,-7.17198,0.317778,,,All
,,-7.16664,0.318889,,,All
,,-7.10914,0.32,,,All
,,-6.75649,0.321111,,,All
,,-6.5215,0.322222,,,All
,,-6.2786,0.323333,,,All
,,-6.22894,0.324444,,,All
,,-6.2274,0.325556,,,All
,,-6.21407,0.326667,,,All
,,-6.06368,0.327778,,,All
,,-6.05372,0.328889,,,All
,,-6.01014,0.33,,,All
,,-5.96624,0.331111,,,All
,,-5.84989,0.332222,,,All
,,-5.7649,0.333333,,,All
,,-5.75292,0.334444,,,All
,,-5.58189,0.335556,,,All
,,-5.50225,0.336667,,,All
,,-5.46762,0.337778,,,All
,,-5.28781,0.338889,,,All
,,-5.26861,0.34,,,All
,,-5.24344,0.341111,,,All
,,-5.12899,0.342222,,,All
,,-4.95231,0.343333,,,All
,,-4.79052,0.344444,,,All
,,-4.78784,0.345556,,,All
,,-4.11444,0.346667,,,All
,,-3.49152,0.347778,,,All
,,-3.46165,0.348889,,,All
,,-3.31394,0.35,,,All
,,-3.07137,0.351111,,,All
,,-2.9684,0.352222,,,All
,,-2.92697,0.353333,,,All
,,-2.92621,0.354444,,,All
,,-2.91333,0.355556,,,All
,,-2.80694,0.356667,,,All
,,-2.79148,0.357778,,,All
,,-2.69858,0.358889,,,All
,,-2.63161,0.36,,,All
