iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,c,omega_Cl,omega_Q,omega_V1,omega_V2
1,461.99,1,13.5104,23.8532,24.0587,13.6697,0.232476,0.69774,0.316935,0.258437,1.07038,0.25831,0.864854
2,458.537,1,13.5764,24.5868,23.7586,13.3558,0.40614,0.637586,0.316935,0.248444,1.00051,0.246541,0.778606
3,458.814,1,13.4068,25.1144,23.16,15.0534,0.343026,0.665259,0.316935,0.254694,0.931506,0.242475,0.800001
4,455.086,1,13.4304,25.113,22.8118,15.0774,0.507168,0.579449,0.316935,0.254835,1.06124,0.232372,0.75392
5,460.493,1,13.4511,29.7068,22.582,14.5181,0.463427,0.609015,0.316935,0.25862,1.03074,0.227484,0.864146
6,463.552,1,13.5051,29.9221,22.7428,15.2582,0.101188,0.764927,0.316935,0.258002,1.14913,0.211994,0.894813
7,462.719,1,13.5945,28.7646,23.6285,14.6701,0.193686,0.713283,0.316935,0.257859,1.18757,0.221763,0.889139
8,466.365,1,13.5348,37.5451,22.5686,13.5865,0.105463,0.772377,0.316935,0.259013,1.22726,0.215374,0.850889
9,467.674,1,13.4884,42.777,22.4114,13.8807,0.239103,0.736211,0.316935,0.254561,1.14015,0.211557,0.855407
10,466.619,1,13.4124,39.6465,22.781,12.6897,0.270518,0.710032,0.316935,0.260918,1.0516,0.221281,0.908381
11,470.706,1,13.4655,38.1247,22.3055,12.3284,0.345338,0.696843,0.316935,0.258756,1.08698,0.228963,0.876364
12,475.827,1,13.5828,39.1851,22.4191,12.4065,0.526019,0.62842,0.316935,0.260575,1.12103,0.259359,0.856249
13,472.555,1,13.6354,38.3563,22.0901,12.9858,0.552167,0.620653,0.316935,0.26656,1.00564,0.256118,0.834989
14,479.274,1,13.3881,37.645,22.3786,12.4572,0.610944,0.632382,0.316935,0.250719,1.08,0.244182,0.817952
15,479.995,1,13.552,36.3592,22.6231,12.8091,0.481438,0.692219,0.316935,0.267012,1.04816,0.231461,0.839495
16,472.926,1,13.4347,37.6889,22.1606,13.0682,0.311912,0.755596,0.316935,0.247712,0.933913,0.239056,0.793442
17,465.903,1,13.4723,42.6283,21.572,14.554,0.450432,0.658275,0.316935,0.249669,1.02895,0.224471,0.798996
18,463.264,1,13.3817,47.5851,21.3119,14.5034,2.22045e-16,0.835858,0.316935,0.251868,1.06461,0.21523,0.779954
19,470.288,1,13.4641,44.7857,21.6919,13.93,0.0991356,0.833101,0.316935,0.255117,1.02222,0.209954,0.811295
20,466.337,1,13.4838,46.8457,21.9359,13.2734,2.22045e-16,0.86743,0.316935,0.250043,0.951296,0.208363,0.826532
21,463.122,1,13.6386,42.6791,21.6261,13.8635,0.000274323,0.867994,0.318596,0.25404,0.907176,0.193726,0.821194
22,459.823,1,13.4267,41.1115,22.2025,13.4168,2.22045e-16,0.814581,0.318596,0.244357,1.09972,0.199939,0.855157
23,460.17,1,13.4286,41.2121,21.9435,13.4783,2.22045e-16,0.820641,0.318596,0.252357,1.09265,0.186734,0.86166
24,457.551,1,13.3537,35.0388,22.2029,14.8037,0.189111,0.737132,0.318596,0.240305,1.03789,0.178819,0.901671
25,455.599,1,13.462,32.7986,22.0536,13.5852,0.135011,0.7779,0.318596,0.251985,0.908876,0.176951,0.84504
26,448.326,1,13.5382,32.5703,22.2377,13.2688,0.193751,0.729326,0.318596,0.248404,0.896591,0.179815,0.820288
27,454.167,1,13.3519,33.4494,22.7374,13.9121,0.259315,0.689692,0.318596,0.253239,0.981817,0.203655,0.832937
28,460.38,1,13.3874,33.41,22.7767,13.7266,0.231191,0.708547,0.318596,0.254821,1.07467,0.218586,0.818356
29,464.397,1,13.493,32.8916,22.608,14.5845,0.106776,0.769917,0.318596,0.251168,1.20156,0.211546,0.834373
30,463.557,1,13.3695,30.7853,22.921,14.1478,0.246119,0.706288,0.318596,0.248063,1.21671,0.201993,0.857358
31,460.663,1,13.4268,28.7648,22.681,14.2368,0.318811,0.665439,0.318596,0.255552,1.23253,0.204043,0.815473
32,456.038,1,13.5903,29.1444,23.3209,14.8714,0.341304,0.636968,0.318596,0.256924,1.19854,0.209183,0.818979
33,461.75,1,13.628,29.6857,23.3147,14.4801,0.628425,0.520198,0.318596,0.273509,1.26784,0.214188,0.853381
34,462.23,1,13.6856,31.7861,23.4627,13.3321,0.559491,0.556194,0.318596,0.264286,1.33053,0.214646,0.814646
35,468.493,1,13.578,26.762,22.7575,15.4644,0.495853,0.591402,0.318596,0.269017,1.39274,0.232131,0.798112
36,474.138,1,13.4833,28.8596,23.0987,13.9284,0.0764829,0.79772,0.318596,0.257989,1.37399,0.246424,0.743832
37,469.79,1,13.416,28.212,23.3938,15.4512,0.20756,0.727705,0.318596,0.248239,1.23391,0.252523,0.798701
38,470.699,1,13.4626,29.0349,22.7146,15.1197,0.153412,0.752248,0.318596,0.252307,1.27037,0.260994,0.767665
39,472.615,1,13.3306,30.7214,23.1349,15.45,0.201814,0.730207,0.318596,0.249256,1.24585,0.258418,0.844529
40,467.039,1,13.4205,28.2902,22.8575,13.9806,0.12316,0.743732,0.318596,0.259638,1.1264,0.2767,0.832848
41,462.921,1,13.5238,28.8461,22.8305,14.9431,2.22045e-16,0.905636,0.278356,0.25532,0.987085,0.258221,0.832561
42,467.891,1,13.6143,30.121,22.5529,13.9554,0.320671,0.784662,0.278356,0.266458,1.00506,0.245027,0.824566
43,461.199,1,13.4438,30.0998,22.4955,14.318,0.199964,0.824573,0.278356,0.26355,0.912532,0.246691,0.785444
44,457.522,1,13.4199,25.6968,23.5727,13.2771,2.22045e-16,0.916674,0.278356,0.255617,0.939029,0.242465,0.704714
45,455.34,1,13.3412,26.3277,23.3586,14.5726,2.22045e-16,0.901546,0.278356,0.24686,0.924898,0.251406,0.718262
46,459.246,1,13.56,25.1052,23.6379,13.9231,0.00938873,0.873087,0.278356,0.259699,0.989822,0.304581,0.744356
47,456.615,1,13.5686,23.0198,23.4305,14.6115,0.0772131,0.808914,0.278356,0.264907,1.0167,0.313008,0.791168
48,460.745,1,13.6112,22.648,24.0784,13.4183,0.297355,0.727789,0.278356,0.264471,1.03505,0.317214,0.763435
49,457.836,1,13.4593,21.0946,24.4523,13.0907,0.236697,0.750307,0.278356,0.253056,0.96419,0.325968,0.762342
50,454.458,1,13.5016,21.3462,24.3921,13.0935,0.103461,0.813837,0.278356,0.260709,0.904866,0.296508,0.766304
51,454.527,1,13.3421,22.4797,24.5985,14.0379,0.394267,0.678096,0.278356,0.24232,0.877985,0.297992,0.836005
52,460.213,1,13.3726,24.5582,24.9534,13.1729,2.22045e-16,0.864516,0.278356,0.248509,0.926884,0.294171,0.929348
53,453.109,1,13.3362,21.2959,24.8252,13.124,0.106403,0.773668,0.278356,0.247267,0.949284,0.318074,0.888214
54,452.58,1,13.4001,21.9846,24.4025,13.8762,0.113627,0.755949,0.278356,0.24932,1.00887,0.312711,0.932433
55,451.062,1,13.4868,21.5833,24.4086,15.1688,0.330194,0.660064,0.278356,0.259348,1.04572,0.267429,0.935505
56,453.676,1,13.4331,23.0582,24.0531,14.647,0.150865,0.761313,0.278356,0.252641,0.995806,0.280491,0.92197
57,453.398,1,13.4003,22.5888,23.7466,14.1092,0.103767,0.79193,0.278356,0.259078,0.976278,0.265532,0.891586
58,460.687,1,13.5679,24.6647,24.1933,13.4827,0.294938,0.755279,0.278356,0.26361,0.920316,0.26045,0.862259
59,458.119,1,13.4734,25.4797,24.4497,11.9877,0.0349488,0.871378,0.278356,0.25555,0.886555,0.255944,0.883124
60,459.175,1,13.6785,23.9515,24.1478,11.8584,0.24096,0.800065,0.278356,0.264278,0.780811,0.257058,0.881607
61,451.25,1,13.6219,27.873,23.9987,11.9496,2.22045e-16,1.21891,0.165081,0.2606,0.726589,0.260522,0.901258
62,459.649,1,13.6137,29.2741,23.8101,11.5687,2.22045e-16,1.25687,0.165081,0.263075,0.742658,0.269923,0.927709
63,459.352,1,13.4996,27.7052,24.0024,11.5852,2.22045e-16,1.25668,0.165081,0.255055,0.782024,0.263852,0.910058
64,459.978,1,13.4962,27.4157,23.9786,11.7034,0.00293704,1.26064,0.165081,0.255518,0.744308,0.266893,0.934898
65,464.029,1,13.6063,27.905,23.8793,10.9428,2.22045e-16,1.31423,0.165081,0.255454,0.745698,0.270313,0.851339
66,456.268,1,13.565,24.8436,24.5433,11.0296,2.22045e-16,1.27313,0.165081,0.259362,0.722025,0.283425,0.761922
67,452.585,1,13.5853,26.3193,24.423,11.271,2.22045e-16,1.24091,0.165081,0.271578,0.787285,0.266996,0.732312
68,447.146,1,13.543,26.7753,24.0776,12.5655,0.0466387,1.18144,0.165081,0.27136,0.696095,0.280506,0.753599
69,448.377,1,13.534,25.618,24.5617,11.7417,2.22045e-16,1.185,0.165081,0.276775,0.706974,0.286723,0.841626
70,448.821,1,13.5282,25.5479,24.132,12.9279,2.22045e-16,1.15404,0.165081,0.265751,0.812813,0.306047,0.850064
71,451.877,1,13.5295,22.9679,23.9119,12.2882,2.22045e-16,1.21113,0.165081,0.261867,0.733876,0.310814,0.785338
72,453.055,1,13.5414,22.2113,24.3625,12.687,2.22045e-16,1.20026,0.165081,0.27552,0.785304,0.312262,0.75777
73,450.59,1,13.4978,24.1974,24.4337,13.0615,0.269824,1.02327,0.165081,0.264075,0.757818,0.317257,0.76243
74,455.431,1,13.567,23.6625,24.5117,11.6206,1.6914e-06,1.24406,0.165081,0.264764,0.710097,0.333656,0.731482
75,450.067,1,13.5162,24.665,24.3125,12.1155,2.22045e-16,1.21926,0.165081,0.256764,0.661761,0.335744,0.73927
76,453.59,1,13.4683,23.1936,24.7619,11.1748,0.181259,1.15038,0.165081,0.259639,0.581914,0.340117,0.734182
77,458.731,1,13.527,24.725,24.6459,10.8757,0.066921,1.24844,0.165081,0.269381,0.554863,0.336828,0.797203
78,452.273,1,13.5939,25.7205,24.5165,10.9003,0.0708908,1.20606,0.165081,0.259018,0.576418,0.324358,0.812524
79,448.655,1,13.397,25.177,24.599,11.4285,0.459186,0.937163,0.165081,0.245813,0.618911,0.309488,0.817597
80,446.119,1,13.4993,24.4048,23.9679,12.2047,0.0997745,1.13004,0.165081,0.250433,0.675447,0.303629,0.81687
81,443.113,1,13.6691,23.2741,24.8341,12.6666,0.000571293,1.14305,0.173087,0.262856,0.671583,0.297433,0.821841
82,449.355,1,13.7115,21.83,24.8948,12.4721,2.22045e-16,1.17227,0.173087,0.267746,0.652821,0.307666,0.861378
83,452.618,1,13.5051,22.6216,25.054,11.7963,2.22045e-16,1.18737,0.173087,0.262481,0.671731,0.300558,0.879306
84,458.983,1,13.4451,21.1416,24.717,11.9549,2.22045e-16,1.23355,0.173087,0.255523,0.761895,0.288301,0.806813
85,459.928,1,13.5645,21.3362,25.202,10.9019,2.22045e-16,1.19587,0.173087,0.262437,0.888623,0.310281,0.795187
86,441.855,1,13.5027,19.3845,25.4251,11.2146,2.22045e-16,1.12891,0.173087,0.258035,0.729149,0.299595,0.780703
87,441.748,1,13.519,20.2136,25.3391,11.5965,2.22045e-16,1.14048,0.173087,0.253903,0.692385,0.283195,0.828488
88,437.246,1,13.5807,19.7306,25.4764,11.5149,0.226779,0.972655,0.173087,0.255136,0.693821,0.298218,0.781148
89,442.36,1,13.5067,21.2438,25.3679,11.9663,0.00629014,1.15426,0.173087,0.255432,0.663019,0.287784,0.780076
90,438.441,1,13.3115,21.183,25.2377,11.3413,2.22045e-16,1.1535,0.173087,0.253761,0.57839,0.287046,0.796907
91,441.425,1,13.4404,20.9429,25.5031,12.1992,2.22045e-16,1.17131,0.173087,0.250788,0.61138,0.28501,0.780019
92,440.443,1,13.5736,20.1576,25.7471,11.6617,2.22045e-16,1.13238,0.173087,0.266511,0.654853,0.302546,0.783531
93,444.44,1,13.475,20.4939,25.9683,11.8828,2.22045e-16,1.17536,0.173087,0.261181,0.658166,0.296076,0.728679
94,444.946,1,13.5087,20.3312,25.4771,11.755,2.22045e-16,1.18947,0.173087,0.255419,0.656738,0.282605,0.749275
95,449.501,1,13.6776,20.0818,25.1398,12.4485,2.22045e-16,1.18678,0.173087,0.260025,0.68263,0.306457,0.78452
96,452.508,1,13.4904,21.6144,25.3024,12.2,2.22045e-16,1.17707,0.173087,0.257189,0.685617,0.302161,0.916975
97,455.794,1,13.6116,19.7707,25.1614,11.5558,2.22045e-16,1.21457,0.173087,0.263355,0.735004,0.277844,0.847804
98,452.245,1,13.5651,21.1825,25.3708,11.2492,2.22045e-16,1.19965,0.173087,0.253376,0.656393,0.299591,0.873563
