Cl_pop,1,0.054108,0.020538,-0.015472,0.01697,-0.061447,0.033588,-0.0053081,-0.00054086,-0.013744
V1_pop,0.054108,1,0.011523,0.020538,0.096485,-0.81204,0.1153,0.081317,-0.1081,-0.13546
Q_pop,0.020538,0.011523,1,-0.024183,0.01327,-0.033474,0.31264,-0.0019375,0.0067742,0.0035523
V2_pop,-0.015472,0.020538,-0.024183,1,-0.00018,-0.0269,-0.0098,-0.016076,-0.021616,-0.025578
omega_Cl,0.01697,0.096485,0.01327,-0.00018,1,-0.097785,0.021746,0.020135,0.01,-0.057495
omega_V1,-0.061447,-0.81204,-0.033474,-0.0269,-0.097785,1,-0.13722,-0.078741,0.12942,0.13804
omega_Q,0.033588,0.1153,0.31264,-0.0098,0.021746,-0.13722,1,-0.045559,-0.057338,0.0099406
omega_V2,-0.0053081,0.081317,-0.0019375,-0.016076,0.020135,-0.078741,-0.045559,1,-0.077557,0.016044
a,-0.00054086,-0.1081,0.0067742,-0.021616,0.01,0.12942,-0.057338,-0.077557,1,-0.37609
b,-0.013744,-0.13546,0.0035523,-0.025578,-0.057495,0.13804,0.0099406,0.016044,-0.37609,1
