iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,beta_Cl_tSCRMGDL,omega_Cl,omega_Q,omega_V1,omega_V2
1,688.967,1,20.56,24.431,12.7157,1,0.3,-0.410671,1,1,1,1
2,676.926,1,19.6273,22.5371,14.1392,0.95,0.285,-0.451996,0.974679,0.974679,0.974679,0.974679
3,663.769,1,18.8263,21.9835,13.0832,0.9025,0.27075,-0.396072,0.95,0.95,0.95,0.95
4,648.901,1,18.4028,23.6799,12.4949,0.857375,0.257212,-0.362843,0.925945,0.925945,0.925945,0.925945
5,640.337,1,17.8213,24.372,12.5407,0.814506,0.244352,-0.372431,0.9025,0.9025,0.9025,0.9025
6,635.251,1,18.5792,24.2144,10.8259,0.773781,0.232134,-0.416458,0.879648,0.879648,0.879648,0.879648
7,635.344,1,16.6841,24.5841,11.587,0.735092,0.220528,-0.285836,0.857375,0.857375,0.857375,0.857375
8,620.511,1,18.3235,24.4514,12.2415,0.698337,0.209501,-0.399393,0.835666,0.835666,0.835666,0.835666
9,614.927,1,18.5829,24.264,11.2511,0.66342,0.199026,-0.406415,0.814506,0.814506,0.814506,0.839101
10,608.816,1,17.6142,22.9157,9.61648,0.630249,0.189075,-0.382811,0.793882,0.793882,0.793882,0.817854
11,618.363,1,16.7573,24.1231,10.4459,0.598737,0.179621,-0.32849,0.773781,0.933716,0.773781,0.797146
12,605.132,1,16.8383,23.9759,10.7758,0.5688,0.17064,-0.321502,0.754188,0.912925,0.754188,0.887774
13,600.235,1,17.3824,23.4954,11.3464,0.54036,0.162108,-0.34944,0.735092,1.00068,0.735092,0.865295
14,581.945,1,17.5954,24.6259,12.1716,0.513342,0.154003,-0.35084,0.716479,1.01237,0.716479,0.853454
15,568.92,1,17.9648,24.3754,11.5515,0.487675,0.146302,-0.37725,0.698337,0.986738,0.698337,0.872799
16,567.526,1,17.5766,24.6707,11.6282,0.463291,0.138987,-0.355886,0.680655,0.968643,0.680655,0.8507
17,564.96,1,18.1649,24.1676,12.6889,0.440127,0.132038,-0.379002,0.66342,0.944117,0.66342,0.829159
18,551.343,1,17.8089,24.0536,12.129,0.830264,0.122553,-0.358582,0.646622,0.920211,0.646622,0.808165
19,550.622,1,17.7996,23.6956,13.2996,0.788751,0.116426,-0.357108,0.630249,0.943532,0.630249,0.860093
20,552.321,1,17.7856,24.2474,13.416,0.749313,0.110604,-0.357329,0.614291,0.940001,0.614291,0.838315
21,543.601,1,18.0723,24.8786,14.7179,0.711848,0.105074,-0.366436,0.598737,1.04371,0.598737,0.822466
22,542.853,1,18.5323,24.9738,14.4206,0.676255,0.0998205,-0.402519,0.583577,1.03471,0.583577,0.838604
23,530.684,1,18.1895,24.8037,15.3757,1.21329,0.0867857,-0.383786,0.5688,1.06013,0.5688,0.81737
24,524.087,1,18.446,24.9562,14.2565,1.40293,0.0783868,-0.388676,0.554398,1.03329,0.554398,0.796674
25,519.965,1,18.999,24.3123,15.1958,1.33278,0.0744675,-0.420247,0.54036,1.00712,0.54036,0.84934
26,523.122,1,18.9196,23.747,13.8653,1.47969,0.068765,-0.425687,0.526678,0.994039,0.526678,0.939558
27,521.172,1,17.9601,24.2743,14.0561,1.68806,0.0577695,-0.380165,0.513342,0.975673,0.513342,0.983178
28,514.238,1,17.7185,24.8145,13.0506,1.73823,0.0520847,-0.363662,0.500344,0.950968,0.500344,0.983213
29,513.474,1,18.3632,24.5395,12.2165,1.66806,0.0557523,-0.383552,0.487675,1.00944,0.487675,0.958318
30,510.468,1,19.263,24.8319,12.5655,1.668,0.0548983,-0.429882,0.475327,1.00839,0.475327,0.934052
31,509.717,1,18.7513,24.3129,13.4707,1.5639,0.0601834,-0.414636,0.463291,1.01795,0.463291,0.910402
32,501.493,1,18.297,23.1612,14.1365,1.50248,0.0587069,-0.390241,0.45156,1.08914,0.45156,0.88735
33,505.755,1,18.8381,23.0943,13.4199,1.54628,0.0590874,-0.416162,0.440127,1.1077,0.440127,0.864882
34,508.487,1,18.3013,24.3135,14.2639,1.64481,0.0553357,-0.39919,0.428982,1.11597,0.428982,0.88276
35,521.631,1,18.3415,24.1104,13.4601,1.7629,0.0547851,-0.393075,0.41812,1.27132,0.41812,1.00104
36,506.308,1,18.8964,23.9753,11.7413,1.7088,0.0538774,-0.414878,0.407533,1.23913,0.407533,0.975698
37,504.034,1,18.7592,23.6747,11.5954,1.67487,0.0562672,-0.401524,0.397214,1.20776,0.397214,0.950992
38,495.652,1,18.6646,23.7934,12.5996,1.59112,0.0534539,-0.409372,0.387157,1.17718,0.387157,0.926913
