Cl_pop,1,0.20388,-0.95552,0.014681,-0.025169,0.017689,0.0076256,-0.018526,-0.002705,0.012372,-0.012075
beta_Cl_logtWTKG,0.20388,1,-0.19297,0.015663,-0.015315,0.0076632,-0.017671,0.0010234,0.023536,-0.018475,0.023316
beta_Cl_tSCRMGDL,-0.95552,-0.19297,1,-0.0059177,0.010902,-0.017087,-0.011805,0.013767,0.0096544,-0.0096482,0.018413
V1_pop,0.014681,0.015663,-0.0059177,1,-0.26841,-0.011068,0.1036,-0.2509,0.19604,0.0019267,0.08624
V2_pop,-0.025169,-0.015315,0.010902,-0.26841,1,-0.0062243,-0.075479,0.34567,-0.26396,-0.11216,-0.063442
omega_Cl,0.017689,0.0076632,-0.017087,-0.011068,-0.0062243,1,-0.010502,0.010278,-0.016652,-0.0033053,-0.031986
omega_V1,0.0076256,-0.017671,-0.011805,0.1036,-0.075479,-0.010502,1,-0.32607,-0.19161,0.11326,-0.1746
omega_Q,-0.018526,0.0010234,0.013767,-0.2509,0.34567,0.010278,-0.32607,1,-0.045988,-0.16586,0.036449
omega_V2,-0.002705,0.023536,0.0096544,0.19604,-0.26396,-0.016652,-0.19161,-0.045988,1,-0.090452,0.21628
a,0.012372,-0.018475,-0.0096482,0.0019267,-0.11216,-0.0033053,0.11326,-0.16586,-0.090452,1,-0.56238
b,-0.012075,0.023316,0.018413,0.08624,-0.063442,-0.031986,-0.1746,0.036449,0.21628,-0.56238,1
