Iteracion,Par,Parametro,Covariable,Criterio,Par1,LRT,BICc
1,Cl_ANTU,Cl,ANTU,0,22,NA,NA
1,Cl_LLP,Cl,LLP,0,42,NA,NA
1,Cl_LMP,Cl,LMP,0,58,NA,NA
1,Cl_SEXF,Cl,SEXF,0,59,NA,NA
1,Cl_logtAGEA,Cl,logtAGEA,0,23,NA,NA
1,Cl_logtALBGDL,Cl,logtALBGDL,0,52,NA,NA
1,Cl_logtCLCRMLMIN,Cl,logtCLCRMLMIN,0,13,NA,NA
1,Cl_logtHCM,Cl,logtHCM,0,40,NA,NA
1,Cl_logtIMCKGM2,Cl,logtIMCKGM2,0,24,NA,NA
1,Cl_logtPROGDL,Cl,logtPROGDL,0,10,NA,NA
1,Cl_logtRAL,Cl,logtRAL,0,49,NA,NA
1,Cl_logtRAN,Cl,logtRAN,0,17,NA,NA
1,Cl_logtSCM2,Cl,logtSCM2,0,32,NA,NA
1,Cl_logtWTKG,Cl,logtWTKG,0,8,NA,NA
1,Cl_tSCRMGDL,Cl,tSCRMGDL,1,9,NA,NA
1,V1_ANTU,V1,ANTU,0,50,NA,NA
1,V1_LLP,V1,LLP,0,45,NA,NA
1,V1_LMP,V1,LMP,0,12,NA,NA
1,V1_SEXF,V1,SEXF,0,20,NA,NA
1,V1_logtAGEA,V1,logtAGEA,0,16,NA,NA
1,V1_logtALBGDL,V1,logtALBGDL,0,57,NA,NA
1,V1_logtCLCRMLMIN,V1,logtCLCRMLMIN,0,30,NA,NA
1,V1_logtHCM,V1,logtHCM,0,33,NA,NA
1,V1_logtIMCKGM2,V1,logtIMCKGM2,0,15,NA,NA
1,V1_logtPROGDL,V1,logtPROGDL,0,19,NA,NA
1,V1_logtRAL,V1,logtRAL,0,36,NA,NA
1,V1_logtRAN,V1,logtRAN,0,34,NA,NA
1,V1_logtSCM2,V1,logtSCM2,0,35,NA,NA
1,V1_logtWTKG,V1,logtWTKG,0,54,NA,NA
1,V1_tSCRMGDL,V1,tSCRMGDL,0,5,NA,NA
1,Q_ANTU,Q,ANTU,0,51,NA,NA
1,Q_LLP,Q,LLP,0,48,NA,NA
1,Q_LMP,Q,LMP,0,14,NA,NA
1,Q_SEXF,Q,SEXF,0,38,NA,NA
1,Q_logtAGEA,Q,logtAGEA,0,4,NA,NA
1,Q_logtALBGDL,Q,logtALBGDL,0,56,NA,NA
1,Q_logtCLCRMLMIN,Q,logtCLCRMLMIN,0,26,NA,NA
1,Q_logtHCM,Q,logtHCM,0,43,NA,NA
1,Q_logtIMCKGM2,Q,logtIMCKGM2,0,7,NA,NA
1,Q_logtPROGDL,Q,logtPROGDL,0,25,NA,NA
