pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.38674,0.133764,-2.54485,0.0359104,-1.60523,0.0892854,All
-0.919502,0.615315,-2.34866,0.0299254,-1.18523,0.297618,All
-0.452261,0.454798,-2.15246,0.0538657,-0.765231,0.565474,All
0.0149792,0.374539,-1.95627,0.0299254,-0.345229,0.416665,All
0.48222,0.267528,-1.76007,0.0718209,0.0747722,0.32738,All
0.94946,0.160517,-1.56388,0.143642,0.494774,0.32738,All
1.4167,0.160517,-1.36768,0.119701,0.914775,0.148809,All
1.88394,0.0535056,-1.17149,0.179552,1.33478,0.238094,All
2.35118,0.0802584,-0.975294,0.251373,1.75478,0.0595236,All
2.81842,0.0535056,-0.779099,0.287284,2.17478,0.148809,All
,,-0.582903,0.359104,,,All
,,-0.386708,0.371075,,,All
,,-0.190513,0.406985,,,All
,,0.00568184,0.42494,,,All
,,0.201877,0.359104,,,All
,,0.398072,0.37706,,,All
,,0.594267,0.395015,,,All
,,0.790462,0.293269,,,All
,,0.986657,0.263343,,,All
,,1.18285,0.233418,,,All
,,1.37905,0.161597,,,All
,,1.57524,0.0957612,,,All
,,1.77144,0.083791,,,All
,,1.96763,0.0957612,,,All
,,2.16383,0.0658358,,,All
,,2.36002,0.0239403,,,All
,,2.55622,0.0359104,,,All
,,2.75241,0,,,All
,,2.94861,0.0119701,,,All
,,3.1448,0.00598507,,,All
