iteration,E_V,sd_V,E_Cl,sd_Cl
1,32.6904,0.0943941,15.0572,0.107811
2,32.715,0.0855565,15.1087,0.0970836
3,32.8061,0.081204,15.2009,0.0984278
4,32.7466,0.0798226,15.1975,0.0982156
5,32.7968,0.0780986,15.2157,0.0954614
6,32.7991,0.079286,15.2102,0.0940199
7,32.7398,0.0803087,15.1839,0.0939162
8,32.7583,0.0814531,15.1787,0.0937761
9,32.7262,0.0817406,15.1945,0.0937346
10,32.7572,0.08113,15.1757,0.0931755
11,32.7228,0.0800767,15.1551,0.0923808
12,32.7285,0.0791811,15.1473,0.0917108
13,32.7231,0.0787106,15.1449,0.0912197
14,32.7362,0.078743,15.1535,0.0903534
15,32.7545,0.0787496,15.1542,0.0902996
16,32.8185,0.0799089,15.133,0.0904519
17,32.8295,0.0800354,15.115,0.0896969
18,32.8485,0.0796518,15.1062,0.0894281
19,32.8821,0.0799871,15.0993,0.0891506
20,32.8819,0.0806285,15.0939,0.0893699
21,32.864,0.0815288,15.101,0.0894126
22,32.8284,0.0812643,15.1168,0.0895734
23,32.8178,0.0813079,15.131,0.089575
24,32.8046,0.0807078,15.1453,0.0890368
25,32.81,0.0805202,15.1515,0.0886628
26,32.8149,0.080725,15.153,0.0881337
27,32.7886,0.0805798,15.1473,0.0880582
28,32.7622,0.0805343,15.1467,0.0879373
29,32.7778,0.0802743,15.1393,0.0874073
30,32.7832,0.079889,15.1373,0.0874555
31,32.7944,0.0797118,15.137,0.0874188
32,32.8077,0.0799012,15.1308,0.0873287
33,32.8187,0.0801447,15.1335,0.0871176
34,32.8434,0.0802768,15.125,0.0868611
35,32.8466,0.0802363,15.1254,0.0867843
36,32.8579,0.0799492,15.12,0.0866189
37,32.8487,0.0796893,15.115,0.0865929
38,32.8562,0.0795881,15.109,0.0864297
39,32.8565,0.0795304,15.1111,0.0861761
40,32.8472,0.0795405,15.1138,0.0860389
41,32.852,0.0795845,15.119,0.0858917
42,32.8632,0.0793777,15.1149,0.0855933
43,32.8503,0.0791786,15.1151,0.0855026
44,32.8364,0.0789321,15.1178,0.08531
45,32.8338,0.0786334,15.116,0.0849552
46,32.8353,0.0783793,15.1138,0.0849749
47,32.8398,0.0783838,15.1161,0.0851019
48,32.8364,0.0785655,15.12,0.0849486
49,32.8341,0.0784472,15.1232,0.0851871
50,32.8439,0.0784668,15.1265,0.0853646
51,32.8469,0.0785295,15.126,0.0853124
52,32.8457,0.0784541,15.1183,0.0855951
53,32.8489,0.0783064,15.1151,0.0858051
54,32.8421,0.078242,15.1183,0.0861495
55,32.8461,0.0782043,15.1166,0.0859049
56,32.8512,0.0781732,15.1128,0.0857396
57,32.8576,0.0782582,15.113,0.0858177
58,32.8732,0.0783856,15.1119,0.0857871
59,32.8752,0.0783307,15.1099,0.0858498
60,32.8749,0.0783733,15.1064,0.0859054
61,32.8741,0.0784332,15.1074,0.0856435
62,32.8785,0.0783629,15.106,0.0855206
63,32.8797,0.0783382,15.1069,0.0853635
64,32.8818,0.0782298,15.1097,0.0852714
65,32.8791,0.0782573,15.1106,0.0853985
66,32.8786,0.0781632,15.1077,0.0855384
67,32.8729,0.0782029,15.1076,0.0855848
68,32.867,0.0783933,15.1098,0.0855842
69,32.8687,0.0784756,15.1112,0.0855371
70,32.8671,0.0786843,15.1114,0.0857121
71,32.8668,0.0787895,15.1114,0.085675
72,32.8652,0.0788266,15.1143,0.0855485
73,32.8655,0.0787968,15.1165,0.0854759
74,32.8631,0.0788676,15.1186,0.0855554
75,32.8663,0.0790466,15.1171,0.0855391
76,32.8674,0.0790958,15.1153,0.0854784
77,32.858,0.0792397,15.1152,0.0853746
78,32.8565,0.0794256,15.1188,0.0854912
