parameter,value,se_sa,rse_sa
Cl_pop,13.5188201363238,0.921882832611177,6.81925510743472
V1_pop,24.4758628189822,3.28184820698741,13.4085087470019
Q_pop,24.0223460814133,12.9158234066713,53.7658701731244
V2_pop,12.5133289956909,4.00377856642718,31.9961104499525
omega_Cl,0.25952344278872,0.0493446691746184,19.013569118991
omega_V1,0.279966409889433,0.0767731866679515,27.4222849442087
omega_Q,0.934344810179152,0.301513505924411,32.2700466294235
omega_V2,0.904229174361883,0.267409162943066,29.5731624819314
a,1.56403361654526,0.296429327217976,18.9528744192051
b,0.0433633817723819,0.0183097914760003,42.2240856861901
