iteration,convergenceIndicator,phase,Cl_pop,Q2_pop,Q3_pop,V1_pop,V2_pop,V3_pop,a,omega_Cl,omega_Q2,omega_Q3,omega_V1,omega_V2,omega_V3
1,-1875.71,1,13.6904,5.41825e-08,2.7143,28.9831,207.178,36.3114,0.176466,0.22692,3.23429e-08,2.3298,3.04911e-08,4.81849e-08,3.01914e-08
2,-1882.68,1,13.7875,5.41825e-08,2.89473,28.9831,207.178,36.3114,0.175905,0.211395,3.39952e-08,2.27006,3.05878e-08,5.1391e-08,2.95059e-08
3,-1886.51,1,13.8127,5.41825e-08,2.58297,28.9831,207.178,36.3114,0.176187,0.215842,2.74604e-08,2.44663,3.26132e-08,5.31782e-08,2.62302e-08
4,-1884.36,1,13.9746,5.41825e-08,2.89027,28.9831,207.178,36.3114,0.173117,0.217762,2.68949e-08,2.45925,3.67227e-08,5.06075e-08,2.94177e-08
5,-1883.95,1,13.7327,5.41825e-08,3.26567,28.9831,207.178,36.3114,0.172641,0.232922,3.0547e-08,2.37115,3.79841e-08,5.50333e-08,2.30142e-08
6,-1892.01,1,13.695,5.41825e-08,2.81182,28.9831,207.178,36.3114,0.17483,0.215108,3.01385e-08,2.3709,4.06199e-08,5.4077e-08,1.70369e-08
7,-1891.68,1,13.7203,5.41825e-08,2.48425,28.9831,207.178,36.3114,0.177672,0.229281,3.50386e-08,2.36849,3.47478e-08,4.99333e-08,1.59912e-08
8,-1883.61,1,13.5544,5.41825e-08,1.97228,28.9831,207.178,36.3114,0.181197,0.230078,3.94268e-08,2.57433,3.15337e-08,4.95298e-08,1.68346e-08
9,-1881.55,1,13.5696,5.41825e-08,1.7765,28.9831,207.178,36.3114,0.176707,0.229755,4.428e-08,2.68942,2.87868e-08,5.48546e-08,1.76936e-08
10,-1880.42,1,13.6207,5.41825e-08,2.27242,28.9831,207.178,36.3114,0.171844,0.222623,4.97328e-08,2.53937,2.81654e-08,5.82753e-08,2.03374e-08
11,-1880.23,1,13.6777,5.41825e-08,2.17055,28.9831,207.178,36.3114,0.179025,0.21397,4.61473e-08,2.24476,2.62019e-08,6.38986e-08,1.99096e-08
12,-1880.85,1,13.6137,5.41825e-08,2.48792,28.9831,207.178,36.3114,0.17763,0.208409,4.80494e-08,2.48537,2.23017e-08,6.47294e-08,2.11103e-08
13,-1884.94,1,13.5888,5.41825e-08,2.65304,28.9831,207.178,36.3114,0.180883,0.223829,4.05254e-08,2.22727,2.10687e-08,6.05195e-08,2.30408e-08
14,-1884.31,1,13.7142,5.41825e-08,2.47657,28.9831,207.178,36.3114,0.180692,0.220903,4.08036e-08,2.06921,2.10035e-08,6.2802e-08,2.47914e-08
15,-1886.9,1,13.8981,5.41825e-08,2.92626,28.9831,207.178,36.3114,0.178418,0.228484,3.8277e-08,2.05271,1.9983e-08,6.78461e-08,2.48073e-08
16,-1902.1,1,13.8089,5.41825e-08,2.96617,28.9831,207.178,36.3114,0.17415,0.22838,3.43737e-08,2.10158,1.516e-08,6.58023e-08,2.55578e-08
17,-1902.03,1,13.8949,5.41825e-08,3.23988,28.9831,207.178,36.3114,0.179026,0.219047,3.99597e-08,1.85095,1.49012e-08,6.60789e-08,2.45153e-08
18,-1835.31,1,13.631,5.41825e-08,2.8768,28.9831,207.178,36.3114,0.172195,0.226295,4.4616e-08,1.88115,1.44531e-07,6.18377e-08,2.45735e-08
19,-1835.22,1,13.7109,5.41825e-08,3.36678,28.9831,207.178,36.3114,0.171293,0.226772,4.51433e-08,1.83957,1.43507e-07,6.62369e-08,2.412e-08
20,-1830.31,1,13.8209,5.41825e-08,2.96462,28.9831,207.178,36.3114,0.177424,0.223399,4.14542e-08,1.98081,1.5511e-07,6.34703e-08,2.27966e-08
21,-1827.25,1,13.7699,5.41825e-08,2.61545,28.9831,207.178,36.3114,0.180466,0.233523,4.17097e-08,1.98547,1.53043e-07,6.60621e-08,2.1061e-08
22,-1816.48,1,13.7875,5.41825e-08,2.43737,28.9831,207.178,36.3114,0.183876,0.23283,4.25258e-08,2.16326,1.48918e-07,7.15414e-08,2.30891e-08
23,-1838.04,1,13.6811,5.41825e-08,2.53828,28.9831,207.178,36.3114,0.168863,0.234151,4.08665e-08,2.16753,1.31727e-07,7.17527e-08,2.18388e-08
24,-1825.12,1,13.6223,5.41825e-08,2.54736,28.9831,207.178,36.3114,0.172815,0.240013,4.31196e-08,2.30826,1.44641e-07,6.76292e-08,2.45276e-08
25,-1825.53,1,13.703,5.41825e-08,2.43883,28.9831,207.178,36.3114,0.176379,0.23682,3.89197e-08,2.24754,1.33504e-07,7.26547e-08,2.48979e-08
