iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a,b,c,omega_Cl,omega_Q,omega_V1,omega_V2
1,460.23,1,13.5,31.5,22.7,13.2,1.9,0.3,0.01,0.26,0.826,0.312,0.75
2,463.917,1,13.499,28.5937,23.0773,13.2158,3.55907e-06,2.02522,0.01,0.251043,0.882354,0.278995,0.829044
3,465.893,1,13.2909,29.596,22.8813,14.4774,2.22045e-16,2.06892,0.01,0.259756,0.792466,0.28292,0.745056
4,461.487,1,13.4659,30.702,23.0634,13.1336,2.22045e-16,2.02484,0.01,0.265175,0.787738,0.267607,0.764525
5,464.748,1,13.3827,31.5054,22.7813,12.9678,2.22045e-16,2.00003,0.01,0.265424,0.814064,0.293135,0.80984
6,457.147,1,13.4706,29.1597,22.854,13.4917,2.22045e-16,1.91882,0.01,0.262705,0.822704,0.286868,0.823835
7,460.455,1,13.5523,30.4032,23.0924,13.6191,0.00130363,1.92089,0.01,0.267361,0.869823,0.3047,0.794436
8,456.185,1,13.5728,32.0139,22.4263,13.4052,2.22045e-16,1.89397,0.01,0.263394,0.866918,0.312401,0.749453
9,456.074,1,13.5697,34.3494,21.9506,14.0157,2.22045e-16,1.92417,0.01,0.254626,0.868254,0.305931,0.716032
10,452.344,1,13.4654,34.4164,22.8012,13.8526,2.22045e-16,1.8463,0.01,0.264371,0.904437,0.309674,0.739678
11,453.88,1,13.5183,34.4903,22.5619,11.9453,2.22045e-16,1.84027,0.01,0.265123,0.924334,0.307161,0.781081
12,450.192,1,13.6425,37.8584,22.3944,12.4999,0.00578952,1.84682,0.01,0.264153,0.865535,0.306371,0.713628
13,451.847,1,13.7336,31.7337,22.3484,12.487,2.22045e-16,1.89945,0.01,0.268966,0.821222,0.3053,0.675609
14,447.035,1,13.4106,35.0951,22.916,12.5225,2.22045e-16,1.85199,0.01,0.257459,0.9007,0.306846,0.633176
15,451.787,1,13.541,33.3661,22.9998,12.7164,2.22045e-16,1.87416,0.01,0.273009,0.891678,0.315481,0.640397
16,455.412,1,13.5398,26.5263,23.3325,12.2572,2.22045e-16,1.90351,0.01,0.265563,0.863235,0.327668,0.673241
17,448.999,1,13.6234,29.2272,23.0994,13.3684,0.00562975,1.87219,0.01,0.267375,0.856951,0.316945,0.610169
18,449.819,1,13.4556,30.4505,22.7851,13.4855,2.22045e-16,1.86624,0.01,0.26144,0.896265,0.306137,0.657343
19,441.866,1,13.519,30.7656,22.9782,13.4284,2.22045e-16,1.82375,0.01,0.261313,0.812198,0.309441,0.633029
20,444.599,1,13.5176,31.4556,23.2486,13.2712,0.0129525,1.83767,0.01,0.257528,0.775938,0.30194,0.692392
21,443.082,1,13.5963,28.9634,23.1894,13.0707,1.32096,0.221436,0.334034,0.260712,0.741436,0.295694,0.649596
22,447.396,1,13.4797,31.8406,22.842,12.0131,1.03497,0.329375,0.334034,0.250726,0.837419,0.29092,0.702303
23,444.248,1,13.4275,32.0217,22.9636,12.9074,0.828408,0.396441,0.334034,0.262057,0.821915,0.281973,0.693001
24,448.513,1,13.3666,28.939,23.1044,12.631,0.713981,0.456755,0.334034,0.256159,0.806443,0.286494,0.712026
25,452.366,1,13.504,29.173,23.0001,12.8569,0.787764,0.441302,0.334034,0.265501,0.798889,0.288684,0.716296
26,448.353,1,13.5164,28.507,23.1322,12.9462,0.885778,0.386644,0.334034,0.256919,0.809739,0.306152,0.693111
27,447.345,1,13.4451,27.4655,23.493,12.817,0.551387,0.508093,0.334034,0.261485,0.804267,0.309485,0.693338
28,452.326,1,13.4612,28.5865,23.1061,13.0188,0.63852,0.477248,0.334034,0.264599,0.874601,0.324442,0.693295
29,446.215,1,13.5343,25.0078,22.9133,13.6002,0.495262,0.513185,0.334034,0.257592,0.905397,0.316909,0.685189
30,446.854,1,13.3905,26.3524,23.1076,13.9267,0.735791,0.445639,0.334034,0.253404,0.874869,0.280073,0.656309
31,451.954,1,13.3633,26.7025,22.9784,13.7824,0.473946,0.562325,0.334034,0.255776,0.870497,0.280226,0.684457
32,455.005,1,13.5956,28.0771,23.4901,14.0307,0.694497,0.459448,0.334034,0.259818,0.95096,0.306578,0.736855
33,459.958,1,13.5732,31.8775,23.6539,13.4352,0.895577,0.395053,0.334034,0.272787,0.920484,0.295415,0.794692
34,458.624,1,13.6005,30.4044,23.6521,12.9939,0.755875,0.442624,0.334034,0.258611,0.973634,0.310911,0.7613
35,453.005,1,13.5127,25.3567,22.9302,13.7469,0.748353,0.42241,0.334034,0.260955,0.993682,0.298922,0.757223
36,463.915,1,13.3761,26.1319,23.2864,12.9354,0.616549,0.509476,0.334034,0.257246,1.03798,0.293541,0.793652
37,466.382,1,13.4429,25.6974,24.0083,13.8491,0.482805,0.574918,0.334034,0.252985,0.977936,0.310596,0.795791
