rep,id,V,Vm,Km
1,1,inf,14558129364.5888,1.36646787376225e-24
2,1,inf,9.96387748894248e-54,8.80712832712589e-150
3,1,inf,193133965171.84,2.75170250764298e-136
4,1,inf,8.78174977217034e+129,4.37136868870452e+131
1,2,inf,4.77487709671406e-17,1.80163284409855e+79
2,2,inf,4.00307970656621e+23,2.27292049178949e+133
3,2,inf,1.17183849434802e-37,1.4583481837977e-24
4,2,inf,5.20730758382058e-63,1.13328429797594e-86
1,3,inf,22325823437.3869,4.06075092032675e-208
2,3,inf,3.91282318323892e+62,1.92503409862206e+53
3,3,inf,9.6501028993596e+37,4.76598325131487e-96
4,3,inf,8.24074015729971e+170,4.14646258958701e-31
1,4,inf,2.43379679346385e-7,57835418.3151581
2,4,inf,4.55250875586967e+77,7.09505087257016e-52
3,4,inf,272.138103874941,3034979748140.28
4,4,inf,2.52548087476789e-15,2.8910977541007e+164
1,5,inf,1.07966211952341e-68,1.55653215166955e-84
2,5,inf,3.8039132566081e-23,2.31639237309452e+140
3,5,inf,6.07750277566183e-45,1.50337604349555e+139
4,5,inf,1.76736399363745e+167,0.000199729879614618
1,6,inf,7.87686820677978e+32,4.8492240203209e+43
2,6,inf,2.95183638337188e-27,3.05633603722857e-61
3,6,inf,1.21595107457593e+75,3.8788414470682e-37
4,6,inf,1.5935238788611e-40,1.40067741127869e-41
1,7,inf,6.35248814725753e-180,1.38653403125093e+54
2,7,inf,6.0440980799207e+27,10959064218776.4
3,7,inf,1.16731668778085e+52,1.67796188130242e-52
4,7,inf,1.50860562586068e+50,1.11092989995118e+178
1,8,inf,7.11592331389704e+123,1.11533076186941e-77
2,8,inf,1.86777172180423e-131,6.59000654553946e+20
3,8,inf,5.38562064965136e+70,8.72673400755436e+57
4,8,inf,2.2917505697076e+102,5.38669272288599e+18
1,9,inf,2.43657571931107e+58,1.31544544281455e+137
2,9,inf,5.16479829559717e-36,1766719109.84729
3,9,inf,3.911580604215e+167,1.57001158347633e-53
4,9,inf,4.8593969366834e-146,1.37471215362317e-45
1,10,inf,2.54960245988252e+100,5.55236468796874e+178
2,10,inf,4.81939908918373e-45,5.72569135879398e-79
3,10,inf,1.50375711987625e-68,5.72231827027494e-101
4,10,inf,1.31986583432647e-26,1.19766121678136e-174
1,11,inf,9.09071609825398e-99,5.08726511711653e-129
2,11,inf,5.47665047005464e+25,7.67467055374707e+69
3,11,6.42230390885173e+100,5.38686152506951e+201,3.85191964486831e+52
4,11,inf,1.75997911792891e+220,3163531003653.29
1,12,inf,1.96706630942556e+57,3.64637016372709e+86
2,12,inf,2.77829988934373e+87,1.44480274354697e-95
3,12,inf,4.68372277987021e-56,2.45926972547979e+133
4,12,inf,1.3195436111115e+38,6.70456113480281e-34
1,13,inf,6.49317451476909e-32,8.17466121909495e+32
2,13,inf,0.0798304574378993,4.2978326528861e+75
3,13,inf,4.42709736473143e+95,5.33887058445266e+122
4,13,inf,2.1899136642803e-53,1.12020298448944e+185
1,14,inf,5.03079036055095e+17,6.04832099371508e+71
2,14,inf,4.66528282235801e+163,6.00925994856665e+22
3,14,inf,292848828682.008,2.17154565920674e-189
4,14,inf,5.10139541139622e-92,2.30639936490407e-34
1,15,inf,1.87842101443447e-14,9.44463413554231e+51
2,15,inf,8.51750329325756e-32,5.232176946644e+21
3,15,inf,1.26151165683487e-20,9.71377354002209e+150
4,15,inf,2.44695001351922e-19,1.56369540996115e+119
