rep,id,eta_V,eta_Vm,eta_Km
1,1,6879.6363936927,19.9294489412038,-55.6725189984193
2,1,3379.74529516161,-125.512595172274,-343.934908501154
3,1,9246.01151678971,22.5146834525724,-312.862058816184
4,1,11920.4402934761,295.734186222153,302.391017360565
1,2,3139.42092083791,-41.0525447987557,181.770209753042
2,2,11136.2770128064,50.8745546778327,306.34217695025
3,2,4673.90727059165,-88.5090410151283,-55.6074438003934
4,2,3955.79759146164,-146.884764367523,-198.619904104763
1,3,4307.49561250802,20.3570433945719,-478.259037413306
2,3,2133.43283332036,140.65256846828,121.969247627036
3,3,18816.2164397571,83.9906505666694,-220.209371045761
4,3,14604.0356477034,390.07658952124,-70.6805882829149
1,4,5623.0327893946,-18.7006095990909,17.1504059367907
2,4,2368.99102329538,175.342764163919,-118.497733337705
3,4,9005.96415645741,2.13434321972626,28.0185198848453
4,4,4808.90288912589,-37.0843113574135,377.962885543933
1,5,1944.86642425759,-159.971104636251,-193.697393427226
2,5,3620.12658251409,-55.0953932501953,322.479218000161
3,5,3436.84903771566,-105.283701753363,319.744335218121
4,5,4753.46539783366,381.629233244846,-9.24125068902948
1,6,12879.3866683029,72.2746869124425,99.867271712281
2,6,1120.23316981778,-64.5593364838745,-140.063179830353
3,6,7783.33536822253,169.417442070014,-84.5628179106511
4,6,1996.29879860133,-95.1094223323838,-94.7917388107621
1,7,2409.01317893655,-416.088436621107,123.943696169367
2,7,15512.9589578831,60.4969133302184,29.3024820295032
3,7,3722.59609411122,116.417166068766,-119.93955092745
4,7,7884.76559969389,112.068473994775,409.242637982452
1,8,3463.3202009879,281.708334978888,-177.912607135006
2,8,15619.3876690022,-304.485867507033,47.2145502188467
3,8,11500.2656474781,159.392722616274,132.691035506322
4,8,2573.80546947948,232.221028999293,42.4077572926739
1,9,11823.0681906037,130.968562601005,315.005627105436
2,9,792.859116231306,-84.7231637506863,20.5696840704135
3,9,4076.83329960354,382.423685616369,-122.308632914143
4,9,7318.74432443443,-338.06847568657,-104.02079080115
1,10,4033.92511090481,227.722480295786,410.851664477059
2,10,2074.83509082145,-105.515646387286,-180.88196502582
3,10,5780.77746024175,-159.639786053103,-231.539426359911
4,10,5160.07843105576,-63.0616487796248,-401.192141494732
1,11,14212.5460553545,-229.220636975189,-296.129442597956
2,11,23165.2260342919,55.7931545582924,160.193590801746
3,11,233.0624621524,461.031600177232,120.360290485981
4,11,21045.1071468133,503.662055950306,28.0600039431116
1,12,8195.38218634542,128.451927097892,198.593344211771
2,12,3323.38254613081,197.874775827965,-219.100317014646
3,12,13446.8362075163,-130.872638400718,306.420975831718
4,12,6851.58118812012,84.3035530088787,-77.10781108343
1,13,10198.0534244217,-75.2839378778238,75.0610562678433
2,13,16918.440330678,-5.9998166277409,173.429286853171
3,13,8786.27436104659,216.761361528781,281.867689492036
4,13,5243.7744225887,-124.725114260887,425.369046126134
1,14,31336.8340360372,37.2875572294507,164.560616331602
2,14,9662.57246906156,373.389552164384,51.7274676673549
3,14,3478.77632509305,22.9309559172039,-435.13584935933
4,14,15629.958005291,-213.680280895619,-78.1749115526195
1,15,10054.185726044,-35.0777262164661,118.954580523787
2,15,1966.50074484654,-75.0125661711609,49.2864084037337
3,15,5243.2452157993,-49.2913575829193,346.938602797215
4,15,10233.4125348849,-46.326240862844,273.731971955982
