pwRes_abscissa,pwRes_pdf,iwRes_abscissa,iwRes_pdf,npde_abscissa,npde_pdf,split
-1.57519,0.0782687,-2.63641,0.018874,-1.85342,0.0792509,All
-1.10672,0.417433,-2.45392,0.018874,-1.39075,0.105668,All
-0.638246,0.573971,-2.27142,0.0251653,-0.928085,0.528339,All
-0.169775,0.286985,-2.08892,0.100661,-0.46542,0.422671,All
0.298697,0.417433,-1.90642,0.0817871,-0.00275394,0.290587,All
0.767168,0.234806,-1.72393,0.0503305,0.459912,0.475505,All
1.23564,0.104358,-1.54143,0.163574,0.922577,0.184919,All
1.70411,0.0521791,-1.35893,0.176157,1.38524,0.105668,All
2.17258,0.130448,-1.17644,0.132118,1.84791,0.132085,All
2.64105,0.0521791,-0.993939,0.245361,2.31057,0.0528339,All
,,-0.811441,0.23907,,,All
,,-0.628944,0.320857,,,All
,,-0.446447,0.346023,,,All
,,-0.26395,0.364896,,,All
,,-0.0814525,0.396353,,,All
,,0.101045,0.415227,,,All
,,0.283542,0.390062,,,All
,,0.466039,0.38377,,,All
,,0.648536,0.377479,,,All
,,0.831034,0.264235,,,All
,,1.01353,0.346023,,,All
,,1.19603,0.23907,,,All
,,1.37853,0.150992,,,All
,,1.56102,0.157283,,,All
,,1.74352,0.0692045,,,All
,,1.92602,0.0629132,,,All
,,2.10851,0.0566219,,,All
,,2.29101,0.0503305,,,All
,,2.47351,0.00629132,,,All
,,2.65601,0.0125826,,,All
