Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q_abscissa,Q_cdf,V2_abscissa,V2_cdf,split
4.96763,0,20.8961,0,0.296463,0.00666667,1.53229,0.00666667,All
8.04358,0.00666667,20.9034,0.00666667,0.350078,0.0133333,4.5011,0.0133333,All
8.43514,0.0133333,20.9034,0.0133333,0.709968,0.02,4.66024,0.02,All
8.51413,0.02,20.9034,0.02,0.727679,0.0266667,4.70412,0.0266667,All
8.51436,0.0266667,20.9034,0.0266667,0.730009,0.0333333,4.8009,0.0333333,All
8.57166,0.0333333,20.9034,0.0333333,0.972179,0.04,5.61732,0.04,All
8.72521,0.04,20.9034,0.04,1.21771,0.0466667,5.66478,0.0466667,All
8.75647,0.0466667,20.9034,0.0466667,1.7402,0.0533333,5.72842,0.0533333,All
8.94875,0.0533333,20.9034,0.0533333,2.36518,0.06,5.7407,0.06,All
9.07108,0.06,20.9034,0.06,2.48797,0.0666667,5.76874,0.0666667,All
9.16213,0.0666667,20.9034,0.0666667,2.59286,0.0733333,5.88371,0.0733333,All
9.24477,0.0733333,20.9034,0.0733333,4.09668,0.08,5.96414,0.08,All
9.34163,0.08,20.9034,0.08,4.24928,0.0866667,6.14245,0.0866667,All
9.45082,0.0866667,20.9034,0.0866667,4.53788,0.0933333,6.14692,0.0933333,All
9.46712,0.0933333,20.9034,0.0933333,4.76408,0.1,6.15166,0.1,All
9.49249,0.1,20.9034,0.1,4.77613,0.106667,6.36406,0.106667,All
9.58015,0.106667,20.9034,0.106667,5.17695,0.113333,6.64572,0.113333,All
9.62183,0.113333,20.9034,0.113333,5.61543,0.12,6.67986,0.12,All
9.63718,0.12,20.9034,0.12,5.8944,0.126667,6.77216,0.126667,All
9.66887,0.126667,20.9034,0.126667,5.92562,0.133333,6.90052,0.133333,All
9.84801,0.133333,20.9034,0.133333,6.32285,0.14,6.91473,0.14,All
9.88396,0.14,20.9034,0.14,6.74995,0.146667,7.39191,0.146667,All
9.92768,0.146667,20.9034,0.146667,6.99435,0.153333,7.41189,0.153333,All
9.93937,0.153333,20.9034,0.153333,7.32323,0.16,7.73183,0.16,All
9.95241,0.16,20.9034,0.16,7.86781,0.166667,8.28841,0.166667,All
9.98006,0.166667,20.9034,0.166667,8.09068,0.173333,8.35546,0.173333,All
10.1337,0.173333,20.9034,0.173333,9.1218,0.18,8.39992,0.18,All
10.1382,0.18,20.9034,0.18,9.55986,0.186667,8.6055,0.186667,All
10.2423,0.186667,20.9034,0.186667,11.0483,0.193333,8.60786,0.193333,All
10.2566,0.193333,20.9034,0.193333,11.8211,0.2,8.64494,0.2,All
10.2958,0.2,20.9034,0.2,11.893,0.206667,8.78763,0.206667,All
10.4188,0.206667,20.9034,0.206667,12.0145,0.213333,8.97315,0.213333,All
10.4222,0.213333,20.9034,0.213333,12.4124,0.22,9.387,0.22,All
10.5247,0.22,20.9034,0.22,13.581,0.226667,9.39357,0.226667,All
10.5698,0.226667,20.9034,0.226667,15.4593,0.233333,9.57687,0.233333,All
10.6218,0.233333,20.9034,0.233333,15.7153,0.24,9.64505,0.24,All
10.642,0.24,20.9034,0.24,18.4884,0.246667,9.7485,0.246667,All
10.6552,0.246667,20.9034,0.246667,18.6156,0.253333,9.91803,0.253333,All
10.6766,0.253333,20.9034,0.253333,21.441,0.26,9.93777,0.26,All
10.6953,0.26,20.9034,0.26,21.7149,0.266667,9.97018,0.266667,All
10.7223,0.266667,20.9034,0.266667,22.2887,0.273333,9.99945,0.273333,All
10.7322,0.273333,20.9034,0.273333,25.8334,0.28,10.3153,0.28,All
10.7741,0.28,20.9034,0.28,27.1655,0.286667,10.7285,0.286667,All
11.0512,0.286667,20.9034,0.286667,27.3198,0.293333,10.7776,0.293333,All
11.2414,0.293333,20.9034,0.293333,27.6304,0.3,10.9304,0.3,All
11.325,0.3,20.9034,0.3,27.686,0.306667,10.9581,0.306667,All
