Cl_abscissa,Cl_pdf,Cl_cdf,V1_abscissa,V1_pdf,V1_cdf,Q_abscissa,Q_pdf,Q_cdf,V2_abscissa,V2_pdf,V2_cdf,split
4.98765,0.000181971,5.7291e-05,8.57301,0.0002005,0.000126359,1.66138,0.00654845,0.00349032,1.81749,0.0190579,0.0115869,All
5.30646,0.000419423,0.000148768,9.19319,0.000442463,0.000317734,19.4657,0.0210486,0.442783,2.63572,0.0315105,0.0324729,All
5.62528,0.000873513,0.000347632,9.81336,0.000878838,0.000715254,37.2701,0.00965178,0.701986,3.45394,0.0405542,0.0622013,All
5.94409,0.00166701,0.000741713,10.4335,0.00159663,0.00146594,55.0744,0.00485362,0.825195,4.27216,0.0462453,0.0979186,All
6.2629,0.0029489,0.0014624,11.0537,0.00268773,0.00277285,72.8788,0.0026791,0.889906,5.09038,0.0492931,0.137158,All
6.58171,0.00488199,0.00269122,11.6739,0.00423678,0.00489447,90.6831,0.00158899,0.926867,5.9086,0.0504251,0.178063,All
6.90052,0.00762489,0.00466142,12.2941,0.0063085,0.0081362,108.487,0.00099627,0.94938,6.72683,0.0502304,0.219316,All
7.21933,0.0113114,0.00765346,12.9142,0.00893697,0.0128346,126.292,0.000652744,0.963798,7.54505,0.0491491,0.260021,All
7.53814,0.0160307,0.0119838,13.5344,0.0121188,0.0193358,144.096,0.000443215,0.973408,8.36327,0.047498,0.299591,All
7.85696,0.0218119,0.0179881,14.1546,0.015811,0.0279719,161.901,0.000309978,0.980028,9.18149,0.0455012,0.337656,All
8.17577,0.0286148,0.0260004,14.7747,0.0199335,0.0390362,179.705,0.000222268,0.984714,9.99972,0.0433145,0.374,All
8.49458,0.036329,0.0363306,15.3949,0.0243755,0.0527626,197.509,0.000162814,0.988109,10.8179,0.0410456,0.408515,All
8.81339,0.0447797,0.049243,16.0151,0.0290049,0.0693091,215.314,0.000121487,0.990618,11.6362,0.0387675,0.441166,All
9.1322,0.0537404,0.0649375,16.6353,0.0336783,0.0887478,233.118,9.21297e-05,0.992505,12.4544,0.0365291,0.471967,All
9.45101,0.0629496,0.0835356,17.2554,0.0382514,0.111061,250.922,7.08729e-05,0.993947,13.2726,0.0343619,0.500964,All
9.76982,0.0721292,0.105072,17.8756,0.0425884,0.136144,268.727,5.52198e-05,0.995062,14.0908,0.0322857,0.528223,All
10.0886,0.0810028,0.129494,18.4958,0.046569,0.163812,286.531,4.35186e-05,0.995936,14.909,0.0303115,0.553825,All
10.4074,0.0893125,0.156662,19.116,0.0500937,0.193811,304.335,3.46527e-05,0.996629,15.7273,0.0284449,0.577856,All
10.7263,0.0968323,0.186358,19.7361,0.053087,0.225835,322.14,2.78528e-05,0.997182,16.5455,0.0266872,0.600403,All
11.0451,0.103377,0.2183,20.3563,0.0554984,0.259537,339.944,2.25794e-05,0.997629,17.3637,0.025037,0.621557,All
11.3639,0.10881,0.252155,20.9765,0.0573016,0.294547,357.748,1.84485e-05,0.997993,18.1819,0.0234912,0.641404,All
11.6827,0.113041,0.287552,21.5967,0.0584925,0.330484,375.553,1.51823e-05,0.998291,19.0002,0.0220456,0.660027,All
12.0015,0.11603,0.324101,22.2168,0.0590865,0.366974,393.357,1.2578e-05,0.998538,19.8184,0.0206953,0.677506,All
12.3203,0.117779,0.361404,22.837,0.0591151,0.403655,411.161,1.04849e-05,0.998742,20.6366,0.0194349,0.693918,All
12.6391,0.118329,0.399072,23.4572,0.0586221,0.44019,428.966,8.79037e-06,0.998913,21.4548,0.0182591,0.709333,All
12.9579,0.117752,0.436734,24.0774,0.0576603,0.47627,446.77,7.40927e-06,0.999057,22.273,0.0171625,0.723819,All
13.2768,0.116145,0.474044,24.6975,0.0562882,0.511624,464.574,6.27649e-06,0.999179,23.0913,0.0161398,0.737439,All
13.5956,0.113621,0.510693,25.3177,0.0545669,0.546015,482.379,5.34187e-06,0.999282,23.9095,0.0151861,0.75025,All
13.9144,0.110305,0.546407,25.9379,0.0525579,0.579246,500.183,4.56649e-06,0.99937,24.7277,0.0142965,0.762307,All
14.2332,0.106327,0.580955,26.5581,0.050321,0.611158,517.987,3.91987e-06,0.999445,25.5459,0.0134665,0.773662,All
14.552,0.101814,0.614147,27.1782,0.0479127,0.641626,535.792,3.378e-06,0.99951,26.3642,0.0126919,0.78436,All
14.8708,0.0968922,0.645831,27.7984,0.0453853,0.670561,553.596,2.9218e-06,0.999566,27.1824,0.0119686,0.794445,All
15.1896,0.0916773,0.675896,28.4186,0.0427859,0.697905,571.4,2.53606e-06,0.999615,28.0006,0.0112931,0.803959,All
15.5084,0.0862765,0.704267,29.0387,0.0401561,0.723625,589.205,2.20856e-06,0.999657,28.8188,0.0106618,0.812938,All
15.8272,0.0807855,0.730899,29.6589,0.0375321,0.747714,607.009,1.92941e-06,0.999693,29.637,0.0100715,0.821417,All
16.1461,0.0752881,0.755777,30.2791,0.0349444,0.770185,624.814,1.6906e-06,0.999726,30.4553,0.00951933,0.82943,All
16.4649,0.0698556,0.778911,30.8993,0.0324181,0.791069,642.618,1.48558e-06,0.999754,31.2735,0.0090025,0.837005,All
16.7837,0.0645476,0.800332,31.5194,0.0299738,0.810412,660.422,1.30897e-06,0.999779,32.0917,0.00851849,0.844171,All
17.1025,0.0594121,0.820086,32.1396,0.027627,0.828268,678.227,1.15635e-06,0.999801,32.9099,0.00806495,0.850953,All
17.4213,0.0544869,0.838237,32.7598,0.0253897,0.844701,696.031,1.02407e-06,0.99982,33.7282,0.00763973,0.857376,All
17.7401,0.0497998,0.854854,33.38,0.0232699,0.859784,713.835,9.0907e-07,0.999837,34.5464,0.00724082,0.863462,All
18.0589,0.0453704,0.870017,34.0001,0.0212727,0.87359,731.64,8.08822e-07,0.999852,35.3646,0.00686638,0.869232,All
18.3777,0.0412109,0.883812,34.6203,0.0194006,0.886195,749.444,7.21199e-07,0.999866,36.1828,0.00651472,0.874705,All
18.6965,0.0373273,0.896324,35.2405,0.0176538,0.897679,767.248,6.44415e-07,0.999878,37.001,0.00618424,0.879899,All
19.0154,0.03372,0.907642,35.8607,0.0160308,0.908118,785.053,5.76964e-07,0.999889,37.8193,0.0058735,0.88483,All
19.3342,0.0303855,0.917853,36.4808,0.0145287,0.917588,802.857,5.17572e-07,0.999899,38.6375,0.00558116,0.889515,All
19.653,0.0273167,0.927045,37.101,0.0131433,0.926163,820.661,4.65158e-07,0.999908,39.4557,0.00530597,0.893968,All
19.9718,0.0245037,0.935298,37.7212,0.0118698,0.933913,838.466,4.188e-07,0.999915,40.2739,0.00504677,0.898203,All
20.2906,0.0219349,0.942695,38.3414,0.0107026,0.940907,856.27,3.77714e-07,0.999922,41.0922,0.00480251,0.902231,All
20.6094,0.0195972,0.949309,38.9615,0.00963569,0.947209,874.074,3.41226e-07,0.999929,41.9104,0.0045722,0.906066,All
20.9282,0.0174765,0.955213,39.5817,0.00866306,0.952878,891.879,3.08758e-07,0.999935,42.7286,0.00435492,0.909717,All
21.247,0.0155585,0.960474,40.2019,0.00777844,0.957972,909.683,2.79814e-07,0.99994,43.5468,0.00414983,0.913196,All
21.5658,0.0138285,0.965154,40.822,0.00697563,0.962543,927.487,2.53963e-07,0.999945,44.365,0.00395614,0.916511,All
21.8847,0.0122722,0.96931,41.4422,0.00624854,0.96664,945.292,2.30835e-07,0.999949,45.1833,0.00377312,0.919672,All
22.2035,0.0108754,0.972996,42.0624,0.00559127,0.970308,963.096,2.10108e-07,0.999953,46.0015,0.0036001,0.922688,All
22.5223,0.00962458,0.97626,42.6826,0.00499816,0.973588,980.9,1.91502e-07,0.999956,46.8197,0.00343645,0.925566,All
22.8411,0.00850684,0.979147,43.3027,0.00446381,0.97652,998.705,1.74774e-07,0.99996,47.6379,0.00328159,0.928314,All
23.1599,0.00750995,0.981697,43.9229,0.00398313,0.979136,1016.51,1.5971e-07,0.999963,48.4562,0.00313497,0.930939,All
23.4787,0.00662246,0.983947,44.5431,0.00355134,0.98147,1034.31,1.46126e-07,0.999965,49.2744,0.00299608,0.933446,All
23.7975,0.00583371,0.98593,45.1633,0.00316397,0.98355,1052.12,1.33857e-07,0.999968,50.0926,0.00286446,0.935844,All
24.1163,0.00513383,0.987676,45.7834,0.00281688,0.985403,1069.92,1.22762e-07,0.99997,50.9108,0.00273967,0.938136,All
24.4352,0.00451373,0.989212,46.4036,0.00250623,0.987052,1087.73,1.12714e-07,0.999972,51.729,0.0026213,0.940329,All
24.754,0.00396509,0.990562,47.0238,0.00222849,0.988518,1105.53,1.03602e-07,0.999974,52.5473,0.00250897,0.942427,All
25.0728,0.00348029,0.991747,47.644,0.00198042,0.989822,1123.34,9.53289e-08,0.999976,53.3655,0.00240232,0.944436,All
25.3916,0.00305244,0.992787,48.2641,0.00175905,0.99098,1141.14,8.78077e-08,0.999978,54.1837,0.00230103,0.94636,All
25.7104,0.00267528,0.993699,48.8843,0.00156168,0.992009,1158.94,8.09617e-08,0.999979,55.0019,0.00220477,0.948203,All
26.0292,0.00234316,0.994497,49.5045,0.00138583,0.992922,1176.75,7.47232e-08,0.99998,55.8202,0.00211327,0.949969,All
26.348,0.00205098,0.995197,50.1247,0.00122928,0.993732,1194.55,6.90315e-08,0.999982,56.6384,0.00202626,0.951662,All
26.6668,0.0017942,0.995809,50.7448,0.00109001,0.99445,1212.36,6.3833e-08,0.999983,57.4566,0.00194347,0.953286,All
26.9856,0.00156871,0.996344,51.365,0.000966188,0.995087,1230.16,5.90798e-08,0.999984,58.2748,0.00186467,0.954844,All
27.3045,0.00137087,0.996812,51.9852,0.000856161,0.995651,1247.97,5.4729e-08,0.999985,59.093,0.00178964,0.956339,All
27.6233,0.00119742,0.997221,52.6053,0.000758446,0.996151,1265.77,5.07426e-08,0.999986,59.9113,0.00171818,0.957773,All
27.9421,0.00104546,0.997578,53.2255,0.00067171,0.996594,1283.57,4.70864e-08,0.999987,60.7295,0.00165008,0.959151,All
28.2609,0.00091242,0.99789,53.8457,0.000594754,0.996986,1301.38,4.37296e-08,0.999988,61.5477,0.00158516,0.960475,All
28.5797,0.000796012,0.998162,54.4659,0.000526505,0.997334,1319.18,4.06448e-08,0.999988,62.3659,0.00152326,0.961746,All
28.8985,0.000694218,0.998399,55.086,0.000466,0.997641,1336.99,3.78073e-08,0.999989,63.1842,0.0014642,0.962968,All
29.2173,0.00060525,0.998606,55.7062,0.00041238,0.997913,1354.79,3.5195e-08,0.99999,64.0024,0.00140785,0.964143,All
29.5361,0.000527532,0.998786,56.3264,0.000364877,0.998154,1372.6,3.27877e-08,0.99999,64.8206,0.00135405,0.965273,All
29.8549,0.000459673,0.998943,56.9466,0.000322806,0.998367,1390.4,3.05674e-08,0.999991,65.6388,0.00130267,0.966359,All
30.1738,0.000400446,0.99908,57.5667,0.000285555,0.998555,1408.2,2.8518e-08,0.999991,66.457,0.00125359,0.967405,All
30.4926,0.000348776,0.999199,58.1869,0.00025258,0.998722,1426.01,2.66246e-08,0.999992,67.2753,0.00120669,0.968411,All
30.8114,0.000303713,0.999303,58.8071,0.000223397,0.998869,1443.81,2.4874e-08,0.999992,68.0935,0.00116186,0.96938,All
31.1302,0.000264426,0.999393,59.4273,0.000197574,0.999,1461.62,2.3254e-08,0.999993,68.9117,0.00111899,0.970313,All
31.449,0.000230186,0.999472,60.0474,0.000174729,0.999115,1479.42,2.17539e-08,0.999993,69.7299,0.00107798,0.971212,All
31.7678,0.000200353,0.999541,60.6676,0.000154522,0.999217,1497.23,2.03636e-08,0.999994,70.5482,0.00103874,0.972078,All
32.0866,0.000174365,0.9996,61.2878,0.000136649,0.999307,1515.03,1.90741e-08,0.999994,71.3664,0.00100118,0.972912,All
32.4054,0.000151733,0.999652,61.908,0.000120844,0.999387,1532.84,1.78774e-08,0.999994,72.1846,0.000965225,0.973717,All
32.7242,0.000132028,0.999697,62.5281,0.000106868,0.999457,1550.64,1.67658e-08,0.999995,73.0028,0.000930786,0.974492,All
