standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-1.65272,0.25516,-2.40795,0.0331942,-2.28868,0.176703,-1.73904,0.138136,All
-1.37135,0.204128,-1.97537,0,-1.88238,0.0353405,-1.4272,0.276272,All
-1.08997,0.51032,-1.5428,0.11618,-1.47608,0.123692,-1.11535,0.253249,All
-0.808602,0.280676,-1.11022,0.23236,-1.06977,0.159032,-0.803509,0.230226,All
-0.52723,0.306192,-0.677649,0.464719,-0.66347,0.265054,-0.491664,0.414407,All
-0.245858,0.178612,-0.245075,0.514511,-0.257167,0.424086,-0.179819,0.529521,All
0.0355143,0.102064,0.187499,0.414928,0.149136,0.441757,0.132025,0.345339,All
0.316886,0.38274,0.620074,0.331942,0.55544,0.459427,0.44387,0.322317,All
0.598258,0.408256,1.05265,0.165971,0.961743,0.229714,0.755715,0.207204,All
0.87963,0.357224,1.48522,0.0497914,1.36805,0.176703,1.06756,0.138136,All
1.161,0.561352,1.9178,0.0331942,1.77435,0.0883514,1.3794,0.230226,All
1.44237,0.153096,2.35037,0.0995827,2.18065,0.0353405,1.69125,0.253249,All
1.72375,0.12758,2.78295,0.0331942,2.58696,0.0353405,2.00309,0.115113,All
