iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
1,615.586,1,13.509,23.899,13.116,1,0.3,1,1,1,1
2,578.694,1,19.0785,25.8191,13.0592,0.951144,0.179232,0.405306,1.03359,0.760644,1.02544
3,558.295,1,18.4981,26.5958,14.1903,1.01214,0.146954,0.410746,1.15849,0.753437,0.921959
4,529.979,1,18.7013,26.4911,15.2701,0.949041,0.128414,0.40702,1.18072,0.729647,0.669947
5,509.535,1,18.8535,26.0583,16.7543,0.958719,0.107305,0.392969,1.20509,0.750611,0.742594
6,504.399,1,18.6218,25.9453,17.7912,1.06636,0.0973392,0.389992,1.11918,0.753206,0.745321
7,497.178,1,18.4367,25.4018,16.8931,1.22918,0.0806027,0.390431,1.23075,0.764284,0.727036
8,481.799,1,18.7469,25.6486,16.4735,1.27839,0.0628513,0.398118,1.48833,0.757702,0.802649
9,482.673,1,18.5987,25.1625,17.1588,1.36617,0.056726,0.397349,1.50249,0.783695,0.876811
10,469.162,1,18.4423,25.1361,17.8669,1.34231,0.0496559,0.393663,1.35419,0.820091,0.85551
11,462.272,1,18.4729,26.1625,17.2825,1.41241,0.0393882,0.391043,1.50096,0.816147,0.896802
12,455.713,1,18.4832,26.0491,18.292,1.43568,0.0346983,0.390172,1.37643,0.830776,0.90392
13,454.311,1,18.5863,26.3916,18.8768,1.35955,0.0379035,0.387607,1.3615,0.793334,0.98288
14,448.378,1,18.6067,26.3871,18.9745,1.3296,0.0367336,0.392681,1.35431,0.771272,0.93759
15,437.228,1,18.5173,26.4741,18.0763,1.35042,0.0292683,0.395061,1.29936,0.751526,0.940601
16,430.318,1,18.6521,26.1427,18.9835,1.32938,0.0270516,0.394584,1.39573,0.760098,0.826886
17,435.811,1,18.5905,26.0044,17.2013,1.38492,0.0253426,0.391533,1.54931,0.75876,0.848781
18,434.423,1,18.6398,26.7658,19.7313,1.38492,0.0258061,0.388861,1.44728,0.730856,0.89002
19,425.538,1,18.6246,26.9321,18.9968,1.38484,0.0231297,0.393149,1.32257,0.713564,0.809743
20,434.833,1,18.6445,26.9953,17.3797,1.4247,0.0248197,0.394216,1.39452,0.71296,0.814699
21,431.412,1,18.6337,26.8416,17.9278,1.42466,0.0237473,0.389228,1.45258,0.716947,0.745377
22,428.521,1,18.4991,27.102,18.7027,1.4171,0.0211261,0.396181,1.57003,0.70252,0.730352
23,422.717,1,18.4636,27.1379,19.3965,1.39421,0.0178929,0.391361,1.62809,0.718563,0.752887
24,421.064,1,18.6321,27.1317,19.1945,1.39419,0.0174307,0.385891,1.54964,0.709293,0.790959
25,416.777,1,18.65,26.7762,20.8013,1.31919,0.0198619,0.387976,1.47288,0.72402,0.81146
26,415.377,1,18.5681,26.6603,20.179,1.3923,0.0149812,0.398459,1.36112,0.718566,0.762846
27,416.721,1,18.5258,26.9029,18.3066,1.37756,0.0160426,0.398993,1.38847,0.716369,0.809252
28,420.509,1,18.601,26.9908,19.444,1.37765,0.0181832,0.395286,1.47214,0.690543,0.807783
29,422.444,1,18.6405,26.3061,19.1348,1.39575,0.0195113,0.396843,1.5045,0.698962,0.717489
30,422.627,1,18.7367,26.1474,18.876,1.37763,0.0210793,0.401426,1.47367,0.703593,0.710533
31,422.92,1,18.7272,26.2605,19.3216,1.50162,0.00901943,0.398455,1.56202,0.700501,0.742945
32,419.794,1,18.5715,27.0792,17.8425,1.47053,0.0110313,0.403213,1.4654,0.678921,0.748885
33,417.157,1,18.4719,27.09,17.2232,1.45726,0.0102438,0.398673,1.48086,0.684076,0.73284
34,413.696,1,18.5787,26.6461,16.4013,1.48751,2.22045e-16,0.393532,1.29928,0.690524,0.778157
35,415.915,1,18.5346,26.4222,15.02,1.48224,2.22045e-16,0.396395,1.30199,0.696376,0.881938
36,417.121,1,18.7405,26.7742,14.0573,1.48839,6.94808e-07,0.396974,1.36425,0.691437,0.86669
37,414.351,1,18.6426,27.0633,16.4396,1.47235,2.22045e-16,0.394539,1.23363,0.691901,0.922897
38,414.794,1,18.681,27.371,16.5693,1.47227,2.37773e-06,0.402269,1.15746,0.680469,1.00516
39,410.076,1,18.711,27.21,15.8475,1.44374,2.22045e-16,0.402838,1.12845,0.688337,0.95837
