standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,standEta_V2_abscissa,standEta_V2_cdf,split
-4,0,-4,0,-4,0,-4,0,All
-2.06968,0.00666667,-2.1614,0.00666667,-2.70583,0.00666667,-2.86963,0.00666667,All
-2.02591,0.0133333,-2.15169,0.0133333,-2.41437,0.0133333,-2.46374,0.0133333,All
-1.9979,0.02,-2.00718,0.02,-2.0535,0.02,-2.12759,0.02,All
-1.93949,0.0266667,-1.99625,0.0266667,-2.01962,0.0266667,-1.90046,0.0266667,All
-1.88869,0.0333333,-1.70468,0.0333333,-1.78025,0.0333333,-1.72897,0.0333333,All
-1.78942,0.04,-1.66964,0.04,-1.77746,0.04,-1.64194,0.04,All
-1.68498,0.0466667,-1.66459,0.0466667,-1.5104,0.0466667,-1.61562,0.0466667,All
-1.59856,0.0533333,-1.6244,0.0533333,-1.41843,0.0533333,-1.61496,0.0533333,All
-1.54301,0.06,-1.43726,0.06,-1.39665,0.06,-1.54163,0.06,All
-1.53776,0.0666667,-1.34956,0.0666667,-1.36769,0.0666667,-1.50778,0.0666667,All
-1.43135,0.0733333,-1.34934,0.0733333,-1.30198,0.0733333,-1.44928,0.0733333,All
-1.37562,0.08,-1.28234,0.08,-1.28751,0.08,-1.42983,0.08,All
-1.37441,0.0866667,-1.28055,0.0866667,-1.21808,0.0866667,-1.40837,0.0866667,All
-1.37175,0.0933333,-1.20446,0.0933333,-1.20742,0.0933333,-1.37702,0.0933333,All
-1.36999,0.1,-1.12159,0.1,-1.18764,0.1,-1.37701,0.1,All
-1.33366,0.106667,-1.11476,0.106667,-1.17389,0.106667,-1.22059,0.106667,All
-1.27266,0.113333,-1.07187,0.113333,-1.1673,0.113333,-1.19602,0.113333,All
-1.26555,0.12,-1.05292,0.12,-1.13371,0.12,-1.13592,0.12,All
-1.25179,0.126667,-1.0423,0.126667,-1.12471,0.126667,-1.09625,0.126667,All
-1.23555,0.133333,-1.04028,0.133333,-1.09811,0.133333,-1.09522,0.133333,All
-1.19163,0.14,-1.00362,0.14,-1.07609,0.14,-1.02945,0.14,All
-1.13132,0.146667,-0.993518,0.146667,-1.07189,0.146667,-0.968636,0.146667,All
-1.12616,0.153333,-0.955197,0.153333,-1.05686,0.153333,-0.960037,0.153333,All
-1.12368,0.16,-0.91887,0.16,-1.0519,0.16,-0.837588,0.16,All
-1.09588,0.166667,-0.91165,0.166667,-1.03738,0.166667,-0.80638,0.166667,All
-1.05236,0.173333,-0.898099,0.173333,-0.897555,0.173333,-0.762976,0.173333,All
-0.982282,0.18,-0.890998,0.18,-0.889437,0.18,-0.725472,0.18,All
-0.970856,0.186667,-0.889209,0.186667,-0.878085,0.186667,-0.708053,0.186667,All
-0.960158,0.193333,-0.810545,0.193333,-0.794915,0.193333,-0.700551,0.193333,All
-0.930533,0.2,-0.795809,0.2,-0.765863,0.2,-0.675747,0.2,All
-0.922578,0.206667,-0.790918,0.206667,-0.750663,0.206667,-0.668443,0.206667,All
-0.890106,0.213333,-0.7884,0.213333,-0.748855,0.213333,-0.657311,0.213333,All
-0.879092,0.22,-0.779634,0.22,-0.744885,0.22,-0.615401,0.22,All
-0.870743,0.226667,-0.776763,0.226667,-0.715459,0.226667,-0.611341,0.226667,All
-0.863517,0.233333,-0.742097,0.233333,-0.7138,0.233333,-0.604267,0.233333,All
-0.850515,0.24,-0.677278,0.24,-0.704143,0.24,-0.578402,0.24,All
-0.837089,0.246667,-0.672943,0.246667,-0.698598,0.246667,-0.463524,0.246667,All
-0.831103,0.253333,-0.655831,0.253333,-0.688105,0.253333,-0.449812,0.253333,All
-0.818183,0.26,-0.653317,0.26,-0.686942,0.26,-0.44327,0.26,All
-0.785801,0.266667,-0.612836,0.266667,-0.670185,0.266667,-0.419685,0.266667,All
-0.731908,0.273333,-0.612687,0.273333,-0.615726,0.273333,-0.400548,0.273333,All
-0.713335,0.28,-0.583292,0.28,-0.609422,0.28,-0.391012,0.28,All
-0.708179,0.286667,-0.565607,0.286667,-0.592654,0.286667,-0.377352,0.286667,All
-0.696654,0.293333,-0.532737,0.293333,-0.567865,0.293333,-0.372711,0.293333,All
-0.676567,0.3,-0.529794,0.3,-0.520154,0.3,-0.35699,0.3,All
-0.670199,0.306667,-0.527672,0.306667,-0.497833,0.306667,-0.340512,0.306667,All
-0.596941,0.313333,-0.512206,0.313333,-0.494963,0.313333,-0.334536,0.313333,All
-0.591293,0.32,-0.506858,0.32,-0.47457,0.32,-0.325111,0.32,All
-0.569505,0.326667,-0.499556,0.326667,-0.459649,0.326667,-0.31059,0.326667,All
-0.563972,0.333333,-0.490648,0.333333,-0.439933,0.333333,-0.252732,0.333333,All
-0.54937,0.34,-0.45867,0.34,-0.404049,0.34,-0.248298,0.34,All
-0.544706,0.346667,-0.446112,0.346667,-0.377372,0.346667,-0.221947,0.346667,All
-0.537992,0.353333,-0.416769,0.353333,-0.374991,0.353333,-0.209838,0.353333,All
-0.532898,0.36,-0.413456,0.36,-0.374417,0.36,-0.17081,0.36,All
-0.526445,0.366667,-0.388936,0.366667,-0.374343,0.366667,-0.161553,0.366667,All
-0.513774,0.373333,-0.377535,0.373333,-0.352435,0.373333,-0.154304,0.373333,All
-0.507123,0.38,-0.373352,0.38,-0.342885,0.38,-0.149826,0.38,All
-0.506839,0.386667,-0.372396,0.386667,-0.320063,0.386667,-0.13818,0.386667,All
-0.450616,0.393333,-0.353542,0.393333,-0.317005,0.393333,-0.119205,0.393333,All
-0.444723,0.4,-0.335256,0.4,-0.300301,0.4,-0.112412,0.4,All
-0.398106,0.406667,-0.327897,0.406667,-0.297557,0.406667,-0.0824043,0.406667,All
