iteration,convergenceIndicator,phase,Cl_pop,V1_pop,V2_pop,a,b,omega_Cl,omega_Q,omega_V1,omega_V2
1,636.759,1,13.509,23.899,13.116,1,0.3,1,1,1,1
2,594.421,1,18.1602,29.4223,14.3996,1.32214,0.178734,0.476899,0.997304,0.749654,0.92452
3,563.3,1,17.0864,28.7534,13.774,1.20292,0.139413,0.472427,1.12088,0.671726,0.842361
4,538.694,1,17.2386,28.7016,15.4099,1.51969,0.0987327,0.451651,1.22386,0.581519,0.857311
5,514.542,1,17.3619,29.1791,14.7018,1.65025,0.0683802,0.457105,1.19793,0.537282,0.977816
6,498.85,1,17.1247,28.3907,14.6403,1.65958,0.0549028,0.45805,1.15756,0.532263,0.9544
7,488.192,1,17.2098,28.4236,17.9655,1.76349,0.0408376,0.458855,1.20169,0.528498,0.890569
8,481.283,1,17.168,29.0324,17.7006,1.65571,0.0397121,0.457325,1.28098,0.51814,0.963384
9,474.334,1,17.1976,28.8514,17.171,1.68148,0.033993,0.460684,1.27028,0.522102,0.880115
10,468.45,1,17.3028,29.1384,17.2798,1.6585,0.0308751,0.463668,1.3091,0.509958,0.878369
11,463.389,1,17.0753,29.6759,16.8882,1.55745,0.0321132,0.464353,1.30943,0.51534,0.938066
12,463.066,1,17.1689,29.4473,15.9654,1.64587,0.0261096,0.465988,1.29471,0.533082,0.904442
13,462.113,1,17.0651,28.3348,16.7926,1.60407,0.0261929,0.464783,1.3647,0.515737,1.00594
14,454.193,1,17.1161,28.1211,18.1589,1.55637,0.0225614,0.47113,1.36964,0.53046,1.02044
15,449.381,1,17.034,27.861,18.7938,1.55633,0.0206996,0.464984,1.1862,0.528504,1.08924
16,444.708,1,17.0154,28.0812,19.4894,1.55625,0.0176572,0.461704,1.1862,0.523908,1.07488
17,443.908,1,17.0256,27.9358,17.9861,1.60252,0.0149446,0.459422,1.15662,0.540075,0.928897
18,450.415,1,17.0511,27.7534,17.5691,1.5889,0.0195363,0.463977,1.17253,0.540384,1.0223
19,448.167,1,17.1677,27.5015,16.3015,1.54876,0.0193837,0.464585,1.18802,0.555622,1.07173
20,443.837,1,17.0395,28.6432,16.8652,1.5487,0.0177359,0.461821,1.19197,0.53423,1.02613
21,439.41,1,16.9626,27.9902,18.2887,1.50493,0.0154882,0.468005,1.22093,0.542082,1.08408
22,436.959,1,17.0116,27.699,18.0487,1.50494,0.0160176,0.458555,1.10373,0.550508,1.05946
23,426.985,1,16.9592,28.3925,17.5238,1.52067,2.51946e-06,0.467015,1.0915,0.553733,0.998759
24,423.506,1,17.0528,28.4579,17.5057,1.49285,2.22045e-16,0.464994,1.14966,0.545054,0.960572
25,424.251,1,16.9788,29.2038,17.683,1.50906,2.22045e-16,0.463556,1.0958,0.525729,0.993895
26,423.224,1,16.996,29.6559,15.666,1.52601,9.684e-07,0.452765,1.07634,0.524828,0.903965
27,420.444,1,16.9441,29.3508,16.2799,1.51559,2.22045e-16,0.456986,1.05567,0.542961,0.821237
28,429.428,1,17.1296,29.2353,15.7298,1.5698,2.22045e-16,0.456927,1.14388,0.532517,0.872645
29,431.736,1,17.2106,28.8258,17.6024,1.57081,2.22045e-16,0.456787,1.22239,0.526649,0.912428
30,434.018,1,17.1355,28.5801,16.2025,1.59559,2.22045e-16,0.4557,1.19446,0.535075,0.901275
31,423.034,1,16.9599,28.3823,16.102,1.51991,2.22045e-16,0.457484,1.13069,0.538084,0.846693
32,427.94,1,16.9498,28.4061,16.7011,1.57796,2.22045e-16,0.455371,1.09091,0.52669,0.830503
33,424.14,1,16.8855,28.6933,16.7558,1.55348,2.22045e-16,0.45743,1.00844,0.529159,0.850875
34,423.056,1,16.9335,28.7394,16.4578,1.55881,2.22045e-16,0.462801,1.01045,0.530276,0.774859
35,423.835,1,17.0972,29.0174,16.6341,1.54204,2.22045e-16,0.463445,1.03477,0.533953,0.849435
36,426.678,1,17.1177,28.7804,16.9866,1.54144,2.22045e-16,0.462293,1.15577,0.546897,0.850312
37,422.57,1,17.0927,28.9297,16.2658,1.52391,2.22045e-16,0.465003,1.12677,0.549411,0.78595
38,419.609,1,17.1075,28.5938,16.8809,1.50473,2.22045e-16,0.465372,1.08012,0.540252,0.805262
39,425.887,1,17.2548,28.6396,17.1623,1.54909,1.034e-05,0.456292,1.13884,0.540779,0.819252
40,427.37,1,17.0878,28.9053,16.1446,1.57257,0.00609947,0.464668,1.02523,0.538058,0.787881
41,431.772,1,17.0433,29.2468,17.2505,1.58606,0.0104156,0.464189,0.95172,0.533051,0.855769
42,426.748,1,16.9938,29.0197,16.9982,1.57692,2.22045e-16,0.457287,0.953274,0.543635,0.873991
43,422.526,1,17.0731,28.8149,16.6017,1.52748,2.22045e-16,0.46257,1.01048,0.542145,0.873685
44,426.693,1,17.0346,28.5265,15.6443,1.55725,7.68119e-07,0.460399,1.01889,0.548753,0.889075
45,421.53,1,17.0625,29.1979,15.5903,1.53195,2.22045e-16,0.464509,0.98124,0.533218,0.851316
46,420.69,1,17.0685,29.1504,13.8266,1.54366,2.22045e-16,0.455841,0.936397,0.531579,0.82595
47,426.178,1,17.0396,29.2158,14.6257,1.55811,2.22045e-16,0.459254,0.931738,0.53643,0.970455
48,424.774,1,17.0207,29.1243,15.5806,1.54642,2.22045e-16,0.464763,1.00234,0.530109,0.899008
49,426.786,1,17.0551,28.8476,15.7313,1.55571,2.22045e-16,0.467164,1.04519,0.528785,0.897939
50,427.345,1,16.9352,28.838,17.0566,1.56923,2.22045e-16,0.461812,0.971447,0.53063,0.92972
51,425.97,1,17.0149,28.8365,16.8638,1.54423,2.22045e-16,0.465763,1.03109,0.528449,0.934124
52,420.829,1,17.028,29.7573,16.2028,1.53116,2.22045e-16,0.46244,0.966474,0.517832,0.86942
53,425.548,1,17.0214,29.359,15.9114,1.58145,2.22045e-16,0.461736,1.01531,0.522436,0.78144
54,423.653,1,17.1366,29.2684,16.5373,1.56503,2.22045e-16,0.46023,0.987625,0.528383,0.796329
55,427.541,1,16.887,28.9405,16.0237,1.57217,2.48082e-06,0.46527,1.00206,0.522722,0.903186
56,423.363,1,16.934,29.1874,15.8487,1.53532,2.22045e-16,0.467001,1.05713,0.531998,0.841441
57,425.409,1,16.9425,29.0882,15.9345,1.55935,0.00501685,0.462223,1.04707,0.536666,0.780068
58,422.241,1,16.9661,29.4166,15.3349,1.54927,2.22045e-16,0.465213,0.991893,0.528407,0.800184
59,422.076,1,17.116,29.2925,15.9624,1.56355,2.22045e-16,0.464195,0.954644,0.526147,0.771108
60,425.59,1,17.1949,29.6449,15.2132,1.57985,2.22045e-16,0.46512,1.05091,0.521309,0.760631
61,432.379,1,17.1358,29.1781,13.9611,1.61369,2.22045e-16,0.463726,1.10187,0.520041,0.833828
62,432.583,1,17.0084,29.7669,14.761,1.61674,2.22045e-16,0.466891,1.13055,0.525484,0.793241
63,437.17,1,17.014,29.7145,14.5913,1.64343,2.22045e-16,0.467292,1.16123,0.52128,0.840724
64,429.226,1,17.0572,29.5924,15.2639,1.56032,2.22045e-16,0.471596,1.1964,0.522829,0.8547
65,429.991,1,17.128,29.5026,15.0502,1.57595,2.22045e-16,0.466079,1.14215,0.520906,0.871078
66,425.725,1,17.1013,29.7481,14.2998,1.54492,2.22045e-16,0.459643,1.09492,0.515801,0.900013
67,429.781,1,17.0263,29.907,16.2269,1.55564,2.22045e-16,0.464082,1.14181,0.515283,0.972611
68,427.161,1,17.1159,30.4154,16.5342,1.53007,2.22045e-16,0.468099,1.10108,0.516102,1.01481
69,424.698,1,17.0921,30.2416,17.985,1.52355,2.22045e-16,0.469138,0.961986,0.516774,1.07214
70,433.753,1,16.9957,30.2788,18.7816,1.58566,2.22045e-16,0.460958,1.06493,0.512753,1.0812
71,428.104,1,17.133,30.4585,19.2724,1.5388,2.22045e-16,0.465378,1.02924,0.504551,1.11325
72,429.63,1,17.1269,30.3112,19.5544,1.52833,2.22045e-16,0.46321,1.12247,0.501128,1.17093
73,425.688,1,17.1236,30.2822,19.3732,1.51634,2.22045e-16,0.460492,1.10547,0.504044,1.05885
74,428.858,1,16.9568,29.7862,20.8311,1.53198,2.22045e-16,0.461413,1.13655,0.517636,1.06369
75,428.048,1,17.0011,29.8522,20.3065,1.54143,2.22045e-16,0.464197,1.13846,0.511024,0.978836
76,430.017,1,16.9164,29.7506,21.1935,1.53226,2.22045e-16,0.469947,1.18101,0.506987,1.07938
77,424.794,1,16.9985,29.2221,18.8309,1.49941,2.22045e-16,0.463233,1.12199,0.516567,1.06584
78,422.807,1,17.0294,29.0626,18.8594,1.49497,2.22045e-16,0.46541,1.10932,0.514702,1.0077
79,418.996,1,17.0352,29.578,18.5509,1.47119,0.00299456,0.462286,1.11361,0.507034,0.963483
80,426.466,1,16.9959,29.4954,19.6278,1.50975,2.22045e-16,0.460656,1.16943,0.515878,1.05055
81,424.998,1,16.9335,29.6985,18.9737,1.51498,2.22045e-16,0.459086,1.15179,0.51809,0.967721
82,429.489,1,16.9051,29.8666,19.97,1.55006,2.22045e-16,0.459882,1.13586,0.518148,0.995821
83,422.953,1,16.8823,29.7462,22.839,1.49703,2.22045e-16,0.460762,1.06547,0.518365,1.04397
84,419.248,1,16.9997,29.6953,20.5434,1.48272,2.22045e-16,0.457969,1.02626,0.521933,0.990788
85,425.432,1,17.0052,30.1971,19.7927,1.52935,2.22045e-16,0.458589,1.06746,0.510282,0.999551
86,422.23,1,16.909,30.1585,19.2929,1.51881,2.22045e-16,0.465307,1.08786,0.497548,0.90757
87,428.792,1,16.988,30.0153,19.7482,1.56212,2.22045e-16,0.464364,1.06388,0.500744,0.99074
88,431.254,1,17.0066,30.0675,19.913,1.56908,2.22045e-16,0.467209,1.10309,0.488639,1.05044
89,429.545,1,16.9599,30.3318,20.0298,1.55824,2.22045e-16,0.458882,1.02987,0.490752,1.11602
90,422.905,1,17.1227,30.2248,18.8932,1.50557,2.22045e-16,0.458315,1.04069,0.487904,1.08974
91,418.637,1,17.1323,29.5014,20.5488,1.46839,2.22045e-16,0.460419,1.01314,0.485939,1.13308
92,418.636,1,16.8845,29.5078,18.4138,1.48811,2.22045e-16,0.465989,0.973034,0.48658,1.0462
93,423.891,1,16.9468,29.477,18.0684,1.53809,2.22045e-16,0.460206,0.994413,0.489863,0.994884
94,424.779,1,17.0074,29.2281,18.6886,1.51674,2.22045e-16,0.466664,1.07842,0.498684,1.0372
95,423.814,1,17.0988,28.9775,19.1403,1.50721,2.22045e-16,0.461429,1.09442,0.491292,1.05707
96,425.619,1,17.014,29.2128,18.71,1.51683,2.22045e-16,0.462492,1.10194,0.496328,1.06872
97,420.149,1,17.0988,29.3958,17.8693,1.44397,2.22045e-16,0.462197,1.11917,0.505888,1.20532
98,420.512,1,17.1308,29.0368,18.3271,1.44875,2.22045e-16,0.458453,1.10309,0.507,1.21801
99,423.048,1,16.8915,29.2663,17.7923,1.49133,2.22045e-16,0.463845,1.07154,0.499626,1.11317
100,424.139,1,17.0141,29.3554,18.4638,1.47608,2.22045e-16,0.464351,1.12315,0.507486,1.1931
101,421.305,1,16.9605,29.2788,17.514,1.48195,2.22045e-16,0.463946,1.10979,0.504505,1.0347
102,418.411,1,16.9506,29.4004,18.0198,1.48021,2.22045e-16,0.45985,1.03284,0.508098,0.985692
103,432.529,1,17.0533,30.1141,16.6316,1.58477,2.22045e-16,0.467155,1.1685,0.491867,0.962232
104,424.232,1,17.1486,29.5554,17.8984,1.51199,2.22045e-16,0.470245,1.1412,0.50156,0.963065
105,427.901,1,17.1785,29.7845,18.047,1.51964,2.22045e-16,0.466723,1.08117,0.502304,1.1655
106,426.676,1,17.0515,29.981,18.8262,1.50539,2.22045e-16,0.465748,1.14738,0.495909,1.13775
107,422.828,1,16.9818,30.2689,18.5209,1.46293,2.22045e-16,0.472179,1.17143,0.507654,1.13919
108,426.226,1,16.9362,30.1567,18.35,1.49466,2.22045e-16,0.467841,1.11282,0.50359,1.19563
109,424.809,1,16.9694,29.9704,18.1493,1.48236,2.22045e-16,0.464887,1.20974,0.508407,1.09982
110,427.031,1,16.9341,29.9278,17.8851,1.51384,2.22045e-16,0.46498,1.18192,0.501544,1.06353
111,420.977,1,17.0865,29.9714,19.9335,1.47031,2.22045e-16,0.461536,1.09397,0.508511,1.09949
112,420.445,1,17.0882,30.6278,19.6302,1.47883,2.22045e-16,0.465001,1.08953,0.497629,1.04348
113,420.671,1,17.1006,30.2489,18.3069,1.48094,2.22045e-16,0.4568,1.12812,0.492994,1.03297
114,418.475,1,17.004,30.2588,15.8385,1.48068,2.22045e-16,0.463455,1.14526,0.494543,0.905879
115,420.2,1,17.0409,30.2376,15.6273,1.49848,2.22045e-16,0.458986,1.19877,0.480543,0.884212
116,417.722,1,17.0936,29.8,16.487,1.48667,2.22045e-16,0.461806,1.07925,0.487634,0.914892
117,425.545,1,17.1723,30.1655,15.0311,1.54526,2.22045e-16,0.461428,1.08086,0.483922,0.959147
118,428.442,1,17.1563,30.4517,13.8467,1.55616,2.22045e-16,0.463701,1.16262,0.488261,0.948163
119,420.46,1,17.1628,30.1912,15.4326,1.52309,2.22045e-16,0.464416,1.14635,0.484273,0.799059
120,426.386,1,17.0347,30.1509,15.3988,1.53707,0.00811032,0.461267,1.17022,0.48027,0.842182
121,427.87,1,17.03,30.4437,16.893,1.57465,0.000802187,0.463882,1.14864,0.480366,0.859316
122,434.396,1,17.0322,30.126,16.0957,1.61009,2.22045e-16,0.467278,1.23865,0.485672,0.879621
123,425.973,1,17.0109,29.9458,16.1923,1.56004,2.22045e-16,0.464435,1.27908,0.485723,0.756262
