standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-1.74205,0.158506,-2.23916,0.0355877,-2.5858,0.0707517,-2.59652,0.0185999,All
-1.42498,0.384944,-1.83568,0,-2.1799,0.0707517,-2.21053,0.0371998,All
-1.10792,0.135863,-1.4322,0.160145,-1.774,0.159191,-1.82453,0.130199,All
-0.790859,0.135863,-1.02871,0.23132,-1.36811,0.159191,-1.43853,0.0929994,All
-0.473797,0.611382,-0.625233,0.516022,-0.962208,0.229943,-1.05254,0.353398,All
-0.156735,0.407588,-0.221752,0.569404,-0.556311,0.212255,-0.66654,0.390597,All
0.160328,0.135863,0.181729,0.391465,-0.150413,0.265319,-0.280544,0.390597,All
0.47739,0.294369,0.58521,0.302496,0.255484,0.548326,0.105453,0.297598,All
0.794452,0.317013,0.988691,0.213526,0.661382,0.548326,0.491449,0.353398,All
1.11151,0.498163,1.39217,0.0533816,1.06728,0.141503,0.877446,0.223199,All
1.42858,0.158506,1.79565,0.0355877,1.47318,0.159191,1.26344,0.241798,All
1.74564,0.113219,2.19913,0.0533816,1.87907,0.0353759,1.64944,0.241798,All
2.0627,0.0452875,2.60262,0.106763,2.28497,0.0530638,2.03544,0.0185999,All
