standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,standEta_V2_abscissa,standEta_V2_cdf,split
-1.17593,0.186667,-0.756152,0.186667,-1.04311,0.186667,-0.95663,0.186667,All
-1.14911,0.193333,-0.735827,0.193333,-1.01117,0.193333,-0.944224,0.193333,All
-1.12833,0.2,-0.707997,0.2,-0.991385,0.2,-0.934526,0.2,All
-0.839318,0.206667,-0.673821,0.206667,-0.934394,0.206667,-0.923265,0.206667,All
-0.794441,0.213333,-0.669344,0.213333,-0.92731,0.213333,-0.904874,0.213333,All
-0.699333,0.22,-0.65862,0.22,-0.89283,0.22,-0.901933,0.22,All
-0.680418,0.226667,-0.627352,0.226667,-0.88839,0.226667,-0.890958,0.226667,All
-0.676899,0.233333,-0.622579,0.233333,-0.855376,0.233333,-0.795078,0.233333,All
-0.647133,0.24,-0.610007,0.24,-0.835168,0.24,-0.792032,0.24,All
-0.607144,0.246667,-0.605295,0.246667,-0.814956,0.246667,-0.780908,0.246667,All
-0.588296,0.253333,-0.595604,0.253333,-0.785505,0.253333,-0.773202,0.253333,All
-0.584259,0.26,-0.592414,0.26,-0.779151,0.26,-0.772579,0.26,All
-0.548782,0.266667,-0.579047,0.266667,-0.716963,0.266667,-0.765134,0.266667,All
-0.525395,0.273333,-0.55654,0.273333,-0.619207,0.273333,-0.738051,0.273333,All
-0.521302,0.28,-0.539514,0.28,-0.601434,0.28,-0.720306,0.28,All
-0.498028,0.286667,-0.528104,0.286667,-0.598494,0.286667,-0.684329,0.286667,All
-0.477468,0.293333,-0.524538,0.293333,-0.570024,0.293333,-0.683168,0.293333,All
-0.473548,0.3,-0.518141,0.3,-0.540262,0.3,-0.676722,0.3,All
-0.470842,0.306667,-0.514747,0.306667,-0.508088,0.306667,-0.635281,0.306667,All
-0.459539,0.313333,-0.502803,0.313333,-0.498508,0.313333,-0.62135,0.313333,All
-0.459459,0.32,-0.497117,0.32,-0.439738,0.32,-0.613138,0.32,All
-0.448614,0.326667,-0.469685,0.326667,-0.398169,0.326667,-0.601151,0.326667,All
-0.443886,0.333333,-0.469383,0.333333,-0.396181,0.333333,-0.600693,0.333333,All
-0.414765,0.34,-0.467056,0.34,-0.364,0.34,-0.578736,0.34,All
-0.406382,0.346667,-0.43109,0.346667,-0.296997,0.346667,-0.566072,0.346667,All
-0.405382,0.353333,-0.428125,0.353333,-0.275764,0.353333,-0.549624,0.353333,All
-0.396551,0.36,-0.404023,0.36,-0.246877,0.36,-0.506646,0.36,All
-0.389147,0.366667,-0.401448,0.366667,-0.243358,0.366667,-0.500799,0.366667,All
-0.38071,0.373333,-0.399197,0.373333,-0.226986,0.373333,-0.45304,0.373333,All
-0.367627,0.38,-0.388282,0.38,-0.224879,0.38,-0.411042,0.38,All
-0.365721,0.386667,-0.361449,0.386667,-0.172463,0.386667,-0.389405,0.386667,All
-0.356178,0.393333,-0.359623,0.393333,-0.140896,0.393333,-0.353428,0.393333,All
-0.34604,0.4,-0.355036,0.4,-0.105101,0.4,-0.336727,0.4,All
-0.345913,0.406667,-0.353415,0.406667,-0.0657241,0.406667,-0.326558,0.406667,All
-0.344108,0.413333,-0.347517,0.413333,-0.0345127,0.413333,-0.308026,0.413333,All
-0.328817,0.42,-0.336424,0.42,-0.0298146,0.42,-0.295773,0.42,All
-0.30961,0.426667,-0.311807,0.426667,-8.0076e-05,0.426667,-0.285054,0.426667,All
-0.304249,0.433333,-0.306395,0.433333,0.0116099,0.433333,-0.282184,0.433333,All
-0.287943,0.44,-0.292537,0.44,0.0477428,0.44,-0.26072,0.44,All
-0.268712,0.446667,-0.291505,0.446667,0.115608,0.446667,-0.235714,0.446667,All
-0.264441,0.453333,-0.278596,0.453333,0.1274,0.453333,-0.215422,0.453333,All
-0.264201,0.46,-0.274293,0.46,0.144721,0.46,-0.206088,0.46,All
-0.259022,0.466667,-0.270822,0.466667,0.163188,0.466667,-0.181533,0.466667,All
-0.25769,0.473333,-0.270598,0.473333,0.185307,0.473333,-0.181245,0.473333,All
-0.221998,0.48,-0.186545,0.48,0.186667,0.48,-0.169196,0.48,All
-0.203954,0.486667,-0.15219,0.486667,0.187484,0.486667,-0.156734,0.486667,All
-0.179218,0.493333,-0.135743,0.493333,0.207243,0.493333,-0.144761,0.493333,All
-0.173485,0.5,-0.119464,0.5,0.231269,0.5,-0.133062,0.5,All
-0.156397,0.506667,-0.119197,0.506667,0.240123,0.506667,-0.116596,0.506667,All
-0.137363,0.513333,-0.108352,0.513333,0.25714,0.513333,-0.0766823,0.513333,All
-0.108069,0.52,-0.0990029,0.52,0.257398,0.52,-0.0738365,0.52,All
-0.0695927,0.526667,-0.0986138,0.526667,0.278663,0.526667,-0.0638246,0.526667,All
-0.0254768,0.533333,-0.0920515,0.533333,0.288417,0.533333,-0.0433656,0.533333,All
-0.0175793,0.54,-0.0736438,0.54,0.301072,0.54,-0.0186674,0.54,All
0.107999,0.546667,-0.0690179,0.546667,0.311418,0.546667,0.0163446,0.546667,All
0.179526,0.553333,-0.0386678,0.553333,0.319727,0.553333,0.0261477,0.553333,All
0.19131,0.56,-0.0386023,0.56,0.345784,0.56,0.0781346,0.56,All
0.199219,0.566667,-0.0287243,0.566667,0.348089,0.566667,0.103974,0.566667,All
0.268866,0.573333,-0.0187589,0.573333,0.35264,0.573333,0.105585,0.573333,All
0.317761,0.58,0.00100637,0.58,0.359149,0.58,0.12924,0.58,All
0.332004,0.586667,0.0424613,0.586667,0.360688,0.586667,0.143586,0.586667,All
0.353443,0.593333,0.0552217,0.593333,0.372346,0.593333,0.144669,0.593333,All
0.394747,0.6,0.0561859,0.6,0.382911,0.6,0.150737,0.6,All
0.400561,0.606667,0.0573891,0.606667,0.400838,0.606667,0.179953,0.606667,All
0.415332,0.613333,0.0639092,0.613333,0.405587,0.613333,0.289883,0.613333,All
0.452186,0.62,0.0707608,0.62,0.417721,0.62,0.343898,0.62,All
0.458924,0.626667,0.122139,0.626667,0.420848,0.626667,0.362932,0.626667,All
0.477065,0.633333,0.14057,0.633333,0.434855,0.633333,0.383592,0.633333,All
0.548195,0.64,0.160648,0.64,0.439295,0.64,0.396582,0.64,All
0.548453,0.646667,0.162252,0.646667,0.45596,0.646667,0.430567,0.646667,All
0.578306,0.653333,0.172268,0.653333,0.462795,0.653333,0.503617,0.653333,All
0.59551,0.66,0.195953,0.66,0.477636,0.66,0.509541,0.66,All
0.6265,0.666667,0.213417,0.666667,0.485111,0.666667,0.510529,0.666667,All
0.647447,0.673333,0.226567,0.673333,0.486096,0.673333,0.516417,0.673333,All
0.691054,0.68,0.234354,0.68,0.496312,0.68,0.520363,0.68,All
0.73036,0.686667,0.291048,0.686667,0.498234,0.686667,0.54671,0.686667,All
0.761419,0.693333,0.295288,0.693333,0.507755,0.693333,0.561826,0.693333,All
0.813199,0.7,0.299554,0.7,0.510274,0.7,0.597762,0.7,All
0.814185,0.706667,0.321034,0.706667,0.539416,0.706667,0.604814,0.706667,All
0.822017,0.713333,0.360192,0.713333,0.553463,0.713333,0.627428,0.713333,All
0.860598,0.72,0.402872,0.72,0.560384,0.72,0.627985,0.72,All
0.870251,0.726667,0.404922,0.726667,0.571588,0.726667,0.631116,0.726667,All
0.873439,0.733333,0.412718,0.733333,0.571916,0.733333,0.64263,0.733333,All
0.89194,0.74,0.413923,0.74,0.607292,0.74,0.655586,0.74,All
0.892781,0.746667,0.441656,0.746667,0.61091,0.746667,0.702592,0.746667,All
0.92251,0.753333,0.500938,0.753333,0.622643,0.753333,0.714194,0.753333,All
0.928816,0.76,0.528357,0.76,0.641572,0.76,0.718891,0.76,All
0.953368,0.766667,0.531711,0.766667,0.648862,0.766667,0.729498,0.766667,All
0.987055,0.773333,0.548179,0.773333,0.684512,0.773333,0.791664,0.773333,All
0.990492,0.78,0.549566,0.78,0.687042,0.78,0.855005,0.78,All
0.991244,0.786667,0.584564,0.786667,0.690617,0.786667,0.865936,0.786667,All
1.00866,0.793333,0.603801,0.793333,0.720079,0.793333,0.893243,0.793333,All
1.01585,0.8,0.658456,0.8,0.730854,0.8,0.898744,0.8,All
1.02385,0.806667,0.713343,0.806667,0.733137,0.806667,0.910702,0.806667,All
1.0504,0.813333,0.714756,0.813333,0.735098,0.813333,1.00304,0.813333,All
1.07773,0.82,0.714949,0.82,0.745636,0.82,1.06207,0.82,All
1.08163,0.826667,0.776708,0.826667,0.777837,0.826667,1.09452,0.826667,All
1.08597,0.833333,0.848236,0.833333,0.787841,0.833333,1.1445,0.833333,All
1.0995,0.84,0.850973,0.84,0.792722,0.84,1.16537,0.84,All
1.1104,0.846667,0.904804,0.846667,0.818339,0.846667,1.18156,0.846667,All
1.12375,0.853333,0.921968,0.853333,0.861262,0.853333,1.2635,0.853333,All
1.13214,0.86,0.940206,0.86,0.964277,0.86,1.29495,0.86,All
1.13586,0.866667,0.964992,0.866667,1.01876,0.866667,1.29911,0.866667,All
1.13805,0.873333,0.984824,0.873333,1.02142,0.873333,1.31855,0.873333,All
1.15546,0.88,0.99329,0.88,1.03486,0.88,1.33054,0.88,All
1.17364,0.886667,1.03419,0.886667,1.04856,0.886667,1.33688,0.886667,All
1.18895,0.893333,1.04768,0.893333,1.06747,0.893333,1.36716,0.893333,All
1.19593,0.9,1.07912,0.9,1.06776,0.9,1.42008,0.9,All
1.21284,0.906667,1.09333,0.906667,1.24399,0.906667,1.42187,0.906667,All
1.27927,0.913333,1.20446,0.913333,1.27515,0.913333,1.48436,0.913333,All
1.33642,0.92,1.45386,0.92,1.29362,0.92,1.51236,0.92,All
1.39332,0.926667,1.54724,0.926667,1.3041,0.926667,1.52578,0.926667,All
1.39529,0.933333,1.68483,0.933333,1.40796,0.933333,1.54573,0.933333,All
1.423,0.94,1.99616,0.94,1.42447,0.94,1.55185,0.94,All
1.49412,0.946667,2.15136,0.946667,1.49075,0.946667,1.59086,0.946667,All
1.5573,0.953333,2.18182,0.953333,1.52495,0.953333,1.62419,0.953333,All
1.61866,0.96,2.37404,0.96,1.58918,0.96,1.6386,0.96,All
1.63654,0.966667,2.40592,0.966667,1.6709,0.966667,1.68091,0.966667,All
1.73024,0.973333,2.51113,0.973333,1.71889,0.973333,1.70992,0.973333,All
1.82839,0.98,2.58563,0.98,1.96313,0.98,1.738,0.98,All
1.89216,0.986667,2.5875,0.986667,2.25228,0.986667,1.78499,0.986667,All
1.91069,0.993333,2.69005,0.993333,2.34546,0.993333,1.82161,0.993333,All
2.22123,1,2.80436,1,2.48792,1,2.22843,1,All
4,1,4,1,4,1,4,1,All
