time,median,p5,p15,p25,p35,p45,p55,p65,p75,p85,p95,split
2.22045e-16,4.26832e-14,1.33143e-14,2.41501e-14,3.13969e-14,3.64497e-14,4.06687e-14,4.46927e-14,4.9313e-14,5.51659e-14,6.42417e-14,8.35705e-14,All
2.41121e-16,4.6166e-14,1.70519e-14,2.88874e-14,3.53326e-14,4.00137e-14,4.40896e-14,4.83246e-14,5.31363e-14,5.93735e-14,6.9094e-14,8.96939e-14,All
2.61835e-16,4.98198e-14,2.15143e-14,3.29613e-14,3.88746e-14,4.33737e-14,4.76329e-14,5.20917e-14,5.71758e-14,6.38945e-14,7.41079e-14,9.61426e-14,All
2.8433e-16,5.3603e-14,2.61248e-14,3.66454e-14,4.2327e-14,4.68635e-14,5.13071e-14,5.60052e-14,6.16335e-14,6.87444e-14,7.98357e-14,1.03346e-13,All
3.08757e-16,5.77479e-14,3.08522e-14,4.02127e-14,4.58291e-14,5.05629e-14,5.52684e-14,6.0445e-14,6.64338e-14,7.40003e-14,8.58649e-14,1.11327e-13,All
3.35282e-16,6.23974e-14,3.4595e-14,4.37128e-14,4.9511e-14,5.45783e-14,5.96757e-14,6.52041e-14,7.16386e-14,7.98501e-14,9.23798e-14,1.20162e-13,All
3.64086e-16,6.73708e-14,3.81284e-14,4.74234e-14,5.35039e-14,5.89971e-14,6.44735e-14,7.04903e-14,7.72119e-14,8.61799e-14,9.98911e-14,1.29409e-13,All
3.95365e-16,7.29702e-14,4.16088e-14,5.14221e-14,5.79981e-14,6.39239e-14,6.9859e-14,7.61522e-14,8.34457e-14,9.31752e-14,1.08018e-13,1.3999e-13,All
4.29331e-16,7.88313e-14,4.543e-14,5.56905e-14,6.29295e-14,6.92719e-14,7.55894e-14,8.23483e-14,9.02942e-14,1.00702e-13,1.16671e-13,1.51671e-13,All
4.66215e-16,8.5532e-14,4.93623e-14,6.0679e-14,6.83216e-14,7.52066e-14,8.19933e-14,8.92408e-14,9.80303e-14,1.09143e-13,1.26669e-13,1.63784e-13,All
5.06268e-16,9.27769e-14,5.38258e-14,6.60348e-14,7.43133e-14,8.16907e-14,8.89741e-14,9.68919e-14,1.06202e-13,1.1865e-13,1.37554e-13,1.77561e-13,All
5.49762e-16,1.00772e-13,5.88471e-14,7.18876e-14,8.09816e-14,8.87475e-14,9.66091e-14,1.05135e-13,1.15265e-13,1.2855e-13,1.49015e-13,1.922e-13,All
5.96992e-16,1.09387e-13,6.44326e-14,7.8515e-14,8.81305e-14,9.65573e-14,1.04911e-13,1.13971e-13,1.25035e-13,1.39467e-13,1.61527e-13,2.08843e-13,All
6.4828e-16,1.18648e-13,7.04792e-14,8.56113e-14,9.57386e-14,1.04761e-13,1.1381e-13,1.23751e-13,1.35754e-13,1.51195e-13,1.75151e-13,2.26088e-13,All
7.03974e-16,1.28651e-13,7.68391e-14,9.30456e-14,1.03891e-13,1.13636e-13,1.23488e-13,1.34268e-13,1.47128e-13,1.64146e-13,1.89732e-13,2.45308e-13,All
7.64453e-16,1.39707e-13,8.41593e-14,1.01327e-13,1.12948e-13,1.23492e-13,1.34043e-13,1.4589e-13,1.59848e-13,1.78061e-13,2.05974e-13,2.65961e-13,All
8.30127e-16,1.51649e-13,9.19765e-14,1.10153e-13,1.22796e-13,1.33991e-13,1.45471e-13,1.58134e-13,1.73263e-13,1.93372e-13,2.23537e-13,2.88383e-13,All
9.01444e-16,1.64467e-13,1.00185e-13,1.19941e-13,1.33435e-13,1.45625e-13,1.58004e-13,1.71649e-13,1.88281e-13,2.09845e-13,2.42605e-13,3.13698e-13,All
9.78887e-16,1.78666e-13,1.08749e-13,1.30389e-13,1.45007e-13,1.58105e-13,1.71572e-13,1.86345e-13,2.04402e-13,2.27777e-13,2.631e-13,3.39996e-13,All
1.06298e-15,1.93933e-13,1.18577e-13,1.41663e-13,1.57489e-13,1.71681e-13,1.86281e-13,2.02346e-13,2.2183e-13,2.47433e-13,2.85841e-13,3.68812e-13,All
1.15431e-15,2.10567e-13,1.29412e-13,1.53831e-13,1.70973e-13,1.86424e-13,2.02129e-13,2.19737e-13,2.40968e-13,2.68639e-13,3.10178e-13,4.00806e-13,All
1.25347e-15,2.28586e-13,1.40559e-13,1.67448e-13,1.85703e-13,2.02376e-13,2.19708e-13,2.38314e-13,2.61145e-13,2.91541e-13,3.36552e-13,4.33976e-13,All
1.36116e-15,2.4824e-13,1.52965e-13,1.81857e-13,2.01859e-13,2.19842e-13,2.38239e-13,2.58987e-13,2.83547e-13,3.16599e-13,3.65497e-13,4.71838e-13,All
1.4781e-15,2.69431e-13,1.66228e-13,1.97715e-13,2.19085e-13,2.38777e-13,2.58822e-13,2.81301e-13,3.0812e-13,3.43376e-13,3.97079e-13,5.11897e-13,All
1.60508e-15,2.92829e-13,1.80603e-13,2.14554e-13,2.38244e-13,2.59271e-13,2.81227e-13,3.05447e-13,3.34139e-13,3.73149e-13,4.30951e-13,5.55783e-13,All
1.74297e-15,3.17649e-13,1.96408e-13,2.33275e-13,2.58592e-13,2.8166e-13,3.05006e-13,3.31168e-13,3.63389e-13,4.05042e-13,4.67414e-13,6.03051e-13,All
1.89271e-15,3.44921e-13,2.13664e-13,2.53499e-13,2.80796e-13,3.05629e-13,3.31378e-13,3.60075e-13,3.9416e-13,4.40092e-13,5.07872e-13,6.55777e-13,All
2.05532e-15,3.74754e-13,2.32172e-13,2.75206e-13,3.04937e-13,3.32161e-13,3.59831e-13,3.90725e-13,4.28007e-13,4.77433e-13,5.51295e-13,7.11264e-13,All
2.23189e-15,4.06815e-13,2.52389e-13,2.98691e-13,3.31154e-13,3.60199e-13,3.90741e-13,4.24549e-13,4.64709e-13,5.18736e-13,5.98896e-13,7.7307e-13,All
2.42363e-15,4.41834e-13,2.73837e-13,3.24485e-13,3.59512e-13,3.91557e-13,4.24407e-13,4.60678e-13,5.04945e-13,5.63231e-13,6.49872e-13,8.3882e-13,All
2.63185e-15,4.79946e-13,2.97953e-13,3.52679e-13,3.90745e-13,4.25227e-13,4.60881e-13,5.00627e-13,5.47726e-13,6.11455e-13,7.05962e-13,9.10524e-13,All
2.85795e-15,5.20751e-13,3.23105e-13,3.83048e-13,4.24212e-13,4.61508e-13,5.00021e-13,5.43419e-13,5.95386e-13,6.6436e-13,7.6661e-13,9.87154e-13,All
3.10348e-15,5.65727e-13,3.50743e-13,4.1581e-13,4.60557e-13,5.01509e-13,5.43267e-13,5.89858e-13,6.46431e-13,7.21116e-13,8.3192e-13,1.07231e-12,All
3.3701e-15,6.14306e-13,3.8154e-13,4.51394e-13,5.00139e-13,5.44426e-13,5.89927e-13,6.40083e-13,7.01876e-13,7.83417e-13,9.03528e-13,1.16635e-12,All
3.65963e-15,6.66822e-13,4.14278e-13,4.90527e-13,5.43255e-13,5.91289e-13,6.40415e-13,6.95719e-13,7.62106e-13,8.50049e-13,9.81747e-13,1.26639e-12,All
3.97403e-15,7.24471e-13,4.4967e-13,5.32804e-13,5.89812e-13,6.41824e-13,6.95718e-13,7.54928e-13,8.27501e-13,9.22862e-13,1.06529e-12,1.3753e-12,All
4.31544e-15,7.86595e-13,4.88499e-13,5.78185e-13,6.40286e-13,6.97106e-13,7.55179e-13,8.19853e-13,8.98875e-13,1.00296e-12,1.15669e-12,1.49365e-12,All
4.68618e-15,8.53917e-13,5.30501e-13,6.28199e-13,6.95618e-13,7.56894e-13,8.20258e-13,8.90623e-13,9.75641e-13,1.08923e-12,1.2553e-12,1.6212e-12,All
5.08877e-15,9.27472e-13,5.77044e-13,6.82388e-13,7.5549e-13,8.21918e-13,8.90423e-13,9.67328e-13,1.05962e-12,1.18291e-12,1.36327e-12,1.76141e-12,All
5.52595e-15,1.00719e-12,6.26576e-13,7.40746e-13,8.20203e-13,8.92689e-13,9.67092e-13,1.04985e-12,1.1503e-12,1.28449e-12,1.48078e-12,1.9111e-12,All
6.00069e-15,1.09381e-12,6.78881e-13,8.03893e-13,8.90003e-13,9.69379e-13,1.05054e-12,1.1394e-12,1.24875e-12,1.39437e-12,1.60854e-12,2.07502e-12,All
6.51621e-15,1.18762e-12,7.37664e-13,8.7386e-13,9.67332e-13,1.05272e-12,1.14048e-12,1.23795e-12,1.35604e-12,1.51459e-12,1.7459e-12,2.25693e-12,All
7.07602e-15,1.28919e-12,8.02045e-13,9.48197e-13,1.05019e-12,1.14291e-12,1.23852e-12,1.3445e-12,1.47285e-12,1.64493e-12,1.89647e-12,2.44892e-12,All
7.68393e-15,1.40047e-12,8.70894e-13,1.03008e-12,1.14055e-12,1.24166e-12,1.34504e-12,1.45987e-12,1.5997e-12,1.78581e-12,2.05865e-12,2.65931e-12,All
8.34406e-15,1.5212e-12,9.45711e-13,1.11833e-12,1.23831e-12,1.34779e-12,1.46018e-12,1.58528e-12,1.73666e-12,1.93941e-12,2.23612e-12,2.88759e-12,All
9.0609e-15,1.65127e-12,1.02683e-12,1.21451e-12,1.34489e-12,1.46378e-12,1.58551e-12,1.72123e-12,1.88644e-12,2.10567e-12,2.42899e-12,3.13401e-12,All
9.83933e-15,1.79302e-12,1.11401e-12,1.31919e-12,1.45988e-12,1.58925e-12,1.72206e-12,1.86881e-12,2.04828e-12,2.28691e-12,2.63793e-12,3.40529e-12,All
1.06846e-14,1.9475e-12,1.21082e-12,1.4324e-12,1.58628e-12,1.72642e-12,1.86961e-12,2.02922e-12,2.22366e-12,2.48434e-12,2.86267e-12,3.69843e-12,All
1.16025e-14,2.11448e-12,1.3155e-12,1.55502e-12,1.7219e-12,1.87409e-12,2.0301e-12,2.20391e-12,2.41498e-12,2.69664e-12,3.10894e-12,4.01517e-12,All
1.25993e-14,2.29653e-12,1.42792e-12,1.68869e-12,1.86996e-12,2.03476e-12,2.20496e-12,2.3936e-12,2.62176e-12,2.92911e-12,3.37615e-12,4.36021e-12,All
1.36817e-14,2.49378e-12,1.55092e-12,1.83457e-12,2.03057e-12,2.20979e-12,2.39399e-12,2.59869e-12,2.84859e-12,3.18038e-12,3.66691e-12,4.73458e-12,All
1.48571e-14,2.70717e-12,1.68378e-12,1.9919e-12,2.20542e-12,2.39967e-12,2.60054e-12,2.82214e-12,3.09233e-12,3.45301e-12,3.98205e-12,5.13953e-12,All
1.61335e-14,2.93989e-12,1.82825e-12,2.16203e-12,2.39385e-12,2.60579e-12,2.82354e-12,3.0642e-12,3.35759e-12,3.75025e-12,4.32259e-12,5.5817e-12,All
1.75196e-14,3.19325e-12,1.98548e-12,2.34876e-12,2.59936e-12,2.82967e-12,3.06568e-12,3.32783e-12,3.646e-12,4.07317e-12,4.69628e-12,6.06171e-12,All
1.90247e-14,3.46789e-12,2.15635e-12,2.54915e-12,2.82272e-12,3.07297e-12,3.32975e-12,3.61483e-12,3.9593e-12,4.42237e-12,5.09812e-12,6.58123e-12,All
2.06591e-14,3.76554e-12,2.34095e-12,2.76849e-12,3.06598e-12,3.3368e-12,3.61533e-12,3.92451e-12,4.29958e-12,4.80237e-12,5.53494e-12,7.14749e-12,All
2.24339e-14,4.08738e-12,2.54211e-12,3.00764e-12,3.32841e-12,3.62403e-12,3.92599e-12,4.26147e-12,4.66954e-12,5.21489e-12,6.01253e-12,7.76222e-12,All
2.43613e-14,4.43975e-12,2.7613e-12,3.26493e-12,3.61553e-12,3.93551e-12,4.26423e-12,4.62755e-12,5.07043e-12,5.66259e-12,6.52896e-12,8.42969e-12,All
2.64541e-14,4.82206e-12,2.9973e-12,3.54555e-12,3.92456e-12,4.27248e-12,4.63e-12,5.02466e-12,5.50611e-12,6.15014e-12,7.08879e-12,9.15306e-12,All
2.87268e-14,5.23574e-12,3.25516e-12,3.85135e-12,4.26216e-12,4.63921e-12,5.02777e-12,5.45722e-12,5.97903e-12,6.67591e-12,7.69651e-12,9.94336e-12,All
3.11948e-14,5.68426e-12,3.53652e-12,4.18078e-12,4.62988e-12,5.03867e-12,5.45987e-12,5.92523e-12,6.49272e-12,7.25107e-12,8.35971e-12,1.07957e-11,All
3.38747e-14,6.17187e-12,3.84037e-12,4.54054e-12,5.02776e-12,5.47075e-12,5.92773e-12,6.43441e-12,7.05067e-12,7.87258e-12,9.078e-12,1.17198e-11,All
3.67849e-14,6.7033e-12,4.16822e-12,4.93064e-12,5.45831e-12,5.94139e-12,6.43843e-12,6.98832e-12,7.65532e-12,8.5504e-12,9.85732e-12,1.27285e-11,All
3.99451e-14,7.27985e-12,4.52595e-12,5.35479e-12,5.92715e-12,6.4508e-12,6.98998e-12,7.58907e-12,8.31337e-12,9.28647e-12,1.07062e-11,1.38209e-11,All
4.33768e-14,7.90429e-12,4.91568e-12,5.81402e-12,6.43655e-12,7.00571e-12,7.59114e-12,8.23938e-12,9.02827e-12,1.00818e-11,1.16264e-11,1.50068e-11,All
4.71033e-14,8.58402e-12,5.33812e-12,6.31392e-12,6.98861e-12,7.60842e-12,8.24226e-12,8.94748e-12,9.80321e-12,1.09494e-11,1.26253e-11,1.62933e-11,All
5.115e-14,9.32181e-12,5.79816e-12,6.85618e-12,7.58991e-12,8.26155e-12,8.95234e-12,9.71736e-12,1.06466e-11,1.18897e-11,1.37097e-11,1.76965e-11,All
