standEta_Cl_abscissa,standEta_Cl_pdf,standEta_V1_abscissa,standEta_V1_pdf,standEta_Q_abscissa,standEta_Q_pdf,standEta_V2_abscissa,standEta_V2_pdf,split
-1.87483,0.117194,-2.15044,0.0730536,-2.08418,0.057671,-1.96542,0.113995,All
-1.56852,0.164072,-1.75733,0.091317,-1.58622,0.187431,-1.65052,0.159593,All
-1.26222,0.375021,-1.36422,0.091317,-1.08825,0.201849,-1.33561,0.136794,All
-0.955908,0.0937552,-0.971117,0.273951,-0.590294,0.245102,-1.02071,0.296387,All
-0.6496,0.445337,-0.578009,0.566165,-0.0923324,0.418115,-0.705805,0.250789,All
-0.343293,0.539092,-0.184901,0.420058,0.405629,0.475786,-0.390902,0.569975,All
-0.0369847,0.140633,0.208207,0.456585,0.90359,0.302773,-0.0759981,0.250789,All
0.269323,0.328143,0.601315,0.182634,1.40155,0.173013,0.238905,0.478779,All
0.575631,0.18751,0.994423,0.255688,1.89951,0.0865066,0.553809,0.22799,All
0.881939,0.421898,1.38753,0.127844,2.39747,0,0.868712,0.319186,All
1.18825,0.351582,1.78064,0.0547902,2.89544,0,1.18362,0.319186,All
1.49455,0.210949,2.17375,0.0730536,3.3934,0,1.49852,0.250789,All
1.80086,0.140633,2.56685,0.0730536,3.89136,0.0144178,1.81342,0.045598,All
